precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
32,"SATU MARE","COLEGIUL TEHNIC ” ELISA ZAMFIRESCU ” (COL.TEHNIC ELISA ZAMFIRESCU(GRUP ŞC. DE INDUSTRIE UŞOARĂ ))",22,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:23:23",1369,1356,13,670,642,13,15,1500,830,663,7,3,296,11,62,4,40,34,2,11,21,6,12,1,3,154,3
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:01:18",1261,1261,0,601,591,0,10,1400,799,582,19,1,328,4,38,2,14,33,2,14,12,4,2,0,2,125,1
32,"SATU MARE","CONSILIUL LOCAL FOIENI",202,FOIENI,137728,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:07:11",1590,1590,0,977,968,0,9,1758,781,949,28,2,908,0,4,0,3,2,0,3,1,1,0,0,0,25,0
32,"SATU MARE","CREŞA ” CASTELUL PITICILOR”",102,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:24",1182,1182,0,382,373,0,9,1232,850,367,15,2,4,8,48,0,23,7,5,6,12,0,6,3,1,242,0
32,"SATU MARE","CREŞA ”CASTELUL PITICILOR”",101,"ORAŞ NEGREŞTI-OAŞ",136599,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:50:31",1188,1188,0,390,383,0,7,1238,848,365,25,2,11,9,38,1,28,6,1,6,7,5,7,1,0,242,1
32,"SATU MARE",GRADINITA,228,"MEDIEŞU AURIT",138084,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:55:29",501,501,0,316,300,0,16,550,234,304,12,3,2,4,34,2,10,1,0,7,19,0,4,0,3,213,2
32,"SATU MARE",GRADINITA,322,TURULUNG,139214,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:18",158,152,6,99,90,0,9,203,104,86,13,1,69,0,1,1,0,1,0,0,0,0,0,1,1,11,0
32,"SATU MARE","GRADINIŢA APATEU",188,CULCIU,137540,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:08:26",276,264,12,144,141,0,3,289,145,139,5,1,76,1,15,0,3,1,0,0,2,0,1,1,1,37,0
32,"SATU MARE","GRĂDINIŢA BĂBEŞTI",207,HALMEU,137764,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:42:41",350,350,0,205,198,0,7,400,195,192,13,0,162,0,6,0,0,1,0,0,1,1,0,0,3,18,0
32,"SATU MARE","GRĂDINIŢA CU PROG. PRELUNGIT ” DUMBRAVA MINUNATĂ ” (GRĂDINIŢA ”DUMBRAVA MINUNATĂ” )",64,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:59:17",1238,1238,0,650,629,0,21,1288,638,634,16,0,370,10,49,0,38,36,1,10,14,0,14,2,3,86,1
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL",312,TIREAM,139107,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:40:48",156,156,0,83,73,0,10,196,113,77,6,0,25,2,6,1,1,0,1,1,1,0,4,0,1,34,0
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",249,"ORAŞU NOU",138351,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:54:43",343,331,12,185,165,12,8,371,186,174,11,2,14,3,93,2,9,2,0,1,7,0,4,1,2,34,0
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",299,SUPUR,138921,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:33:22",147,147,0,92,84,0,8,204,112,84,8,0,4,1,14,0,2,0,0,0,6,0,0,0,1,56,0
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",250,"ORAŞU NOU",138351,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:09:20",480,480,0,224,220,0,4,528,304,197,27,3,7,1,23,1,46,5,1,2,5,0,3,0,4,95,1
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL BLAJA",116,"ORAŞ TĂŞNAD",136642,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:29:06",172,172,0,121,108,0,13,190,69,118,3,2,9,1,23,1,1,2,1,0,6,1,0,1,0,70,0
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL CIG",117,"ORAŞ TĂŞNAD",136642,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:48:26",333,333,0,220,180,0,40,350,130,200,20,1,5,1,36,2,5,0,0,2,7,1,3,2,0,135,0
32,"SATU MARE","GRĂDINIȚA CU PROGRAM NORMAL HRIP",257,PĂULEŞTI,138431,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:12:08",590,590,0,351,326,0,25,700,349,294,57,1,73,0,15,1,4,1,2,0,5,1,0,0,0,191,0
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:43",276,276,0,152,138,0,14,489,337,142,10,4,1,0,30,2,9,0,0,11,8,0,3,0,1,72,1
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL LIVADA",96,"ORAŞ LIVADA",138039,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:36",1426,1426,0,675,662,0,13,1600,925,634,41,6,432,5,43,0,11,6,2,10,24,2,3,1,0,89,0
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL MOIŞENI",178,CERTEZE,137407,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:58:53",1176,1176,0,446,436,0,10,1295,849,370,76,5,3,6,29,14,16,4,3,16,64,2,10,2,2,194,0
