precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 2",84,BUCŞANI,101378,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:41:49",538,538,0,454,418,0,36,615,161,432,22,6,2,4,5,0,0,18,4,0,19,6,0,365,1,1,1
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 2 BÎCU",170,JOIŢA,103997,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:34:42",1447,1447,0,1100,989,0,111,1580,480,1048,52,16,27,10,11,3,2,120,88,25,60,6,1,570,16,80,13
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 2 CÂMPURELU",98,COLIBAŞI,102071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:45",1041,1041,0,665,606,0,59,1146,481,613,52,1,6,0,0,0,0,39,9,0,42,0,0,516,0,0,0
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 2 CARTOJANI",199,"ROATA DE JOS",104831,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:34:07",978,978,0,534,521,0,13,1080,546,455,79,3,10,5,7,0,0,62,6,4,30,0,1,320,4,3,0
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 2 CARTOJANI",200,"ROATA DE JOS",104831,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:27:03",1061,1061,0,524,509,0,15,1171,647,495,29,6,4,0,2,0,0,83,15,2,13,3,1,344,7,9,6
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.2 CHIRIACU",164,IZVOARELE,103899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:54",1072,967,105,808,595,105,108,1015,207,805,3,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.2 DOBRENI",236,VĂRĂŞTI,105874,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:12:25",1945,1945,0,1237,1199,0,38,2141,904,1090,147,17,8,6,0,0,0,72,0,0,20,0,0,956,0,6,5
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 2 IZVORU",240,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:04:56",592,592,0,459,420,0,39,652,193,452,7,0,4,5,7,1,2,27,6,6,27,0,0,364,2,1,0
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.2 LUNCA FRĂTEŞTI",121,FRĂTEŞTI,102909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:14:36",613,612,1,398,384,0,14,667,269,380,18,0,3,0,0,1,2,43,0,2,19,2,1,298,7,0,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 2 MIHAI VODĂ",78,BOLINTIN-DEAL,101163,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:36:17",1546,1546,0,883,847,0,36,1746,863,835,48,6,6,4,12,3,5,144,57,30,24,10,4,484,27,13,6
19,GIURGIU,"ŞCOALA GIMNAZIALA NR 2 PĂDURENI",88,BUTURUGENI,101617,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:44:48",1162,1162,0,897,848,0,49,1284,387,835,62,7,6,6,8,0,3,65,13,10,56,5,0,635,5,6,10
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 , SAT CĂSCIOARELE COM GĂISENI",128,GĂISENI,103087,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:12:32",879,879,0,487,466,0,21,978,491,443,44,7,5,5,4,0,0,27,7,11,12,2,4,347,3,2,7
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 SAT CĂSCIOARELE , COM GĂISENI",129,GĂISENI,103087,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:35:42",732,732,0,429,404,0,25,809,380,400,29,2,4,0,3,0,0,39,6,5,31,1,0,292,3,6,8
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.2 STOENEŞTI",119,FLOREŞTI-STOENEŞTI,102794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:52:26",1574,1573,1,699,684,1,14,1732,1033,653,46,7,8,2,10,1,3,81,21,17,32,0,2,449,6,0,14
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 2 TÂNTAVA",148,GRĂDINARI,103407,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:54:40",976,976,0,673,605,0,68,1074,401,629,44,4,11,2,4,0,2,95,19,22,35,2,4,411,6,10,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.3",12,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:06:21",1237,1237,0,539,450,0,89,1357,818,518,21,11,18,8,7,1,2,100,11,4,46,0,2,286,5,9,8
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.3",11,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:30:46",735,735,0,327,262,0,65,816,489,310,17,1,17,3,0,1,5,57,7,8,18,3,1,181,1,4,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.3",13,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:11:50",1391,1391,0,478,428,0,50,1532,1054,411,67,4,18,3,1,1,1,60,14,3,25,3,4,252,7,4,11
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 3 COMANA SALA NR. 1",99,COMANA,102106,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:50:16",793,793,0,569,542,0,27,867,298,562,7,0,4,5,2,0,0,27,6,4,22,0,1,484,1,3,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 3 COMANA SALA NR. 2",100,COMANA,102106,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:13:04",850,850,0,644,545,0,99,933,289,629,15,1,2,0,5,0,0,28,5,5,15,1,2,561,2,0,2
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 3 FALASTOACA",102,COMANA,102106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:52:09",604,604,0,495,403,0,92,667,172,476,19,6,21,3,0,0,2,46,7,9,23,3,1,338,4,6,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.3 PALANCA",118,FLOREŞTI-STOENEŞTI,102794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:42:36",964,963,1,567,553,0,14,1057,490,532,35,5,6,3,9,3,2,56,27,13,28,2,3,355,5,8,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.3 PALANCA",117,FLOREŞTI-STOENEŞTI,102794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:53:00",1158,1158,0,695,672,0,23,1283,588,665,30,7,10,7,10,3,4,68,31,7,28,2,2,459,16,4,7
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.3 UZUNU",93,CĂLUGĂRENI,101662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:06:08",1116,1116,0,683,662,0,21,1227,544,638,45,6,5,1,3,4,5,101,32,19,42,1,6,391,8,5,9
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 3 VÂNĂTORII MARI",242,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:49",883,883,0,691,672,0,19,967,276,645,46,5,6,0,3,1,0,91,19,5,37,1,1,462,9,5,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.5",31,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:59",844,844,0,363,354,0,9,941,578,350,13,4,14,2,4,2,1,55,19,14,19,2,0,184,13,12,5
