precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi"
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MANÓCSKA” TÂRGU SECUIESC",59,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:49",1237,1237,0,501,487,0,14,1300,799,481,20,5,19,442,3,5,0,0,1,0,0,2,0,2,1,1,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",45,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:30:08",997,997,0,380,363,0,17,1100,720,363,17,18,32,275,6,6,0,1,2,0,1,13,2,0,2,5,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",46,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:10:36",1088,1088,0,413,402,0,11,1200,787,404,9,29,76,246,11,1,0,1,2,1,0,17,10,4,0,5,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1 COVASNA",75,"ORAŞ COVASNA",63526,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:33:48",1299,1299,0,571,554,0,17,1400,829,556,15,10,38,465,3,11,1,3,3,0,2,5,3,7,0,5,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2 COVASNA",79,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:57:18",1473,1473,0,668,648,0,20,1600,932,652,16,21,67,514,8,7,0,1,3,1,1,14,4,3,3,4,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",37,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:20:28",780,780,0,320,311,0,9,800,480,314,6,11,15,269,1,1,1,0,0,1,0,5,3,4,0,3,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",38,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:06:08",1248,1248,0,510,495,0,15,1400,890,502,8,48,64,332,8,5,3,2,0,1,1,12,10,5,0,8,3
15,COVASNA,"GRĂDINIȚA DE COPII (PARTER)",187,SÂNZIENI,64826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:40",478,478,0,242,237,0,5,500,258,222,20,0,1,214,1,0,0,0,0,0,1,1,0,0,1,2,1
15,COVASNA,"GRĂDINȚA CU PROGRAM NORMAL DOBÂRLĂU",137,DOBÂRLĂU,64265,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:56:48",918,918,0,593,563,0,30,999,406,541,52,73,364,21,4,28,1,4,3,0,1,11,8,9,3,7,4
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",22,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:32:05",756,756,0,395,363,0,32,800,405,385,10,5,10,352,2,6,0,0,0,0,0,6,2,0,0,1,1
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",21,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:32:28",1006,1006,0,568,525,0,43,1100,532,560,8,18,20,488,5,1,1,0,2,0,0,15,2,3,1,4,0
15,COVASNA,"LICEUL ”KŐRÖSI CSOMA SÁNDOR” -CORP A- COVASNA",77,"ORAŞ COVASNA",63526,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:27:29",1063,1063,0,511,472,0,39,1200,689,498,13,16,52,387,4,6,1,0,1,1,0,9,3,8,1,8,1
15,COVASNA,"LICEUL ”KŐRÖSI CSOMA SÁNDOR” -CORP B- COVASNA",78,"ORAŞ COVASNA",63526,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:54:35",1157,1157,0,595,547,0,48,1300,705,576,19,22,56,468,4,1,0,2,1,1,0,14,2,0,0,5,0
15,COVASNA,"LICEUL PEDAGOGIC ”BOD PÉTER” TÂRGU SECUIESC",53,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:49:02",1155,1155,0,508,489,0,19,1300,792,503,5,5,21,453,3,2,0,0,2,0,0,2,4,0,2,7,2
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",6,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:17:54",800,800,0,341,328,0,13,900,559,335,6,20,16,254,5,2,0,1,1,2,1,18,7,4,0,3,1
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",8,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:30:43",1002,1002,0,490,468,0,22,1100,610,482,8,21,34,375,14,5,0,1,1,0,1,13,11,1,0,5,0
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",7,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:24",993,993,0,471,460,0,11,1100,629,466,5,22,57,333,8,3,3,0,3,1,1,18,6,6,0,4,1
15,COVASNA,"LICEUL TEHNOLOGIC ”GÁBOR ÁRON” TÂRGU SECUIESC",61,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:39:44",1052,1052,0,452,428,0,24,1200,748,440,12,15,17,375,4,4,3,2,1,0,2,5,3,5,0,3,1
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",29,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:27",1429,1429,0,642,627,0,15,1600,958,628,14,27,53,479,11,3,0,2,0,0,1,30,13,4,2,3,0
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",31,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:06:41",1237,1237,0,548,533,0,15,1300,752,544,4,17,56,425,11,4,2,2,0,0,2,19,1,2,0,1,2
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",30,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:31:27",1130,1130,0,484,466,0,18,1200,716,481,3,23,41,383,6,2,0,2,4,0,1,10,6,0,1,1,1
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",32,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:49",1405,1405,0,620,608,0,12,1500,880,610,10,31,70,443,12,3,1,1,2,1,0,19,16,3,1,7,0
15,COVASNA,"” LICEUL TEOLOGIC REFORMAT DR.CSIHA KÁLMÁN ” TÂRGU SECUIESC",54,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:56:37",1154,1154,0,506,490,0,16,1300,794,493,13,5,13,455,2,0,2,0,1,0,1,7,3,1,2,0,1
