precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
5,BIHOR,"CĂMIN CULTURAL",287,BUNTEŞTI,27971,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:30:08",237,237,0,200,193,0,7,251,51,192,8,1,0,0,45,1,1,0,4,0,0,109,3,4,3,4,17
5,BIHOR,"CĂMIN CULTURAL",220,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:18",235,235,0,123,110,0,13,252,129,110,13,1,1,0,22,2,0,0,2,0,1,74,2,0,3,0,2
5,BIHOR,"CĂMIN CULTURAL",325,CETARIU,28415,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:05",197,197,0,127,110,0,17,213,86,124,3,0,0,0,6,97,0,0,0,0,1,17,0,0,1,1,1
5,BIHOR,"CĂMIN CULTURAL",643,ŢEŢCHEA,31878,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:50:56",669,669,0,485,449,0,36,734,249,452,33,7,3,1,69,1,1,3,1,0,5,309,6,5,27,4,10
5,BIHOR,"CĂMIN CULTURAL",229,AŞTILEU,26742,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:37:55",510,510,0,321,303,0,18,556,235,295,26,3,0,0,27,4,1,2,3,2,0,219,7,2,11,1,13
5,BIHOR,"CĂMIN CULTURAL",450,MĂGEŞTI,30069,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:44:20",378,378,0,287,259,0,28,412,125,275,12,4,1,0,32,2,3,1,2,0,1,186,4,1,12,5,21
5,BIHOR,"CĂMIN CULTURAL",286,BUNTEŞTI,27971,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:49:01",536,536,0,441,426,0,15,589,148,430,11,2,1,0,68,1,0,2,3,1,2,304,4,7,18,11,6
5,BIHOR,"CĂMIN CULTURAL",426,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:01:34",506,506,0,433,401,0,32,550,117,411,22,6,0,0,56,7,3,2,8,0,1,303,4,3,12,4,2
5,BIHOR,"CĂMIN CULTURAL",432,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:07:54",95,95,0,68,58,0,10,103,35,64,4,3,0,0,14,0,0,0,1,0,0,37,0,2,6,0,1
5,BIHOR,"CĂMIN CULTURAL",596,ŞOIMI,31422,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:48",232,232,0,186,172,0,14,250,64,177,9,1,0,1,24,2,1,0,0,1,1,141,0,0,0,0,5
5,BIHOR,"CĂMIN CULTURAL",511,RĂBĂGANI,30648,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:16:27",96,96,0,83,75,0,8,104,21,83,0,1,0,0,12,2,0,0,0,0,1,60,2,0,0,3,2
5,BIHOR,"CĂMIN CULTURAL",628,TILEAGD,31716,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:15:40",660,660,0,338,326,0,12,720,382,333,5,9,0,0,69,2,6,3,8,5,1,170,16,8,23,6,7
5,BIHOR,"CĂMIN CULTURAL",408,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:12:20",115,115,0,102,65,0,37,126,24,98,4,0,0,0,20,2,0,0,3,0,0,66,1,0,3,0,3
5,BIHOR,"CĂMIN CULTURAL",291,BUNTEŞTI,27971,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:31:04",524,524,0,405,384,0,21,572,167,391,14,2,1,0,83,3,2,2,5,0,1,237,8,4,13,13,17
5,BIHOR,"CĂMIN CULTURAL",344,COPĂCEL,28816,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:26:09",209,209,0,177,139,0,38,231,54,167,10,1,1,0,16,2,6,1,0,0,2,106,3,1,22,1,5
5,BIHOR,"CĂMIN CULTURAL",354,CURĂŢELE,28941,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:48:33",345,345,0,250,247,0,3,374,124,243,7,0,0,1,46,2,4,0,2,0,0,170,3,0,6,4,5
5,BIHOR,"CĂMIN CULTURAL",187,"ORAŞ ALEŞD",26699,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:03:10",1067,1067,0,654,637,0,17,1164,510,633,21,13,1,0,130,9,5,3,9,0,2,374,16,8,39,9,15
5,BIHOR,"CĂMIN CULTURAL",433,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:45:51",146,146,0,107,89,0,18,162,55,99,8,0,0,0,17,3,0,1,0,0,0,66,1,0,9,1,1
5,BIHOR,"CĂMIN CULTURAL",629,TILEAGD,31716,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:05:19",671,671,0,361,347,0,14,736,388,325,23,6,0,0,39,133,1,0,0,1,0,108,3,6,12,8,8
5,BIHOR,"CĂMIN CULTURAL",642,ŢEŢCHEA,31878,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:48",684,684,0,457,434,0,23,745,288,417,40,0,1,1,71,4,1,2,3,0,3,272,4,6,34,7,8
5,BIHOR,"CĂMIN CULTURAL",407,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:15:53",583,583,0,360,343,0,17,630,270,282,76,1,0,0,77,2,1,1,2,0,0,176,0,6,14,0,2
5,BIHOR,"CĂMIN CULTURAL",533,SĂCĂDAT,30871,6,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 14:21:28",588,588,0,409,379,0,30,645,242,378,25,7,1,1,101,4,5,3,3,1,0,231,2,2,8,3,6
5,BIHOR,"CĂMIN CULTURAL",409,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:33:47",107,107,0,85,67,0,18,116,31,79,6,0,0,1,20,1,0,1,0,0,0,41,4,0,2,1,8
5,BIHOR,"CĂMIN CULTURAL",233,AUŞEU,27212,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:36:18",728,728,0,428,417,0,11,802,374,391,37,2,0,0,93,1,2,4,2,0,1,237,5,4,21,7,12
5,BIHOR,"CĂMIN CULTURAL",428,LĂZĂRENI,29813,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:24",504,504,0,385,356,0,29,544,159,367,18,3,0,0,63,1,1,3,4,0,1,249,7,2,23,7,3
5,BIHOR,"CĂMIN CULTURAL",645,ŢEŢCHEA,31878,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:21:52",671,671,0,437,412,0,25,734,298,316,120,4,1,0,51,115,1,1,3,0,0,110,5,3,19,3,0
5,BIHOR,"CĂMIN CULTURAL",644,ŢEŢCHEA,31878,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:28",453,453,0,267,249,0,18,494,227,246,21,6,0,0,49,2,0,5,3,1,0,147,9,1,7,8,8
5,BIHOR,"CĂMIN CULTURAL",224,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:12",222,222,0,135,127,0,8,240,105,130,5,5,0,1,26,3,0,0,0,1,2,66,2,3,11,7,3
5,BIHOR,"CĂMIN CULTURAL",659,VIIŞOARA,32045,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:54:04",151,151,0,88,82,0,6,163,75,84,4,0,0,0,11,51,0,0,0,0,0,17,0,1,3,0,1
5,BIHOR,"CĂMIN CULTURAL",221,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:18:26",230,230,0,141,130,0,11,247,106,134,7,0,0,0,30,3,1,0,2,0,1,91,1,1,3,0,1
