precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT CINDEŞTI",405,VERNEŞTI,50102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:49:18",1322,1322,0,667,656,0,11,1460,793,599,68,2,434,3,4,2,3,3,13,2,20,27,4,4,4,7,67
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT CÎNDEȘTI",404,VERNEŞTI,50102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:16:25",1380,1380,0,717,703,0,14,1520,803,630,87,2,455,3,7,4,3,5,5,1,9,41,5,1,4,5,80
10,BUZĂU,"ŞCOALA GIMNAZIALA SAT HALEŞ, COMUNA TISAU",374,TISĂU,49643,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:28",748,748,0,477,453,0,24,830,353,432,45,1,296,3,4,0,7,1,2,2,8,20,5,1,5,6,71
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT SCĂRIŞOARA, COMUNA CISLĂU",211,CISLĂU,46313,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:47:39",1006,1006,0,722,707,0,15,1110,388,676,46,3,460,0,14,4,15,5,8,3,22,37,6,2,15,5,77
10,BUZĂU,"SCOALA GIMNAZIALA SCURTEŞTI",396,"VADU PAŞII",49956,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:28:10",1665,1665,0,1060,1034,0,26,1831,771,1003,57,11,700,1,5,2,3,4,9,3,26,61,12,3,15,19,129
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",67,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:51:06",1388,1388,0,592,582,0,10,1500,908,561,31,1,293,3,16,4,10,5,7,7,49,38,23,5,14,18,68
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",65,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:40:15",1186,1186,0,541,466,0,75,1300,759,520,21,4,291,6,17,8,9,4,3,7,38,28,11,1,16,15,62
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",68,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:49:08",1576,1576,0,696,681,0,15,1700,1004,657,39,5,350,6,25,3,5,6,3,8,64,32,28,2,22,15,83
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",66,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:42:03",1325,1325,0,521,504,0,17,1500,980,492,28,2,244,4,15,7,4,8,4,8,36,32,18,1,8,24,77
10,BUZĂU,"ŞCOALA GIMNAZIALA STĂNCEŞTI",397,"VADU PAŞII",49956,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:33:01",1198,1198,0,811,799,0,12,1321,510,766,45,2,590,1,5,21,2,4,2,1,0,32,6,0,5,11,84
