precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ FURCULEŞTI",177,FURCULEŞTI,152948,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:26:10",1342,1342,0,593,479,0,114,1560,778,514,79,23,3,375,2,2,11,5,0,5,6,65,1,3,3,1,9
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",41,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:41:19",1025,1025,0,375,367,0,8,1130,752,361,14,14,1,163,3,5,68,3,0,6,8,67,1,5,4,8,5
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",42,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:40:33",1099,1092,7,322,311,7,4,1200,878,297,25,10,4,164,3,3,41,3,1,0,2,42,1,2,10,10,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ GĂLĂTENI",181,GĂLĂTENI,153026,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:02:00",658,658,0,572,503,0,69,730,158,519,53,29,0,394,1,8,3,5,1,6,5,52,1,7,3,2,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ GRATIA",183,GRATIA,153062,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 07:43:56",1041,1041,0,733,660,0,73,1150,417,703,30,29,1,557,2,5,20,3,0,10,10,43,2,1,8,11,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",229,PERETU,153543,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:50:02",922,922,0,577,565,0,12,1015,438,553,24,16,0,439,5,4,9,1,1,8,3,47,3,0,2,11,4
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",230,PERETU,153543,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:07:15",1082,1082,0,669,651,0,18,1200,531,622,47,25,10,446,2,23,0,3,0,12,5,82,1,2,4,5,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”I.GH.DUCA”",317,ŢIGĂNEŞTI,154834,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:30:43",1402,1402,0,824,816,0,8,1540,716,778,46,29,3,605,2,14,15,3,1,1,7,79,3,3,4,8,1
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ION PREOTU”",311,TROIANUL,154790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:00:50",1228,1228,0,856,806,0,50,1295,465,740,90,42,2,416,3,19,96,10,2,11,7,95,4,8,2,19,4
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ LICURICIU",127,CĂLINEŞTI,152350,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:40:32",349,349,0,359,248,0,111,385,26,329,30,7,1,258,2,4,6,3,1,1,2,33,0,5,2,1,3
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ LIȚA",192,LIŢA,151763,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:55:20",979,979,0,701,656,0,45,1080,379,657,44,31,1,521,2,3,18,6,2,0,5,50,2,8,3,4,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MAVRODIN",198,MAVRODIN,153204,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:11:36",872,872,0,686,658,0,28,955,269,635,51,21,1,491,3,9,14,0,0,10,2,62,2,3,3,8,6
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MAVRODIN",197,MAVRODIN,153204,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:43:31",1026,1026,0,751,727,0,24,1125,374,687,64,19,2,541,2,3,10,1,1,5,1,88,0,3,0,9,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MERIŞANI",95,BĂBĂIŢA,152038,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:22:03",812,812,0,629,609,0,20,895,266,589,40,15,0,501,3,2,3,0,0,2,1,53,3,1,3,2,0
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",21,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:29",1022,1015,7,446,437,0,9,1125,679,435,11,12,2,245,2,11,42,2,1,3,8,72,7,4,10,10,4
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",20,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:46:49",1266,1266,0,544,526,0,18,1395,851,525,19,28,3,310,3,16,51,3,2,1,14,57,3,2,13,13,6
