precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"ŞCOALA GIMNAZIALĂ SLOBOZIA BRADULUI SALA B",278,"SLOBOZIA BRADULUI",177655,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:57:39",969,969,0,644,636,0,8,1061,417,560,84,0,18,47,0,0,2,1,3,3,1,3,1,469,0,0,12
41,VRANCEA,"ŞCOALA GIMNAZIALĂ SLOBOZIA BRADULUI SALA C",279,"SLOBOZIA BRADULUI",177655,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:37:59",1315,1315,0,832,830,0,2,1451,619,732,100,0,0,52,0,0,0,0,0,0,0,0,0,680,0,0,0
41,VRANCEA,"ȘCOALA GIMNAZIALĂ SPULBER",287,SPULBER,178965,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:55:08",910,910,0,653,610,0,43,995,342,612,41,0,26,87,2,0,1,5,0,3,0,4,11,453,1,8,11
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",7,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:16",792,792,0,379,364,0,15,877,498,369,10,2,20,51,4,4,5,2,0,1,4,0,16,176,10,13,61
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",6,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:45:34",1106,1106,0,445,428,0,17,1220,775,424,21,4,19,45,3,1,5,8,2,3,3,0,24,229,11,17,50
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",5,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:09:04",1057,1057,0,451,441,0,10,1169,718,438,13,4,27,59,6,3,8,19,2,3,2,3,15,213,7,10,57
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE” FOCȘANI",4,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:41",1248,1248,0,528,509,0,19,1378,850,500,28,0,20,75,1,4,16,16,0,3,1,2,28,221,10,18,85
41,VRANCEA,"SCOALA GIMNAZIALA SURAIA",293,SURAIA,177842,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:53:06",1734,1734,0,856,799,0,57,1932,1076,781,75,1,34,88,1,3,6,14,5,12,7,10,21,511,2,15,51
41,VRANCEA,"ȘCOALA GIMNAZIALĂ ȚIFEȘTI",313,ŢIFEŞTI,178180,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:53",827,827,0,480,468,0,12,911,431,446,34,4,34,69,0,5,0,9,0,3,2,4,8,228,6,11,63
41,VRANCEA,"SCOALA GIMNAZIALĂ ” VASILE IFTIMESCU ” VALEA SARII",320,"VALEA SĂRII",178313,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:56:21",655,655,0,455,414,0,41,721,266,419,36,2,37,56,0,0,0,12,2,6,0,2,1,277,2,8,14
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „VICTOR SLĂVESCU” COTEȘTI",147,COTEŞTI,175885,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:56:29",1112,1112,0,647,630,0,17,1228,581,599,48,3,25,113,2,6,9,6,7,6,4,11,4,237,0,4,162
41,VRANCEA,"ŞCOALA GIMNAZIALĂ VÎNĂTORI",324,VÂNĂTORI,178607,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:38:50",1377,1377,0,768,751,0,17,1507,739,735,33,4,63,90,0,4,9,29,4,4,9,17,33,347,11,27,84
41,VRANCEA,"ȘCOALA GIMNAZIALĂ VOETIN",276,SIHLEA,177600,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:10:35",849,849,0,425,391,0,34,936,511,376,49,1,25,34,0,0,3,3,3,1,4,6,2,285,4,2,3
41,VRANCEA,"SCOALA GOGOIU",259,RĂCOASA,177405,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:39",180,180,0,95,86,0,9,180,85,86,9,0,8,20,1,0,0,0,0,1,0,0,0,49,2,2,3
41,VRANCEA,"SCOALA HANGULESTI",362,VULTURU,178821,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:24:04",893,893,0,443,409,0,34,984,541,416,27,1,11,45,3,0,1,5,1,0,4,7,4,290,4,4,36
41,VRANCEA,"ȘCOALA I-IV NOUĂ",123,CÂMPINEANCA,174780,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:55:57",554,554,0,335,305,0,30,613,278,316,19,3,20,41,1,2,0,7,3,1,0,3,5,206,2,3,19
41,VRANCEA,"ȘCOALA I-IV NOUĂ",121,CÂMPINEANCA,174780,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:02:29",1719,1719,0,993,967,0,26,1883,890,952,41,5,62,137,3,3,10,16,4,4,5,4,29,536,14,30,90
