precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 NENCIULEȘTI",219,NENCIULEŞTI,154996,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:44",771,729,1,16,25,507,465,1,16,25,473,33,800,294,136,272,49,11,5
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 PUTINEIU",254,PUTINEIU,153829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:29",1034,973,0,36,25,756,695,0,36,25,720,36,1070,314,480,182,31,16,11
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL ,NR.1 SEACA , SAT SEACA , JUDETUL TELEORMAN , STRADA VICTORIEI , NR.75",276,SEACA,154139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:07",1263,1114,0,88,61,720,571,0,88,61,702,18,1290,570,437,218,35,9,3
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 VITĂNEȘTI",330,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:52",971,840,0,53,78,673,542,0,53,78,673,0,1010,337,16,641,16,0,0
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.2",203,MĂLDĂENI,153277,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:12:45",1210,1180,0,4,26,729,699,0,4,26,708,21,1300,571,177,344,138,32,17
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",268,SÂRBENI,154308,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:11",594,508,0,71,15,457,371,0,71,15,430,15,570,113,16,369,22,8,15
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",109,BOTOROAGA,152172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:43:38",1039,911,0,82,46,723,595,0,82,46,717,6,1000,277,282,365,49,10,11
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",241,PLOPII-SLĂVITEŞTI,153623,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:43:53",591,527,0,38,26,541,477,0,38,26,414,63,610,133,131,123,133,13,14
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",193,LIŢA,151763,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:56:14",1074,1022,0,22,30,681,629,0,22,30,652,29,1120,439,185,412,26,13,16
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",185,ISLAZ,151736,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:33:17",1476,1443,0,15,18,816,783,0,15,18,773,43,1570,754,266,392,33,50,32
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",148,CRÂNGENI,152617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:55",564,528,0,4,32,342,306,0,4,32,290,19,580,271,177,75,24,10,4
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",73,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:28",1212,1201,1,5,5,501,491,0,5,5,471,20,1330,829,84,267,77,19,24
36,TELEORMAN,"GRĂDİNİŢA CU PROGRAM NORMAL NR.2",166,"DRĂGĂNEŞTI DE VEDE",152868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:26",536,507,0,9,20,368,339,0,9,20,362,5,580,213,124,186,12,32,8
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 BĂDULEASA",255,PUTINEIU,153829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:30",537,488,0,35,14,408,359,0,35,14,393,15,530,122,283,67,27,11,5
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 BLEJEŞTI",101,BLEJEŞTI,152083,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:07",828,812,0,4,12,525,509,0,4,12,516,9,900,375,15,408,64,9,20
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 BUTEȘTI (FOST LOCAL AL ȘCOLII CU CLASELE I-IV BUTEȘTI)",283,SILIŞTEA,154228,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:07",439,429,0,8,2,281,271,0,8,2,270,11,470,189,113,101,30,15,11
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 FRUMOASA",175,FRUMOASA,152993,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:44:49",423,404,0,5,14,315,296,0,5,14,315,0,460,145,99,176,28,6,6
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.2 NAVODARI , SAT NAVODARI, COMUNA SEACA , JUDETUL TELEORMAN, STRADA DUNARII, NR.107",277,SEACA,154139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:40",643,562,0,33,48,491,410,0,33,48,471,20,670,179,268,172,25,2,4
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂRU ROTUND",220,NENCIULEŞTI,154996,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:00",468,455,0,6,7,300,294,0,6,0,268,26,500,206,149,86,20,2,11
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂULEASCA",176,FRUMOASA,152993,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:28:49",403,381,0,13,9,289,267,0,13,9,280,9,429,139,107,135,23,5,10
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2, TĂMĂȘEȘTI",80,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:28:31",660,647,0,7,6,473,460,0,7,6,446,27,720,247,140,187,54,25,40
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",269,SÂRBENI,154308,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:01",384,325,1,50,8,283,227,0,50,6,270,8,320,42,19,210,23,8,10
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",53,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:15",1155,1145,0,9,1,438,428,0,9,1,419,19,1300,862,23,215,57,109,15
