precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",75,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:32",1442,1434,1,7,0,490,483,0,7,0,438,52,1600,1110,228,17,1,40,41,9,76,4,22
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR.5)",78,"MUNICIPIUL HUNEDOARA",86810,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:30:48",446,373,1,8,64,223,161,0,8,54,213,8,483,260,95,4,0,10,24,1,34,2,43
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ ZLAȘTI)",106,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:17",439,430,1,7,1,216,208,0,7,1,212,4,500,284,112,6,1,18,30,4,28,2,11
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”I.C.BRĂTIANU” HAŢEG",217,"ORAŞ HAŢEG",87576,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 20:02:13",1475,1424,1,38,12,837,786,1,38,12,788,37,1600,775,273,15,1,73,201,16,167,8,34
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU” (LICEUL TEORETIC)",147,"MUNICIPIUL PETROŞANI",86990,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:20:22",1643,1626,5,5,7,674,661,1,5,7,645,29,1800,1126,228,19,9,32,71,16,226,4,40
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU” (ŞCOALA GIMNAZIALĂ DÂLJA MARE)",165,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:06:02",183,173,0,10,0,130,120,0,10,0,124,6,200,70,81,0,0,5,3,0,34,0,1
22,HUNEDOARA,"COLEGIUL NAȚIONAL PEDAGOGIC”REGINA MARIA”",13,"MUNICIPIUL DEVA",86687,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:03:16",1183,1144,21,17,1,567,548,1,17,1,552,15,1272,705,150,16,9,90,157,16,64,6,44
22,HUNEDOARA,"COLEGIUL NAȚIONAL SPORTIV CETATE DEVA",18,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:08",1365,1353,2,10,0,714,702,2,10,0,688,26,1500,786,208,12,14,93,175,12,108,5,61
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA",232,"ORAŞ PETRILA",87077,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 09:03:17",961,955,0,6,0,499,493,0,6,0,462,37,1165,666,232,14,2,26,25,10,134,4,15
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL „ANA COLDA”)",235,"ORAŞ PETRILA",87077,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 02:20:16",1164,1153,0,5,6,565,554,0,5,6,546,19,1200,635,330,5,4,31,35,11,104,0,26
