precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi"
25,ILFOV,"ŞCOALA PRIMARĂ NR. 2 BALOTEŞTI",139,BALOTEŞTI,100969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:44:50",1567,1550,12,5,0,892,885,2,5,0,858,34,1700,808,70,463,32,283,10
25,ILFOV,"ŞCOALA PRIMARĂ NR.2 BALOTEŞTI",140,BALOTEŞTI,100969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:30:33",1037,1037,0,0,0,552,552,0,0,0,542,10,1100,548,92,356,31,45,18
25,ILFOV,"SCOALA PRIMARA NR 2 DUMITRANA",48,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:53:07",993,978,0,10,5,620,605,0,10,5,601,19,1100,480,69,417,29,66,20
25,ILFOV,"SCOALA PRIMARA NR 2 OLTENI",189,CLINCENI,102035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:58",1114,1104,2,5,3,589,581,0,5,3,567,22,1250,661,75,374,28,74,16
25,ILFOV,"ŞCOALA PRIMARĂ NR.2 OLTENI CLINCENI",190,CLINCENI,102035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:09:05",1100,1082,3,9,6,568,553,0,9,6,550,18,1195,627,86,306,34,114,10
25,ILFOV,"SC PIEȚE ȘI TÎRGURI BRAGADIRU SRL",6,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:37",1512,1490,5,15,2,782,764,1,15,2,742,40,1600,817,130,387,60,143,22
25,ILFOV,"SC RAFFAELLO SHOES FACTORY SRL",84,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:17:27",1195,1174,7,14,0,525,510,1,14,0,514,11,1300,775,74,182,22,225,11
25,ILFOV,"SC RAFFAELLO SHOES FACTORY SRL",85,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:39:52",1448,1421,0,27,0,718,691,0,27,0,698,3,1600,882,91,174,22,390,21
25,ILFOV,"SC RAFFAELLO SHOES FACTORY SRL",86,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:51:41",1408,1394,0,14,0,592,578,0,14,0,579,0,1500,921,54,158,21,331,15
25,ILFOV,"SERVICIUL IMPOZITE ȘI TAXE",39,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:41",1915,1901,5,9,0,881,872,0,9,0,853,28,2100,1219,149,491,68,124,21
25,ILFOV,"SPAȚIU COMERCIAL",19,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:32",1625,1606,3,15,1,706,690,0,15,1,672,34,1800,1094,103,351,52,137,29
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",265,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:38",478,470,0,5,3,348,340,0,5,3,339,9,500,152,37,269,13,19,1
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",266,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:10",413,377,0,25,11,328,292,0,25,11,302,26,454,123,37,224,15,19,7
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",264,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:27:27",303,291,0,11,1,233,221,0,11,1,219,14,300,67,43,145,14,11,6
25,ILFOV,"STRUCTURA CU GRUPE DE PREŞCOLARI",263,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 02:42:50",1764,1676,1,52,35,1145,1060,0,52,33,1103,42,1850,705,110,842,43,85,23
