precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","OVANESIAN FELICIA-NADINA-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 3 ”CIPRIAN PORUMBESCU”",187,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:51:51",1308,1294,1,13,0,642,628,1,13,0,618,24,1400,758,59,144,143,8,25,11,4,6,156,1,20,23,9,9
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",81,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:59",770,766,0,4,0,289,285,0,4,0,267,22,900,611,43,90,38,1,8,5,5,9,44,2,0,16,4,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",77,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:24",770,764,0,6,0,316,310,0,6,0,306,9,801,486,59,82,68,3,4,13,6,3,51,1,4,6,4,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",79,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:53",1487,1484,0,3,0,621,618,0,3,0,587,30,1600,979,104,178,113,8,19,17,7,0,87,6,1,26,13,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",78,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:00:27",1329,1325,0,4,0,547,543,0,4,0,516,28,1500,956,106,138,87,7,14,12,2,5,104,3,5,12,11,10
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",82,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:26",1119,1117,0,2,0,303,301,0,2,0,284,19,1200,897,75,94,41,10,9,8,2,2,26,1,2,4,3,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",80,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:28:55",737,732,0,5,0,288,283,0,5,0,274,9,800,512,40,88,52,2,12,2,4,4,44,3,1,14,4,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 40 ”AUREL VLAICU”",76,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:11",1531,1517,3,11,0,562,551,0,11,0,531,4,1700,1165,108,151,107,14,14,11,13,4,78,7,0,12,10,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 43 ”FERDINAND”",195,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:09",642,629,7,6,0,331,325,0,6,0,319,12,700,369,28,39,98,6,12,15,3,0,95,0,12,6,4,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.5 ”NICOLAE IORGA”",197,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:34",714,699,0,10,5,350,335,0,10,5,336,14,998,648,35,69,84,5,20,9,4,3,55,1,35,12,3,1
