precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIKE GABRIELLA-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOROIAN STELIAN-OLIMPIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MARIUS-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","POGORAN DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TAMÁS SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FAZAKAS PÉTER-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NAGY GÁBOR-LEVENTE-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ŞCOALA GIMNAZIALĂ OITUZ",122,BREŢCU,64096,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:16",256,248,0,8,0,133,125,0,8,0,126,7,300,167,8,34,3,4,75,1,1
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ORBAN BALAZS” MOACŞA",164,MOACŞA,64568,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:28",562,561,1,0,0,300,300,0,0,0,291,9,634,334,5,11,1,4,269,0,1
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” TÂRGU SECUIESC",56,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:31:43",1218,1208,4,6,0,533,527,0,6,0,516,17,1300,767,12,14,12,6,383,70,19
15,COVASNA,"ŞCOALA GIMNAZIALĂ SĂRĂMAŞ",96,BARCANI,63633,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:45:43",560,548,0,12,0,374,362,0,12,0,339,35,598,224,26,205,32,67,8,1,0
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”TREFÁN LEONÁRD” POIAN",177,POIAN,64719,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:57",1003,955,1,1,46,629,582,0,1,46,603,26,1100,471,2,8,1,1,436,151,4
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”TUROCZI MÓZES” TÂRGU SECUIESC",58,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:17:53",1238,1231,0,7,0,457,450,0,7,0,440,17,1300,843,12,17,6,10,326,49,20
15,COVASNA,"ŞCOALA GIMNAZIALĂ VÂLCELE",204,VÂLCELE,64942,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 19:12:24",1166,1129,3,5,29,789,755,0,5,29,714,75,1200,411,181,79,16,411,24,1,2
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",20,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:11:00",1343,1289,6,7,41,748,699,1,7,41,699,49,1500,752,19,11,15,11,595,26,22
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",19,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:30",1011,998,2,8,3,460,449,0,8,3,443,17,1104,644,13,11,12,14,358,13,22
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÉGH ANTAL” CERNAT",129,CERNAT,64194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:45",1194,1154,1,0,39,645,606,0,0,39,620,25,1302,657,13,5,5,2,529,29,37
15,COVASNA,"ŞCOALA GIMNAZIALĂ ZĂBRĂTĂU",192,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:34",437,430,0,6,1,261,254,0,6,1,246,15,500,239,33,133,10,62,6,2,0
15,COVASNA,"ŞCOALA PRIMARĂ ARIUŞD",202,VÂLCELE,64942,6,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 19:30:10",365,353,0,5,7,235,223,0,5,7,208,21,400,165,111,26,7,25,37,0,2
15,COVASNA,"ŞCOALA PRIMARĂ ”BERDE MOZSA” SÎNTIONLUNCA",176,OZUN,64639,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 14:12:17",628,615,4,3,6,295,286,0,3,6,283,12,700,405,4,5,2,1,265,5,1
15,COVASNA,"ŞCOALA PRIMARĂ BITA",181,RECI,64773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:44",212,200,2,3,7,135,125,0,3,7,133,2,217,82,1,1,0,0,129,1,1
15,COVASNA,"ŞCOALA PRIMARĂ ”BODA-POPOVICI” DOBOLII DE JOS",154,ILIENI,64425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:08",436,412,3,4,17,286,265,0,4,17,272,14,495,209,39,21,13,10,150,30,9
15,COVASNA,"ŞCOALA PRIMARĂ BOROŞNEU MIC",108,"BOROŞNEU MARE",63937,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:56:17",383,359,0,20,4,226,202,0,20,4,221,5,400,174,43,3,0,1,170,3,1
15,COVASNA,"ȘCOALA PRIMARĂ ”BUDAI JÓZSEF” BODOȘ",71,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:41",354,347,0,5,2,185,178,0,5,2,181,4,389,204,1,0,0,0,171,5,4
15,COVASNA,"ŞCOALA PRIMARĂ ”DR. BEDŐ ALBERT” CALNIC",198,"VALEA CRIŞULUI",64906,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:50:13",441,418,0,3,20,267,244,0,3,20,261,6,517,250,3,0,2,1,248,6,1
15,COVASNA,"ȘCOALA PRIMARĂ ”FORRÓ ELEK”",148,GHIDFALĂU,64345,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:16:59",558,545,4,1,8,269,260,0,1,8,263,6,600,331,4,2,0,1,240,12,4
15,COVASNA,"ŞCOALA PRIMARĂ ”GEORGE COŞBUC” ZAGON",207,ZAGON,65011,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:58:30",1475,1456,1,5,13,764,747,0,5,12,637,127,1583,819,148,267,30,103,86,2,1
15,COVASNA,"ŞCOALA PRIMARĂ HARALE",146,GHELINŢA,64318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:23:42",203,190,0,5,8,107,94,0,5,8,104,3,300,193,0,0,0,4,96,3,1
15,COVASNA,"ŞCOALA PRIMARĂ HETEA",203,VÂLCELE,64942,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:22",304,298,0,6,0,216,210,0,6,0,180,36,369,153,41,41,2,91,3,1,1
15,COVASNA,"ȘCOALA PRIMARĂ ” HORVÁTH KÁROLY” TELECHIA",114,BRATEŞ,64005,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:14:48",461,447,2,2,10,234,222,0,2,10,228,6,500,266,4,0,0,0,224,0,0
15,COVASNA,"SCOALA PRIMARA IMENI",125,CATALINA,64130,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:41",239,234,0,5,0,115,110,0,5,0,111,4,290,175,2,1,1,0,80,26,1
