precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"GRĂDINIŢA PN VINGA",414,VINGA,12643,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:47:55",1678,1645,3,9,21,850,820,0,9,21,814,36,1810,960,96,418,78,26,133,39,24
2,ARAD,"GRĂDINIȚA PP NR. 1 SÂNTANA",167,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:42",922,916,0,5,1,427,421,0,5,1,413,14,1010,583,89,206,73,6,8,24,7
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",164,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:02",1666,1653,1,8,4,364,352,0,8,4,326,38,1820,1456,58,159,63,9,7,13,17
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",163,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:28",1323,1312,1,6,4,502,491,1,6,4,479,23,1460,958,106,225,90,6,12,20,20
2,ARAD,"GRĂDINIŢA PROGRAM NORMAL CHESINŢ",428,ZĂBRANI,12778,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:30",918,877,0,20,21,583,542,0,20,21,550,33,990,407,90,171,209,1,4,44,31
2,ARAD,"LICEUL ATANASIE MARIENESCU",132,"ORAŞ LIPOVA",9574,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:15:08",820,807,3,9,1,429,419,0,9,1,422,7,890,461,47,137,198,7,5,15,13
2,ARAD,"LICEUL ATANASIE MARIENESCU",139,"ORAŞ LIPOVA",9574,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:25:15",944,927,5,3,9,447,434,1,3,9,428,19,1040,593,47,149,188,7,4,23,10
2,ARAD,"LICEUL CU PROGRAM SPORTIV (FOSTA ŞCOALĂ GENERALĂ NR. 9)",59,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:31:29",1276,1265,1,7,3,455,445,0,7,3,425,15,1420,970,73,116,106,16,9,68,37
2,ARAD,"LICEUL CU PROGRAM SPORTIV (FOSTA ŞCOALĂ GENERALĂ NR. 9)",58,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:19:17",1529,1517,7,5,0,591,586,0,5,0,551,34,1640,1047,111,156,84,53,14,95,38
2,ARAD,"LICEUL CU PROGRAM SPORTIV (FOSTA ŞCOALĂ GENERALĂ NR. 9)",60,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:07",1673,1663,5,5,0,592,587,0,5,0,574,18,1800,1208,112,179,117,40,16,72,38
2,ARAD,"LICEUL CU PROGRAM SPORTIV (FOSTA ŞCOALĂ GENERALĂ NR. 9)",61,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:25",1254,1248,2,4,0,466,461,1,4,0,440,20,1390,924,82,113,92,43,15,72,23
2,ARAD,"LICEUL CU PROGRAM SPORTIV (FOSTA ŞCOALĂ GENERALĂ NR. 9)",62,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:55:15",1424,1410,5,9,0,532,523,0,9,0,518,14,1570,1038,90,152,117,37,7,78,37
2,ARAD,"LICEUL NAȚIONAL DE INFORMATICĂ",14,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:01:24",1239,1228,0,10,1,495,484,0,10,1,476,17,1370,877,60,118,102,49,12,110,25
2,ARAD,"LICEUL ORAŞULUI SEBIŞ",170,"ORAŞ SEBIŞ",9690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:21:03",1496,1481,0,8,7,750,735,0,8,7,716,34,1620,870,96,379,172,13,11,19,26
