precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ŞCOALA PRIMARÃ FÂSTÂCI",259,COZMEŞTI,167277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:56",593,586,0,7,0,316,309,0,7,0,298,18,600,284,217,39,22,3,1,16
39,VASLUI,"ŞCOALA PRIMARĂ, FUNDĂTURA",272,DELEŞTI,163379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:26:43",291,290,0,1,0,136,135,0,1,0,132,4,300,164,38,20,63,1,4,6
39,VASLUI,"ŞCOALA PRIMARĂ GĂVANU (CORPUL ALĂTURAT)",218,BOGDANA,162595,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:05:34",99,92,0,7,0,52,45,0,7,0,50,2,100,48,14,8,26,0,0,2
39,VASLUI,"ŞCOALA PRIMARĂ GHERMĂNEŞTI",187,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:10",371,365,0,3,3,206,200,0,3,3,191,15,392,186,84,6,96,0,1,4
39,VASLUI,"ŞCOALA PRIMARA, GHICANI",178,"ALEXANDRU VLAHUŢĂ",162069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:19",130,123,0,3,4,74,67,0,3,4,71,2,200,127,45,22,2,1,1,0
39,VASLUI,"ȘCOALA PRIMARĂ GRUMEZOAIA",277,"DIMITRIE CANTEMIR",164277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:48",310,307,0,2,1,189,186,0,2,1,174,15,400,210,123,8,35,2,3,3
39,VASLUI,"ŞCOALA PRIMARA - GURA ALBEŞTI",175,ALBEŞTI,162014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:52",126,116,0,9,1,76,66,0,9,1,67,9,200,124,23,14,7,11,3,9
39,VASLUI,"ŞCOALA PRIMARĂ GURA IDRICI",456,ROŞIEŞTI,165817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:54:09",185,175,1,4,5,185,175,1,4,5,174,11,400,215,66,24,8,0,1,75
39,VASLUI,"ŞCOALA PRIMARĂ GUȘIȚEI",278,"DIMITRIE CANTEMIR",164277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:25",644,641,0,1,2,358,355,0,1,2,324,34,700,342,57,23,236,3,2,3
39,VASLUI,"ŞCOALA PRIMARA HĂLĂREŞTI",343,IANA,164339,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:02",807,799,0,8,0,454,446,0,8,0,428,26,900,446,253,48,56,10,2,59
