precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN DANIEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANCEA VALENTIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","ICHIM IULIAN-GABRIEL-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","SECHELARIU SERGIU-PARTIDUL VERDE-voturi","STANCIU-VIZITEU LUCIAN-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BRĂILA ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MANOLACHE CRISTINEL-PARTIDUL ECOLOGIST ROMÂN-voturi","GHINGHEŞ CRISTIAN-PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","GĂZDARU ADRIAN-voturi","CHIRILESCU DORIN-voturi"
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",96,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:50:21",1069,1063,0,6,0,396,390,0,6,0,383,13,1212,816,18,77,10,62,129,10,52,11,5,9
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",94,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:29:48",1283,1275,0,7,1,487,479,0,7,1,476,11,1400,913,28,99,3,53,167,4,98,14,4,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",93,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:41",956,948,3,5,0,375,370,0,5,0,369,6,1100,719,20,64,4,61,116,9,70,16,7,2
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",95,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:35",1218,1215,0,3,0,437,434,0,3,0,426,11,1300,863,22,105,8,46,161,11,46,20,3,4
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",14,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:42:54",1361,1351,3,7,0,569,562,0,7,0,547,12,1500,941,12,126,2,67,236,10,49,19,10,16
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",12,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 19:33:01",1590,1584,0,6,0,91,85,0,6,0,91,0,1800,1709,6,27,1,12,31,2,7,2,3,0
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",9,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:32:33",1318,1310,0,8,0,516,508,0,8,0,497,9,1397,799,28,99,3,57,218,12,29,25,16,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",10,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:48:30",1158,1149,1,8,0,488,479,1,8,0,467,12,1300,821,32,95,3,62,191,11,35,20,2,16
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",11,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:28",1173,1164,1,8,0,531,523,0,8,0,525,6,1312,781,23,149,0,53,187,14,44,21,5,29
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",13,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:52",1355,1346,1,8,0,518,510,0,8,0,501,17,1500,982,27,111,1,57,211,13,33,27,6,15
