precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COARNĂ DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BELLANTONI AMALIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DĂSCĂLESCU-TIRON CAMELIA-SANDA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",30,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:10:08",1373,1368,0,5,0,700,695,0,5,0,690,10,1505,804,112,278,138,52,37,73
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",32,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:06",1154,1150,0,4,0,591,587,0,4,0,576,15,1296,705,71,274,124,33,25,49
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",31,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:49",1234,1230,0,4,0,1234,1230,0,4,0,571,17,1352,764,76,257,125,39,29,45
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA VALEA ARGOVEI",226,"VALEA ARGOVEI",105712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:44",1261,1164,0,53,44,886,789,0,53,44,851,35,1380,494,167,610,41,7,15,11
12,CĂLĂRAŞI,"SCOALA GIMNAZIĂ NR. 1 GĂLBINAȘI",143,GĂLBINAŞI,179962,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:10:57",1424,1411,0,11,2,1036,1023,0,11,2,977,59,1530,494,42,556,333,12,27,7
12,CĂLĂRAŞI,"SCOALA ILEANA",152,ILEANA,103764,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:59:57",766,736,0,30,0,465,435,0,30,0,457,8,808,343,38,371,26,4,14,4
12,CĂLĂRAŞI,"SCOALA MARGINENI",100,CIOCĂNEŞTI,93085,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:40",670,626,1,15,28,448,406,0,15,27,421,27,741,293,14,235,149,12,5,6
12,CĂLĂRAŞI,"SCOALA PRIMARA MARIUTA",85,BELCIUGATELE,101083,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:54",424,396,0,21,7,329,301,0,21,7,315,14,500,171,10,134,156,9,3,3
12,CĂLĂRAŞI,"SCOALA PRIMARA NR. 1",160,JEGĂLIA,93815,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:35",1095,1085,1,0,9,604,594,1,0,9,579,25,1270,666,35,149,361,4,24,6
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 CĂLĂRAŞI VECHI",110,"CUZA VODĂ",93281,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:04",591,562,0,18,11,415,386,0,18,11,396,19,700,285,20,135,214,9,8,10
