precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL VASILE ALECSANDRI",189,STEJARU,161348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:20",293,277,0,11,5,293,277,0,11,5,290,3,442,149,170,0,70,22,3,3,16,6
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL VISTERNA",178,SARICHIOI,161179,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:53",321,317,0,4,0,142,138,0,4,0,137,5,351,209,19,0,63,45,3,0,1,6
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT A LICEULUI TEHNOLOGIC AGRICOL ”NICOLAE CORNĂȚEANU”",40,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:30:51",1588,1583,5,0,0,691,691,0,0,0,671,20,1787,1096,190,8,193,122,44,57,9,48
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",14,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:23:20",1623,1617,0,6,0,682,676,0,6,0,673,9,1800,1118,178,10,276,89,41,51,9,19
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",6,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:15:58",1499,1491,2,6,0,520,514,0,6,0,508,12,1673,1153,126,9,180,88,22,38,4,41
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",5,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:10",1595,1587,0,8,0,592,584,0,8,0,582,10,1781,1189,164,5,187,115,35,28,7,41
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",34,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:45:56",1534,1531,0,3,0,643,640,0,3,0,621,22,1699,1056,129,6,223,128,50,36,6,43
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",35,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:51",1522,1515,2,5,0,473,468,0,5,0,458,15,1678,1205,113,4,121,110,22,46,4,38
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",2,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:06",1311,1306,0,5,0,511,506,0,5,0,494,17,1449,938,111,11,177,109,29,33,3,21
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",1,"MUNICIPIUL TULCEA",159614,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:10:04",1201,1191,4,6,0,388,382,0,6,0,385,3,1319,931,81,1,135,79,21,30,4,34
