precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",82,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:41",933,925,0,8,0,398,390,0,8,0,388,10,1020,622,68,210,2,47,30,7,2,4,3,15
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",80,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:46",915,907,0,7,1,400,392,0,7,1,392,8,1000,600,73,207,2,39,25,15,3,1,3,24
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",81,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:18",966,959,0,6,1,403,396,0,6,1,390,13,1060,657,65,210,2,41,27,15,5,3,5,17
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",84,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:45",1379,1376,0,3,0,638,635,0,3,0,617,21,1520,882,106,301,3,102,37,34,3,7,0,24
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",78,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:30",891,885,1,5,0,349,344,0,5,0,344,5,980,631,54,189,1,48,20,16,5,3,2,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",79,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:38:15",932,919,1,12,0,412,400,0,12,0,400,12,1010,598,72,198,2,51,31,12,3,3,3,25
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",83,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:36",1393,1382,2,9,0,653,644,0,9,0,635,18,1530,877,115,332,7,63,46,32,7,5,6,22
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",50,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:10",940,930,2,8,0,437,429,0,8,0,417,20,1020,583,110,183,1,46,35,20,4,3,4,11
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",51,"MUNICIPIUL RÂMNICU VÂLCEA",167473,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:26:39",1240,1232,1,7,0,584,577,0,7,0,548,36,1360,776,133,247,3,52,62,15,8,3,6,19
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",52,"MUNICIPIUL RÂMNICU VÂLCEA",167473,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:39",933,927,0,6,0,446,440,0,6,0,424,22,1020,574,108,146,0,47,58,30,9,2,7,17
