precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CANCIU CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOMIR VIOREL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎRLIGEA FLORIN-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCĂ DORIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","MUSCELEANU GABRIEL-MONU-PARTIDUL S.O.S. ROMÂNIA-voturi","GURGU MARCEL-PARTIDUL SOCIALIST ROMÂN-voturi","CIOCAN NICUŞOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
9,BRĂILA,"COLEGIUL NAŢIONAL „NICOLAE BĂLCESCU”",63,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:46",1244,1238,1,5,0,463,458,0,5,0,440,23,1400,937,41,261,53,9,32,4,40
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",93,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:19",1115,1109,0,6,0,474,468,0,6,0,457,17,1250,776,54,319,22,8,11,6,37
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",94,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:16:20",1082,1072,2,8,0,419,411,0,8,0,406,13,1200,781,23,287,36,14,15,3,28
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",40,"MUNICIPIUL BRĂILA",42682,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:25:14",1292,1284,0,7,1,544,536,0,7,1,530,14,1450,906,52,353,36,24,26,7,32
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",39,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:21",1391,1370,0,21,0,532,511,0,21,0,506,26,1600,1068,40,328,47,50,13,1,27
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",70,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:21",774,765,0,9,0,321,312,0,9,0,313,8,850,529,28,218,25,10,14,1,17
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",69,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:34",1233,1227,1,5,0,486,481,0,5,0,477,9,1350,864,54,312,38,15,18,2,38
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",71,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:09:36",1192,1182,0,10,0,462,452,0,10,0,444,18,1301,839,32,301,36,11,24,5,35
9,BRĂILA,"COMPANIA DE UTILITĂȚI PUBLICE „DUNĂREA” SA BRĂILA",41,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:27:59",1405,1395,0,10,0,545,535,0,10,0,524,21,1500,955,41,354,46,18,33,8,24
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",46,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:27",786,760,4,4,18,369,347,0,4,18,362,7,850,481,51,224,33,7,12,3,32
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",45,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:22",1236,1223,4,8,1,550,541,0,8,1,532,18,1400,850,44,351,47,23,17,3,47
9,BRĂILA,"GRĂDINIŢA NR. 11 „BRÂNDUȘA”",33,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:40:07",1374,1365,2,7,0,506,499,0,7,0,485,11,1500,991,31,349,40,12,20,8,25
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",10,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:03",1513,1504,2,7,0,618,611,0,7,0,604,14,1607,989,42,425,47,13,30,3,44
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",9,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:47",1595,1586,1,8,0,629,621,0,8,0,606,23,1700,1071,39,413,63,16,34,11,30
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",74,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:15:58",1200,1194,0,6,0,439,433,0,6,0,429,10,1300,861,47,307,41,8,8,5,13
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",75,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:19",939,932,0,6,1,334,327,0,6,1,322,12,1050,716,30,225,28,10,13,5,11
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",76,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:21",1249,1243,0,6,0,442,436,0,6,0,431,11,1350,908,28,304,38,12,23,4,22
9,BRĂILA,"GRĂDINIŢA NR. 36 „FURNICUŢA”",92,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:11",1219,1211,1,7,0,504,497,0,7,0,494,10,1350,846,43,344,42,10,25,5,25
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",95,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:11",1109,1059,0,7,43,450,400,0,7,43,429,21,1150,700,35,310,22,12,21,7,22
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",97,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:58:49",1124,1112,0,12,0,486,474,0,12,0,462,16,1250,772,37,322,34,20,11,2,36
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",96,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:38",1551,1542,1,8,0,601,593,0,8,0,582,19,1700,1099,47,365,49,29,39,8,45
9,BRĂILA,"GRĂDINIŢA NR. 38 „IZVORAȘUL”",29,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:21",1292,1265,20,7,0,553,546,0,7,0,541,12,1400,847,37,383,32,28,20,3,38
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",21,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:44",1034,1026,1,7,0,406,399,0,7,0,389,17,1200,794,23,256,41,18,17,7,27
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",23,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:43",997,988,1,8,0,359,351,0,8,0,344,15,1100,741,22,258,21,8,21,2,12
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",20,"MUNICIPIUL BRĂILA",42682,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:10",1150,1142,2,6,0,450,444,0,6,0,438,6,1305,861,37,296,35,14,30,3,23
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",22,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:09",1013,1003,2,8,0,385,377,0,8,0,376,9,1104,719,38,258,27,11,22,3,17
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",6,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:06",1117,1112,1,4,0,466,462,0,4,0,450,16,1201,730,29,334,38,15,18,6,10
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",5,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:43",1053,1045,0,8,0,452,444,0,8,0,440,12,1101,649,39,307,43,13,19,6,13
9,BRĂILA,"GRĂDINIŢA NR. 8 „SCUFIȚA ROȘIE”",120,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:48",1090,1084,0,6,0,452,446,0,6,0,448,4,1200,748,34,308,48,10,17,5,26
