precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"ŞCOALA GIMNAZIALĂ DIMITRIE STURDZA TECUCI",181,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 20:24:25",735,726,0,8,1,323,314,0,8,1,312,11,800,477,3,101,154,20,8,0,0,2,9,0,0,11,4
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DOAMNA NICA” CORP C5",428,"VALEA MĂRULUI",77475,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:44",832,786,1,9,36,430,385,0,9,36,407,23,866,436,5,142,222,25,0,0,0,0,8,3,0,1,1
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DOAMNA NICA” CORP C5",427,"VALEA MĂRULUI",77475,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:59:47",985,927,0,7,51,549,497,0,7,45,528,21,1080,531,0,160,299,35,0,0,0,0,13,7,0,9,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA",319,GRIVIŢA,76558,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 10:36:58",1583,1543,0,9,31,808,768,0,9,31,753,55,1698,890,17,236,410,24,2,5,1,0,10,0,1,37,10
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA, CORP C2,",320,GRIVIŢA,76558,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 10:45:32",951,932,0,5,14,494,475,0,5,14,462,32,1048,554,19,123,261,22,3,1,1,0,5,1,0,24,2
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA” (ȘCOALA NR.15)",24,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:49",1713,1703,6,4,0,604,600,0,4,0,579,25,2000,1396,8,62,279,54,1,61,4,3,24,26,5,45,7
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA” (ȘCOALA NR.15)",23,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:45:53",1268,1260,0,8,0,508,500,0,8,0,484,24,1600,1092,4,46,243,58,5,35,3,1,25,15,6,38,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA” (ȘCOALA NR.15)",26,"MUNICIPIUL GALAŢI",75098,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 18:09:44",1288,1279,2,7,0,410,403,0,7,0,386,22,1200,790,13,20,186,55,1,30,2,3,20,17,7,18,14
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA” (ȘCOALA NR.15)",25,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:37",1278,1269,2,7,0,390,383,0,7,0,377,13,1200,810,11,25,164,35,2,43,1,1,28,14,1,40,12
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",285,"CUZA VODĂ",77595,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:14:55",1044,1012,0,4,28,584,552,0,4,28,564,20,1210,626,4,135,307,45,41,1,0,2,17,4,4,2,2
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",284,"CUZA VODĂ",77595,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:25:32",1163,1138,0,5,20,629,604,0,5,20,587,42,1210,581,3,133,367,38,17,0,0,0,16,4,2,6,1
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GEORGE IVAȘCU”",259,CERŢEŞTI,75917,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:29",726,684,1,17,24,447,406,0,17,24,412,35,749,302,4,56,270,66,0,0,0,0,4,10,0,2,0
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GHEORGHE MUNTEANU” (ȘCOALA GENERALĂ ”GHEORGHE MUNTEANU” - ȘCOALA GENERALĂ NR. 31)",138,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:22:21",1424,1418,0,6,0,496,490,0,6,0,478,18,1600,1104,9,34,310,30,1,10,2,1,21,19,1,22,18
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GHEORGHE MUNTEANU” (ȘCOALA GENERALĂ ”GHEORGHE MUNTEANU” - ȘCOALA GENERALĂ NR. 31)",137,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:29",1354,1348,0,6,0,523,517,0,6,0,513,10,1600,1077,3,33,314,37,5,26,2,0,21,17,5,37,13
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GHEORGHE MUNTEANU” (ȘCOALA GENERALĂ ”GHEORGHE MUNTEANU” - ȘCOALA GENERALĂ NR. 31)",139,"MUNICIPIUL GALAŢI",75098,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-18 19:28:34",1783,1779,0,4,0,630,626,0,4,0,604,26,2000,1370,9,51,376,45,2,27,4,1,15,23,2,34,15
18,GALAŢI,"ŞCOALA GIMNAZIALĂ GHEORGHE PETRAŞCU TECUCI",182,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:27",979,971,0,8,0,380,372,0,8,0,356,24,1070,690,5,137,160,19,4,2,0,1,10,4,0,13,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ GHEORGHE PETRAŞCU TECUCI",183,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:04:49",1461,1456,0,4,1,586,581,0,4,1,556,30,1610,1024,10,219,228,40,7,0,2,2,21,8,2,13,4
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ”GRIGORE HAGIU”",215,"ORAŞ TÂRGU BUJOR",75472,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 21:43:55",1889,1872,0,5,12,625,608,0,5,12,603,22,2079,1454,18,150,384,13,0,0,1,1,8,7,0,20,1
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GRIGORE MOISIL” (ȘCOALA GENERALĂ ”GRIGORE MOISIL” - ȘCOALA GENERALĂ NR. 38)",136,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 16:42:37",1594,1589,0,5,0,624,619,0,5,0,610,14,1600,976,2,28,399,36,6,34,2,6,11,26,12,27,21
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GRIGORE MOISIL” (ȘCOALA GENERALĂ ”GRIGORE MOISIL” - ȘCOALA GENERALĂ NR. 38)",134,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:01:00",1273,1266,0,7,0,523,516,0,7,0,502,21,1200,677,4,26,329,36,2,20,1,4,10,15,6,37,12
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GRIGORE MOISIL” (ȘCOALA GENERALĂ ”GRIGORE MOISIL” - ȘCOALA GENERALĂ NR. 38)",135,"MUNICIPIUL GALAŢI",75098,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 20:37:19",1401,1395,0,6,0,549,543,0,6,0,531,18,1600,1051,6,46,323,46,4,24,0,3,22,13,4,29,11
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GRIGORE MOISIL” (ȘCOALA GENERALĂ ”GRIGORE MOISIL” - ȘCOALA GENERALĂ NR. 38)",133,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:15:09",1686,1681,1,4,0,646,642,0,4,0,637,9,2000,1348,10,57,369,62,3,45,3,5,25,16,5,26,11
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ION CREANGĂ TĂLPIGI",314,GHIDIGENI,76406,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:11",1648,1639,0,5,4,951,942,0,5,4,874,77,1810,859,50,584,166,42,0,0,0,0,18,11,0,2,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ION PETROVICI TECUCI",185,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 20:49:47",982,966,0,4,12,430,414,0,4,12,394,36,1080,650,10,140,166,29,5,3,0,1,15,3,4,15,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ION PETROVICI TECUCI",186,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 20:59:22",676,665,0,10,1,296,285,0,10,1,277,10,730,434,6,76,129,27,5,0,1,2,9,0,1,20,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ IORGU IORDAN",195,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 22:24:38",1149,1147,0,2,0,548,546,0,2,0,539,9,1270,722,6,186,277,24,10,1,0,0,12,1,1,18,3
