precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","SIMÓ ZOLTÁN-voturi"
21,HARGHITA,"LICEUL TEHNOLOGIC CORBU CORP A",117,CORBU,84148,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:58",749,739,1,4,5,424,415,0,4,5,399,25,800,376,25,81,228,39,23,0,3
21,HARGHITA,"LICEUL TEHNOLOGIC CORP D",118,CORBU,84148,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:43:02",408,402,1,5,0,219,214,0,5,0,202,17,450,231,0,51,118,25,8,0,0
21,HARGHITA,"LICEUL TEHNOLOGIC ”FOGARASY MIHÁLY”",32,"MUNICIPIUL GHEORGHENI",83561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:02",1733,1712,6,12,3,729,714,0,12,3,693,36,1900,1171,9,19,30,8,556,66,5
21,HARGHITA,"LICEUL TEHNOLOGIC ”GÁBOR ÁRON”, VLĂHIŢA",87,"ORAŞ VLĂHIŢA",83749,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:24",930,928,0,2,0,496,494,0,2,0,477,19,1000,504,15,26,21,5,230,176,4
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",42,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:41",1522,1503,12,6,1,748,741,0,6,1,719,29,1600,852,6,11,11,7,646,34,4
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",41,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:18:28",1628,1611,3,13,1,884,870,0,13,1,858,26,1800,916,13,13,16,7,752,50,7
21,HARGHITA,"LICEUL TEHNOLOGIC ”LIVIU REBREANU” BĂLAN - CLĂDIRE GRĂDINIȚA NR. 2",72,"ORAŞ BĂLAN",83464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:52:02",1216,1208,0,7,1,412,404,0,7,1,372,40,1300,888,34,41,108,104,81,1,3
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",154,JOSENI,84558,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:42:59",1378,1353,6,0,19,735,715,1,0,19,705,30,1500,765,5,2,20,1,656,20,1
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",153,JOSENI,84558,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:24",1394,1372,0,0,22,760,738,0,0,22,717,43,1500,740,4,3,17,7,662,24,0
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",152,JOSENI,84558,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:46:18",1182,1155,4,2,21,651,628,0,2,21,610,41,1300,649,2,6,19,0,566,16,1
21,HARGHITA,"LICEUL TEHNOLOGIC „ZIMMETHAUSEN„",74,"ORAŞ BORSEC",83491,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:07",897,875,5,4,13,506,488,1,4,13,489,17,1150,644,9,24,88,28,318,18,4
21,HARGHITA,"LICEUL TEOLOGIC UNITARIAN „BERDE MÓZES” CRISTURU SECUIESC",80,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:47",1691,1680,3,4,4,871,863,0,4,4,814,57,1700,829,20,34,51,20,497,191,1
21,HARGHITA,"LICEUL TEORETIC ”KEMENY JANOS” TOPLIŢA",59,"MUNICIPIUL TOPLIŢA",83632,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:53:04",1344,1336,0,8,0,660,652,0,8,0,634,26,1500,840,48,232,153,45,148,3,5
21,HARGHITA,"LICEUL TEORETIC ”SALAMON ERNŐ”",31,"MUNICIPIUL GHEORGHENI",83561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:45:38",1764,1715,18,24,7,815,784,0,24,7,769,46,1900,1085,20,17,35,12,584,86,15
21,HARGHITA,"PAROHIA REFORMATĂ ALUNIȘ",197,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:15",130,127,0,0,3,85,82,0,0,3,81,4,200,115,0,4,2,1,68,6,0
21,HARGHITA,"PAROHIA ROMANO-CATOLICĂ CRISTURU SECUIESC",78,"ORAŞ CRISTURU SECUIESC",83525,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:46:32",1360,1348,4,4,4,654,646,0,4,4,616,34,1400,750,12,8,13,2,417,164,0
21,HARGHITA,"PRIMĂRIA CÎRŢA",103,CÂRŢA,84102,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:14",828,803,10,0,15,515,498,2,0,15,492,23,900,385,6,6,5,4,458,11,2
21,HARGHITA,"PRIMĂRIA COMUNEI FRUMOASA",146,FRUMOASA,84415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:07",1566,1518,2,25,21,815,790,0,4,21,766,49,1653,838,13,21,52,12,606,61,1
21,HARGHITA,"PRIMĂRIA COMUNEI PORUMBENI",213,PORUMBENI,86487,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:23:43",1035,1012,4,1,18,628,608,1,1,18,620,8,1100,472,3,5,5,1,593,12,1
21,HARGHITA,"PRIMARIA COMUNEI PRAID- SALA DE SEDINTE AL CONS.LOCAL",215,PRAID,85341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:33:47",1475,1462,3,5,5,725,715,0,5,5,685,40,1600,875,19,18,21,8,535,77,7
21,HARGHITA,"PRIMĂRIA COMUNEI SĂCEL",228,SĂCEL,85467,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:21:15",88,87,0,1,0,46,45,0,1,0,35,11,200,154,2,2,19,4,8,0,0
21,HARGHITA,"PRIMĂRIA COMUNEI SICULENI",252,SICULENI,85626,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:20:41",1167,1110,4,0,53,669,615,1,0,53,638,31,1200,531,9,12,19,13,578,6,1
21,HARGHITA,"PRIMĂRIA COMUNEI SUSENI",256,SUSENI,85920,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:59",835,833,0,1,1,452,450,0,1,1,432,20,900,448,8,4,5,0,247,167,1
21,HARGHITA,"PRIMĂRIA COMUNEI SUSENI",255,SUSENI,85920,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:24:44",883,876,4,2,1,455,452,0,2,1,431,24,900,445,4,1,0,3,311,110,2
21,HARGHITA,"PRIMĂRIA COMUNEI VĂRȘAG",283,VĂRŞAG,86311,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:20",1102,1084,7,0,11,641,628,2,0,11,618,23,1200,559,2,4,13,4,581,11,3
21,HARGHITA,"PRIMĂRIA LUNCA DE SUS",169,"LUNCA DE SUS",84754,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:56",1343,1335,1,7,0,706,699,0,7,0,653,53,1400,694,17,15,22,6,526,63,4
21,HARGHITA,"PRIMĂRIA MEREŞTI",191,MEREŞTI,85056,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:36",1089,1043,2,9,35,564,520,0,9,35,532,32,1100,536,6,9,17,11,454,32,3
21,HARGHITA,"PRIMĂRIA SÎNDOMINIC",238,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:04",1481,1468,2,0,11,765,754,0,0,11,737,28,1600,835,7,13,29,7,659,20,2
21,HARGHITA,"PRIMĂRIA SÎNDOMINIC",239,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:36",1476,1451,1,2,22,791,767,0,2,22,759,32,1600,809,10,6,17,0,690,33,3
21,HARGHITA,"PRIMARIA SÎNMARTIN",242,SÂNMARTIN,85788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:12:30",916,896,3,1,16,588,570,1,1,16,553,35,1000,412,2,5,1,6,499,27,13
21,HARGHITA,"PRIMARIA SÎNMARTIN",243,SÂNMARTIN,85788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:56",884,876,0,2,6,487,479,0,2,6,455,32,950,463,5,5,11,2,412,15,5
21,HARGHITA,"PRIMĂRIA ZETEA",288,ZETEA,86366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:32",1234,1230,1,2,1,608,605,0,2,1,575,33,1300,692,4,5,12,6,543,4,1
21,HARGHITA,"SALA DE MANIFESTATII",214,PORUMBENI,86487,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:12:31",413,395,2,3,13,249,232,1,3,13,243,6,450,201,1,2,2,1,231,5,1
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”JÓZSEF ATTILA” MIERCUREA-CIUC",15,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:50:59",1644,1615,15,13,1,720,706,0,13,1,702,18,1800,1080,16,35,54,31,516,39,11
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZILAE ”JÓZSEF ATTILA” MIERCUREA-CIUC",16,"MUNICIPIUL MIERCUREA-CIUC",83320,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:48:29",1452,1440,3,3,6,627,618,0,3,6,610,8,1600,982,21,46,59,31,403,45,5
21,HARGHITA,"SALĂ DE SPORT CICEU",106,CICEU,86461,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:48",1136,1107,1,1,27,690,661,1,1,27,668,22,1200,510,7,3,6,6,618,26,2
21,HARGHITA,"SC.GIM. ARANY JANOS",192,MIHĂILENI,85074,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:54",812,799,0,7,6,484,471,0,7,6,451,33,900,416,5,7,10,6,324,98,1
21,HARGHITA,"S.C. GOSCOM S.A MIERCUREA-CIUC",11,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:57",1156,1156,0,0,0,450,450,0,0,0,434,16,1300,850,9,13,35,15,318,44,0
21,HARGHITA,"ȘCOALA GENERALA ”BALÁS JENŐ”",222,REMETEA,85412,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:30",1142,1091,2,0,49,699,649,1,0,49,672,27,1200,501,1,0,6,0,661,3,1
21,HARGHITA,"ȘCOALA GENERALÂ DÂRJIU JÁNOS ZSIGMOND",129,DÂRJIU,84380,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:10:43",523,522,1,0,0,246,246,0,0,0,224,22,550,304,5,2,9,1,200,6,1
21,HARGHITA,"ȘCOALA GENERALĂ DIN MUJNA",130,DÂRJIU,84380,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:48:56",291,284,1,6,0,142,136,0,6,0,126,16,300,158,0,2,6,0,117,0,1
21,HARGHITA,"ŞCOALA GENERALĂ FORŢENI",140,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:18",429,420,3,3,3,268,260,2,3,3,261,7,500,232,3,4,6,5,234,9,0
21,HARGHITA,"ŞCOALA GENERALĂ HOGHIA",141,FELICENI,83197,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:32:26",226,222,0,3,1,134,130,0,3,1,126,8,300,166,1,2,1,2,87,33,0
21,HARGHITA,"ŞCOALA GENERALĂ POLONIŢA",142,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:09:05",327,317,2,8,0,171,162,1,8,0,167,4,400,229,4,3,4,2,138,16,0
21,HARGHITA,"ŞCOALA GENERALĂ TĂURENI",143,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:36",615,611,0,4,0,351,347,0,4,0,337,14,600,249,7,8,9,4,258,49,2
21,HARGHITA,"ŞCOALA GENERALĂ TELEAC",144,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:26:05",188,181,1,6,0,113,106,1,6,0,109,4,200,87,2,4,3,3,91,6,0
21,HARGHITA,"SCOALA GIMNAZIALA",193,MIHĂILENI,85074,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:44",407,396,3,5,3,189,181,0,5,3,176,13,400,211,7,21,42,81,12,12,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” CĂLIMĂNEL",65,"MUNICIPIUL TOPLIŢA",83632,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:16:55",969,960,0,9,0,448,439,0,9,0,421,27,999,551,21,153,181,53,9,1,3
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” VALE",61,"MUNICIPIUL TOPLIŢA",83632,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:01:14",1511,1502,0,8,1,782,773,0,8,1,750,32,1700,918,25,237,378,60,42,2,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ARANY JÁNOS” SÂNTIMBRU",247,SÂNTIMBRU,86519,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:17",995,979,2,0,14,555,541,0,0,14,517,38,1050,495,3,3,13,9,471,16,2
21,HARGHITA,"SCOALA GIMNAZIALĂ ”BENEDEK FIDEL” BISERICANI",174,LUPENI,84825,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:53:34",608,583,0,9,16,422,397,0,9,16,394,12,700,294,5,4,7,3,369,5,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",49,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:18:17",1283,1275,3,4,1,669,664,0,4,1,653,16,1400,731,8,6,7,4,599,23,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",47,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:41",1262,1248,5,9,0,633,624,0,9,0,617,16,1600,967,11,5,14,4,564,18,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",50,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:10",1335,1324,2,8,1,671,662,0,8,1,659,12,1500,829,7,5,6,4,593,40,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",51,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:03",1375,1364,4,6,1,534,527,0,6,1,509,25,1500,966,12,11,17,7,449,12,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",48,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:11:51",1269,1258,5,6,0,584,577,1,6,0,564,20,1400,816,18,10,16,11,492,17,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",157,LĂZAREA,84594,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:42:09",1105,1095,1,8,1,602,593,0,8,1,533,69,1200,598,7,4,10,2,408,102,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",156,LĂZAREA,84594,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:57:52",1691,1655,5,8,23,918,896,1,3,18,794,124,1700,782,0,0,0,0,630,164,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ BÎRZAVA",147,FRUMOASA,84415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:50",542,535,0,1,6,328,321,0,1,6,312,15,650,323,1,4,7,1,279,20,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ CORUND",120,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:30:47",1388,1368,2,2,16,794,776,0,2,16,792,2,1500,706,8,9,17,5,744,7,2
21,HARGHITA,"ȘCOALA GIMNAZIALĂ CORUND",121,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:56",1437,1407,2,1,27,622,594,0,1,27,610,12,1600,978,8,1,16,3,577,4,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „CSIBY ANDOR” DITRĂU „KOHID”",136,DITRĂU,84344,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:29",914,899,2,0,13,483,470,0,0,13,461,22,1000,517,3,0,5,0,439,13,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „DR. CSIBY ANDOR” DITRĂU",137,DITRĂU,84344,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:46:05",874,865,5,0,4,469,465,0,0,4,443,26,1000,531,4,7,12,4,396,19,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",149,GĂLĂUŢAŞ,84460,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:45",934,924,2,1,7,448,440,0,1,7,421,27,900,452,31,62,186,44,94,1,3
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",150,GĂLĂUŢAŞ,84460,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:52",697,693,1,2,1,271,268,0,2,1,255,16,800,529,30,40,92,50,42,0,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",151,GĂLĂUŢAŞ,84460,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:45",308,304,1,2,1,193,190,0,2,1,181,12,400,207,41,38,65,24,8,1,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ FÂNTÂNA BRAZILOR",123,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:11",255,252,3,0,0,183,182,1,0,0,181,2,300,117,0,1,1,1,178,0,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”FULOP ARON” FELICENI",139,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:47",892,885,4,3,0,553,548,2,3,0,537,16,900,347,8,7,7,9,405,97,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”GAL SANDOR” CIUCSÂNGEORGIU",107,CIUCSÂNGEORGIU,83981,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:48:58",910,903,0,0,7,401,394,0,0,7,353,48,900,499,3,1,15,2,324,6,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”GAL SANDOR” CIUCSÂNGEORGIU",108,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:44",690,682,2,0,6,341,335,0,0,6,333,8,800,459,5,1,8,4,305,8,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ GÂRCIU",221,RACU,86495,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:13",376,356,1,0,19,245,226,0,0,19,237,8,400,155,1,3,6,0,226,1,0
21,HARGHITA,"SCOALA GIMNAZIALĂ ”GEO BOGZA” BĂLAN - CLĂDIRE ȘCOALA NR. 1",70,"ORAŞ BĂLAN",83464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:30",1205,1190,0,6,9,444,430,0,6,8,418,26,1300,856,34,61,72,53,179,5,14
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”GEO BOGZA” BĂLAN - CORP A,B",71,"ORAŞ BĂLAN",83464,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:07:16",1170,1158,1,4,7,392,381,0,4,7,365,27,1300,908,33,48,90,63,123,4,4
21,HARGHITA,"ȘCOALA GIMNAZIALĂ HODOȘA GARĂ",234,SĂRMAŞ,85528,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:42",1170,1160,2,2,6,575,567,0,2,6,536,39,1200,625,66,144,154,69,86,7,10
21,HARGHITA,"ŞCOALA GIMNAZIALĂ IZVORUL TROTUŞULUI",171,"LUNCA DE SUS",84754,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:33",592,588,0,4,0,292,288,0,4,0,269,23,700,408,3,2,9,7,231,16,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”JÓKAI MÓR” SUB CETATE",291,ZETEA,86366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:54:16",715,696,16,3,0,273,267,3,3,0,258,15,800,527,1,2,5,6,231,13,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",12,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:27:46",1394,1372,5,12,5,677,660,0,12,5,666,10,1600,923,21,38,39,7,481,69,11
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",14,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:12:10",1639,1627,3,7,2,665,656,0,7,2,654,11,1700,1035,16,33,46,34,467,53,5
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",13,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:30",1428,1411,5,8,4,605,592,1,8,4,583,22,1598,993,15,31,41,20,427,44,5
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”KELEMEN IMRE” OCLAND",204,OCLAND,85243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:08",590,587,1,2,0,303,301,0,2,0,290,13,600,297,3,2,23,5,246,10,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KISS FERENC”",179,MĂDĂRAŞ,86438,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:31",1025,1011,4,2,8,674,664,0,2,8,637,37,1080,406,3,3,13,5,590,21,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KISS FERENC”",180,MĂDĂRAŞ,86438,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:36:28",811,797,1,0,13,515,502,0,0,13,479,36,900,385,9,13,14,5,413,17,8
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",25,"MUNICIPIUL GHEORGHENI",83561,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:29:38",1832,1807,16,7,2,710,701,0,7,2,676,34,1800,1090,22,20,58,9,516,46,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",27,"MUNICIPIUL GHEORGHENI",83561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:54",1773,1760,5,2,6,687,679,0,2,6,665,22,2000,1313,14,33,61,20,467,63,7
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",26,"MUNICIPIUL GHEORGHENI",83561,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:27:18",1682,1661,7,14,0,721,706,1,14,0,699,18,1800,1083,28,33,48,18,482,83,7
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",102,CĂPÂLNIŢA,83963,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:37",847,836,0,4,7,451,440,0,4,7,407,44,900,449,17,23,15,11,323,17,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",101,CĂPÂLNIŢA,83963,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:43",827,819,1,0,7,480,472,1,0,7,447,33,900,420,10,23,24,17,356,14,3
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”LÁSZLÓ GYULA” SÎNPAUL",190,MĂRTINIŞ,84923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:47",400,398,0,1,1,206,204,0,1,1,194,12,250,44,4,5,11,3,146,25,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”LIVIU REBREANU” MIERCUREA-CIUC",9,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:37",1498,1481,9,6,2,657,649,0,6,2,638,19,1600,943,21,26,39,9,471,61,11
21,HARGHITA,"ŞCOALA GIMNAZIALA ” MAJLATH GUSZTAV KAROLY”",165,"LUNCA DE JOS",84656,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:23",1413,1407,3,2,1,594,589,2,2,1,565,29,1500,906,4,7,14,3,471,66,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ MARTON ARON BRĂDEŞTI",99,BRĂDEŞTI,83151,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:26:33",1113,1100,2,9,2,746,739,0,5,2,723,23,1150,404,19,5,19,4,648,20,8
21,HARGHITA,"ŞCOALA GIMNAZIALĂ MARTON ARON SÎNDOMINIC",240,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:25",1062,1055,2,1,4,551,545,1,1,4,524,27,1200,649,3,6,6,4,494,11,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ MARTON ARON SÎNDOMINIC",241,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:46:38",1062,1045,4,0,13,560,546,1,0,13,535,25,1150,590,5,5,14,4,495,11,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „MÁRTON ÁRON”, TĂIETURA",203,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:57:54",215,206,0,7,2,99,90,0,7,2,97,2,200,101,1,3,2,2,85,4,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MARTON FERENC” BANCU",111,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:44:30",1094,1081,1,6,6,505,493,0,6,6,485,20,1050,545,7,5,12,4,433,19,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÁRTONFFI JÁNOS”, VLĂHIŢA",83,"ORAŞ VLĂHIŢA",83749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:29",1348,1340,2,6,0,699,693,0,6,0,640,59,3200,2501,20,30,40,10,202,336,2
