precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL VALEA TÂRSEI ”FREAMĂT DE CODRU”",217,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:07:32",1225,1219,1,5,0,634,629,0,5,0,614,20,1300,666,338,79,51,1,12,129,1,3
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL ”VALEA URLOI” ORAȘUL URLAȚI",274,"ORAŞ URLAŢI",131620,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:57",894,885,1,8,0,392,384,0,8,0,359,33,1000,608,139,57,29,4,35,81,7,7
31,PRAHOVA,"GRĂDINIȚĂ CU PROGRAM NORMAL VARNIŢA",563,ŞIRNA,135431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:57",668,664,1,3,0,409,406,0,3,0,383,26,700,291,156,33,58,1,14,116,3,2
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",182,"ORAŞ AZUGA",130954,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:25",1012,989,0,20,3,613,590,0,20,3,572,36,1100,487,229,65,48,6,21,174,24,5
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 23",131,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:06:38",959,951,0,8,0,353,345,0,8,0,343,10,1100,747,55,39,51,8,15,93,56,26
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28 (GRADINITA NR. 28)",19,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:21",934,923,0,11,0,407,396,0,11,0,392,15,1000,593,70,52,77,11,11,74,54,43
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 40 ( FOSTA GRĂDINIŢĂ NR. 40)",90,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:42",1071,1061,1,9,0,413,404,0,9,0,392,21,1200,787,77,60,54,1,17,83,53,47
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 40 ( FOSTA GRĂDINIŢĂ NR. 40)",91,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:46",835,832,0,3,0,355,352,0,3,0,334,21,900,545,43,49,47,4,16,78,52,45
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 40 ( FOSTA GRĂDINIŢĂ NR. 40)",92,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:45",1316,1307,0,7,2,514,505,0,7,2,493,21,1400,886,71,61,100,11,20,127,52,51
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 47 (FOSTA GRĂDINIŢĂ NR. 47)",106,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:55",863,860,0,3,0,381,378,0,3,0,363,18,900,519,84,32,58,2,17,70,54,46
