precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"SALA SPORTURILOR",15,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:05",929,904,18,7,0,394,387,0,7,0,387,7,1020,626,28,47,8,80,95,3,20,99,7
2,ARAD,"SALA SPORTURILOR",16,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:41",858,838,7,13,0,431,416,2,13,0,420,11,950,519,32,32,11,77,113,8,11,130,6
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",113,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:12",1429,1403,11,11,4,586,571,0,11,4,571,9,1570,990,95,40,3,107,158,25,34,93,16
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",112,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:37:33",1283,1266,14,3,0,479,476,0,3,0,448,17,1420,955,86,24,5,95,114,24,22,64,14
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",111,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:27:44",1665,1632,2,7,24,543,510,2,7,24,510,28,1770,1227,100,42,8,127,121,40,15,41,16
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",37,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:10",1153,1144,2,5,2,494,487,0,5,2,476,18,1340,846,74,19,7,120,101,25,16,104,10
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",35,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:35",1187,1172,10,5,0,498,493,0,5,0,485,13,1310,812,73,47,5,81,109,24,26,113,7
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",40,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:46",1206,1183,4,9,10,580,561,0,9,10,569,11,1370,790,78,34,8,125,132,23,26,129,14
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",36,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:25:31",1489,1478,2,9,0,613,604,0,9,0,587,26,1610,997,76,48,7,127,152,25,28,108,16
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",38,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:44",1649,1626,15,7,1,722,714,0,7,1,702,20,1700,978,86,69,8,135,168,36,53,132,15
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",39,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:42",811,798,5,8,0,302,293,1,8,0,295,7,910,608,28,37,6,68,65,20,17,49,5
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",41,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:05",1380,1374,0,6,0,593,587,0,6,0,583,10,1580,987,82,43,6,136,139,11,47,117,2
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",47,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:30",1138,1125,1,11,1,468,455,1,11,1,455,13,1270,802,56,54,3,91,96,16,24,102,13
