precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIME VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TRUFIN LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CILIBIU EUSEBIU-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMARANDEI DOINA-PARTIDUL S.O.S. ROMÂNIA-voturi","LĂCĂTUŞU-ANDREI CRISTINA-ANETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANDRUŞ DĂNUŢ-voturi"
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",28,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:14",1190,1178,3,9,0,434,425,0,9,0,413,21,1296,862,222,104,37,19,20,11
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",27,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:01",938,927,0,11,0,396,385,0,11,0,377,19,979,583,166,151,27,13,12,8
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",30,"MUNICIPIUL BOTOŞANI",35731,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:20",780,774,1,5,0,331,326,0,5,0,323,8,900,569,163,91,36,10,15,8
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",26,"MUNICIPIUL BOTOŞANI",35731,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:12:13",637,626,0,7,4,257,246,0,7,4,249,8,680,423,140,74,15,7,9,4
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",22,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:18:20",917,910,0,7,0,361,354,0,7,0,353,8,1000,639,184,109,30,17,7,6
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",23,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:28:29",850,842,1,7,0,325,318,0,7,0,317,8,1000,675,147,111,23,12,14,10
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",24,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:32",1227,1218,0,8,1,483,474,0,8,1,471,12,1400,917,228,171,32,8,21,11
7,BOTOŞANI,"FOST MAGAZIN SATESC",299,MANOLEASA,37958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:25:00",232,220,0,12,0,61,49,0,12,0,59,2,250,189,7,48,1,2,1,0
7,BOTOŞANI,GRĂDINIȚA,278,HUDEŞTI,37770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:27:23",674,623,0,3,48,674,623,0,3,48,653,21,1200,526,288,273,68,10,4,10
7,BOTOŞANI,"GRADINITA CARASA",188,CORLĂTENI,36676,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:08:48",421,403,0,6,12,241,223,0,6,12,228,13,450,209,52,164,8,3,1,0
7,BOTOŞANI,"GRADINITA CU 4 GRUPE IBANESTI",284,IBĂNEŞTI,37823,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:09:13",805,762,0,1,42,501,458,0,1,42,490,11,907,406,331,118,24,16,0,1
7,BOTOŞANI,"GRADINITA CU 4 GRUPE IBANESTI",283,IBĂNEŞTI,37823,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:38:29",803,767,2,6,28,476,441,1,6,28,454,22,789,313,309,102,32,5,4,2
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",4,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:24:59",1451,1440,2,8,1,600,591,0,8,1,581,19,1600,1000,332,174,31,17,12,15
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",5,"MUNICIPIUL BOTOŞANI",35731,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:08",1337,1326,0,10,1,596,585,0,10,1,573,23,1478,882,299,181,39,21,24,9
