precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","STOICIUC MIHAELA-VIORICA-voturi","BOTEZATU DANIEL-voturi","CĂRĂUŞU IONUŢ-BOGDAN-voturi"
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",42,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:45",922,915,2,5,0,360,355,0,5,0,347,13,1000,640,42,138,100,3,22,3,16,7,7,9
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",41,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:12",837,829,1,4,3,416,409,0,4,3,404,12,1000,584,30,164,134,0,32,5,11,7,11,10
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",40,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:14",1121,1109,1,11,0,443,432,0,11,0,434,9,1200,757,50,190,117,3,15,7,21,13,10,8
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 23",25,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:23:49",1165,1149,1,15,0,456,441,0,15,0,433,23,1306,850,28,228,101,1,24,5,16,7,8,15
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",33,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:17",807,788,0,10,9,337,318,0,10,9,318,19,900,563,47,133,82,3,22,4,7,0,9,11
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",32,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:02",724,712,0,6,6,350,338,0,6,6,341,9,805,455,36,153,81,9,21,7,9,4,10,11
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",31,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:56:43",1324,1309,2,10,3,532,518,1,10,3,511,21,1400,868,52,244,129,4,21,5,19,10,16,11
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",2,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:33",1217,1195,4,6,12,542,523,1,6,12,522,20,1300,758,37,248,147,5,34,5,9,9,20,8
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",3,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:46:38",1329,1313,6,10,0,664,653,1,10,0,645,19,1504,840,40,291,189,6,38,6,13,14,27,21
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",1,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:36",814,787,2,7,18,362,337,0,7,18,351,11,902,540,24,170,72,7,26,8,7,9,18,10
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",71,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:39",1206,1203,0,3,0,515,512,0,3,0,501,14,1300,785,58,225,129,4,36,8,17,5,9,10
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",72,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:02",1061,1055,0,6,0,452,446,0,6,0,438,14,1200,748,35,215,107,3,23,3,10,14,14,14
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",70,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:13:51",1165,1158,3,4,0,532,528,0,4,0,505,27,1302,770,52,263,103,6,31,1,17,3,17,12
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",83,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:40:29",1302,1280,2,7,13,596,576,1,6,13,583,13,1400,804,61,207,191,4,55,1,13,21,14,16
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",84,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:37:17",1595,1585,2,7,1,651,643,0,7,1,625,26,1800,1149,76,294,162,9,35,6,19,4,9,11
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",85,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:02:23",1102,1086,4,5,7,477,465,0,5,7,461,16,1256,779,33,203,140,5,25,5,16,7,17,10
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",79,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:42:02",1003,993,0,8,2,445,436,0,8,1,431,14,1100,655,41,197,118,2,25,10,10,5,15,8
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",80,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:28",1284,1267,2,8,7,524,510,0,8,6,506,18,1400,876,61,218,137,1,27,4,21,15,6,16
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",78,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:33",1361,1353,0,7,1,511,503,0,7,1,497,14,1500,989,61,236,123,3,33,2,10,8,13,8
7,BOTOŞANI,"LICEUL TEORETIC „GRIGORE ANTIPA”",11,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:34",1538,1526,3,9,0,648,639,0,9,0,630,18,1700,1052,49,319,136,3,38,13,22,12,17,21
7,BOTOŞANI,"LICEUL TEORETIC „GRIGORE ANTIPA”",12,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:33",1301,1295,0,6,0,549,543,0,6,0,508,41,1400,851,41,228,140,0,32,12,8,13,22,12
7,BOTOŞANI,"LOCAL CLUBUL PENSIONARILOR",66,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:25:02",1038,1014,13,10,1,441,430,0,10,1,418,23,1196,755,35,137,190,6,18,3,11,2,9,7
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",46,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:04",958,958,0,0,0,356,356,0,0,0,333,23,1100,744,41,145,104,2,14,0,8,3,6,10
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",44,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:49:45",1203,1196,1,6,0,495,489,0,6,0,481,14,1305,810,47,225,138,5,31,2,10,2,12,9
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",47,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:50:19",1237,1229,1,7,0,516,509,0,7,0,498,17,1406,891,49,231,129,6,25,9,19,5,14,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",45,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:58",1308,1299,1,8,0,524,516,0,8,0,511,13,1400,876,50,240,137,3,26,7,23,5,10,10
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",76,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:25",1104,1095,3,6,0,442,435,1,6,0,432,10,1200,758,45,202,93,3,30,5,10,19,14,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",74,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:28",753,745,0,7,1,308,300,0,7,1,298,10,900,592,28,133,87,2,12,0,9,14,9,4
