precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"LICEUL ”KŐRÖSI CSOMA SÁNDOR” -CORP A- COVASNA",77,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:27",1079,1063,5,8,3,485,473,1,8,3,473,12,1200,715,41,31,9,11,353,4,3,21
15,COVASNA,"LICEUL ”KŐRÖSI CSOMA SÁNDOR” -CORP B- COVASNA",78,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:16:03",1173,1157,1,9,6,566,551,0,9,6,552,14,1300,734,44,39,17,10,393,1,5,43
15,COVASNA,"LICEUL PEDAGOGIC ”BOD PÉTER” TÂRGU SECUIESC",53,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:03",1172,1155,2,4,11,508,493,0,4,11,498,10,1300,792,26,21,8,3,391,3,44,2
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",6,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:43",815,800,0,12,3,353,338,0,12,3,332,6,900,6,13,14,24,22,239,1,8,11
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",8,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:30:44",1004,987,9,6,2,476,468,0,6,2,463,13,1100,624,29,33,35,15,322,4,14,11
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",7,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:25",1006,992,4,9,1,469,459,0,9,1,462,7,1100,631,47,34,23,18,303,6,12,19
15,COVASNA,"LICEUL TEHNOLOGIC ”GÁBOR ÁRON” TÂRGU SECUIESC",61,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:28",1073,1052,3,8,10,434,416,0,8,10,395,11,1200,784,19,18,8,10,289,2,40,9
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",29,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:41",1436,1424,4,2,6,635,627,0,2,6,625,10,1600,965,55,36,43,22,445,5,14,5
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",31,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:41",1231,1216,5,5,5,540,529,1,5,5,535,5,1400,860,44,20,35,16,396,3,13,8
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",30,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:27",1126,1112,0,11,3,477,463,0,11,3,471,6,1200,723,38,12,21,18,362,3,10,7
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",32,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:49",1424,1405,4,8,7,617,601,1,8,7,602,15,1500,883,62,33,32,27,414,6,15,13
15,COVASNA,"” LICEUL TEOLOGIC REFORMAT DR.CSIHA KÁLMÁN ” TÂRGU SECUIESC",54,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:44",1162,1138,9,8,7,505,490,0,8,7,493,12,1300,795,12,8,7,4,411,1,44,6
