precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOIŢĂ ROBERT SORIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","NIŢĂ ALEXANDRU-MARCO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEGRILĂ VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE DANIEL-PAUL-ROMEO-PARTIDUL S.O.S. ROMÂNIA-voturi","JUDELE ŞTEFAN-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CICEALĂ ANA-MARIA-voturi"
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",419,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:43:25",1511,1477,18,15,1,505,489,0,15,1,492,13,1615,1110,255,21,23,12,92,89
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",424,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:21:25",1473,1462,4,7,0,658,651,0,7,0,629,28,1631,973,315,47,16,21,131,99
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",421,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:43:06",1334,1326,0,7,1,608,600,0,7,1,592,16,1474,866,299,24,8,11,154,96
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",430,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 21:01:02",1326,1307,6,13,0,533,520,0,13,0,523,10,1441,908,287,31,13,12,94,86
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",422,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 15:21:37",1504,1499,2,3,0,712,709,0,3,0,704,5,1649,934,361,39,14,19,152,119
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",503,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:41:16",1347,1336,0,11,0,569,558,0,11,0,557,12,1486,917,357,18,15,11,95,61
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",502,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:51:15",1377,1350,15,8,4,493,481,0,8,4,484,9,1600,1107,280,24,19,17,84,60
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",506,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:39:24",1383,1376,1,6,0,424,418,0,6,0,413,11,1600,1176,254,35,20,16,50,38
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",505,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:16:11",1517,1506,2,9,0,523,514,0,9,0,514,9,1657,1134,318,36,16,20,72,52
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",504,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:00:47",935,930,1,4,0,384,380,0,4,0,367,17,1042,658,187,16,10,22,66,66
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",587,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:49:34",1214,1206,2,6,0,596,590,0,6,0,588,8,1333,737,288,23,10,17,137,113
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",588,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:33:31",1206,1202,0,4,0,612,608,0,4,0,599,13,1324,712,294,33,9,17,137,109
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",590,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:29:16",1205,1187,6,11,1,603,591,0,11,1,595,8,1322,719,300,26,13,13,131,112
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",586,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:32:05",1255,1226,16,13,0,551,538,0,13,0,541,10,1373,803,232,32,7,12,145,113
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",589,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:13:28",1269,1262,2,5,0,573,568,0,5,0,550,13,1392,829,288,32,7,15,116,92
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",591,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 02:40:41",1432,1425,3,4,0,643,639,0,4,0,631,12,1600,957,270,32,8,15,140,166
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",467,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:34:08",1044,1030,5,9,0,512,503,0,9,0,503,9,1141,629,232,29,12,6,109,115
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",465,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:32:32",1259,1247,5,7,0,592,585,0,7,0,579,13,1378,786,263,28,6,22,161,99
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",466,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:02:18",927,918,4,5,0,403,398,0,5,0,393,10,1016,613,187,18,7,7,85,89
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",464,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:52:31",1224,1206,15,3,0,576,573,0,3,0,568,8,1332,756,229,33,12,19,143,132
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",495,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:15:50",1026,1016,1,9,0,510,501,0,9,0,496,14,1128,618,266,15,10,11,92,102
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",492,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:35:36",1373,1358,3,12,0,638,626,0,12,0,627,11,1600,162,311,29,16,9,137,125
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",493,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:07:29",1279,1265,3,11,0,633,622,0,11,0,619,14,1406,773,349,27,9,8,135,91
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",494,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:18:27",1040,1030,0,9,1,526,516,0,9,1,509,17,1137,611,233,25,7,6,136,102
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",496,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:00:05",1163,1148,5,9,1,528,518,0,9,1,510,18,1266,738,266,15,5,11,127,86
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",509,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:24:58",1371,1359,4,8,0,448,440,0,8,0,439,9,1498,1050,296,14,15,12,48,54
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",510,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:43:39",1298,1290,5,3,0,406,403,0,3,0,397,9,1418,1012,225,30,25,19,48,50
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",508,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:50:51",1312,1292,12,8,0,532,524,0,8,0,527,5,1469,937,317,23,13,17,82,75
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",507,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:45:45",1060,1049,2,9,0,419,410,0,9,0,415,4,1172,713,248,16,11,15,73,52
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",599,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:46:55",1149,1144,2,3,0,428,425,0,3,0,425,3,1267,839,207,20,6,14,99,79
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",597,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:27:09",1433,1415,10,8,0,552,544,0,8,0,541,11,1600,1043,305,25,19,13,101,78
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",592,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:36:02",1034,1018,6,10,0,422,411,1,10,0,417,5,1141,719,229,20,13,9,82,64
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",598,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:52:21",1271,1261,2,8,0,598,590,0,8,0,588,10,1388,790,324,26,9,8,111,110
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",601,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:00:07",1272,1261,1,10,0,553,543,0,10,0,543,10,1385,832,260,20,5,9,135,114
