precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÎNZÎNĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VELCESCU FLORIN-BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PERIANU RADU-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRĂŞOIU DORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","LAZĂR ION-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SOARE EMANUEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALEXANDRESCU INGRID-ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - III",104,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:49:08",1491,1481,0,9,1,652,642,0,9,1,633,19,1600,948,187,51,56,4,14,288,33
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT STÎLPENI",470,STÂLPENI,18778,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:34:40",1482,1466,2,6,8,945,936,1,0,8,907,38,1600,655,540,66,211,15,5,44,26
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”",154,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:01",1030,1026,0,4,0,530,526,0,4,0,525,5,1200,670,195,69,139,1,14,80,27
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”,",155,"ORAŞ MIOVENI",13301,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:55:23",1060,1049,5,6,0,526,520,0,6,0,506,20,1200,674,191,61,142,4,14,70,24
3,ARGEŞ,"GRĂDINIȚA DOGARI",300,CIOMĂGEŞTI,15554,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:07",223,209,0,13,1,146,132,0,13,1,143,3,227,81,77,9,47,0,1,5,4
3,ARGEŞ,"GRĂDINIŢA DRĂGHICEŞTI",276,CĂLINEŞTI,15108,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:10",861,855,0,4,2,476,470,0,4,2,453,23,800,324,175,48,106,17,14,76,17
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI”-INTRARE 1",145,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:21:41",1452,1449,0,3,0,710,707,0,3,0,684,26,1600,890,272,90,184,4,16,79,39
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI” - INTRARE 2",148,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:21",1339,1326,9,4,0,673,669,0,4,0,651,22,1400,727,265,78,174,3,24,82,25
3,ARGEŞ,"GRĂDINIŢA GRUI",261,"BUGHEA DE SUS",20063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:45",710,694,1,5,10,482,467,0,5,10,468,14,800,318,134,36,226,0,6,53,13
3,ARGEŞ,"GRĂDINIŢA LĂICĂI",292,CETĂŢENI,15402,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:14",630,618,1,6,5,435,424,0,6,5,429,6,629,194,320,44,34,0,2,16,13
3,ARGEŞ,"GRĂDINIȚA NR. 1 BASCOV",204,BASCOV,13187,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:01:06",1260,1251,4,3,2,618,615,0,1,2,600,18,1415,797,192,95,104,10,12,130,57
3,ARGEŞ,"GRĂDINIŢA NR. 1 CORBENI",306,CORBENI,15741,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:28",671,665,0,6,0,345,339,0,6,0,314,31,730,385,186,51,33,3,5,13,23
3,ARGEŞ,"GRĂDINIȚA NR. 6",110,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:45:42",914,909,0,5,0,478,473,0,5,0,462,16,1000,522,92,37,34,5,8,277,9
3,ARGEŞ,"GRĂDINIŢA PĂDUROIU DIN DEAL",428,"POIANA LACULUI",18028,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:20",745,741,0,4,0,475,471,0,4,0,458,17,830,355,203,79,58,5,2,88,23
3,ARGEŞ,"GRĂDINIŢA PĂDUROIU DIN VALE",429,"POIANA LACULUI",18028,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:37",666,654,0,10,2,425,413,0,10,2,405,20,720,295,162,45,86,3,8,90,11
3,ARGEŞ,"GRĂDINIȚA SCHOOL GEAMĂNA",248,BRADU,13276,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:53:09",1723,1708,2,13,0,936,921,2,13,0,897,39,1880,944,457,98,136,5,18,122,61
3,ARGEŞ,"GRĂDINIȚA ” SCUFIȚA ROȘIE ”",246,BRADU,13276,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:46:53",1871,1851,2,12,6,1117,1099,0,12,6,1073,44,2040,923,658,137,113,2,10,68,85
3,ARGEŞ,"GRĂDINIȚA UDENI",278,CĂLINEŞTI,15108,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:48",566,558,0,8,0,365,357,0,8,0,336,29,800,435,176,38,57,10,2,32,21
3,ARGEŞ,"GRĂDINIȚA VALEA PECHII",466,"SCHITU GOLEŞTI",18670,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:19",728,724,0,2,2,381,377,0,2,2,353,28,800,419,134,47,117,3,2,38,12
3,ARGEŞ,"GRĂDINIŢA VALEA ROMÂNEŞTILOR",108,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:05:38",390,384,1,5,0,233,228,0,5,0,221,12,400,167,98,14,12,1,7,80,9
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( I )",120,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:58",1288,1279,4,5,0,474,469,0,5,0,447,27,1450,976,212,38,104,17,11,48,17
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( II )",121,"MUNICIPIUL CURTEA DE ARGEŞ",13622,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:49:27",1591,1581,0,10,0,571,561,0,10,0,551,20,1750,1179,212,64,110,9,10,110,36
3,ARGEŞ,"GRUP ȘCOLAR AUTO CURTEA DE ARGEȘ",132,"MUNICIPIUL CURTEA DE ARGEŞ",13622,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:58:17",1925,1919,1,5,0,789,784,0,5,0,744,45,2100,1311,272,120,188,21,6,100,37
3,ARGEŞ,"GRUP ȘCOLAR ”FERDINAND I”",119,"MUNICIPIUL CURTEA DE ARGEŞ",13622,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:58:13",1567,1562,0,5,0,624,619,0,5,0,609,15,1700,1076,214,82,141,12,11,114,35
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( I )",123,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:11",1261,1254,6,0,1,508,507,0,0,1,493,15,1374,866,189,62,129,5,8,82,18
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( II )",124,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:35",1379,1360,14,5,0,531,526,0,5,0,516,15,1500,969,227,62,104,12,13,75,23
