precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AXINIA ADRIAN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NANU VIRGILIU-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","IONESCU GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PETRACHE ADRIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NĂSULEA GHEORGHE-PARTIDUL S.O.S. ROMÂNIA-voturi","NEAGU MIHAI-CRISTIAN-ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","MUŞUROIA GABRIEL-MIHAIL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"ṢCOALA GENERALǍ MǍRGINENII DE JOS (ṢCOALA VECHE)",420,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:57:39",1163,1146,1,2,14,625,608,1,2,14,607,18,1260,635,117,30,425,12,0,18,4,1
31,PRAHOVA,"SCOALA GENERALA NR.2 TELEGA-VALE",588,TELEGA,135789,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:31",1370,1354,0,11,5,820,804,0,11,5,793,27,1500,680,77,69,373,207,2,42,11,12
31,PRAHOVA,"ȘCOALA GENERALĂ NR.3 - (SALA DE SPORT)",180,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:30:01",1753,1731,2,9,11,868,847,1,9,11,784,84,1900,1032,230,114,242,97,11,56,13,21
31,PRAHOVA,"ȘCOALA GENERALĂ NR.5 - (SALA DE CLASA)",172,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:06:42",1175,1164,0,9,2,595,584,0,9,2,570,25,1300,705,94,58,241,80,11,30,18,38
31,PRAHOVA,"ȘCOALA GENERALĂ NR.6 - (SALA DE CLASA)",176,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:16:22",1496,1482,0,14,0,715,701,0,14,0,682,33,1600,885,194,85,255,49,7,51,12,29
31,PRAHOVA,"ŞCOALA GENERALĂ PIETRIŞU",510,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:13",461,453,0,7,1,269,261,0,7,1,257,12,500,231,114,37,56,19,3,18,6,4
31,PRAHOVA,"SCOALA GENERALA TINTEA",195,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:53:55",1267,1260,2,5,0,677,672,0,5,0,641,36,1386,709,89,80,315,53,23,53,15,13
31,PRAHOVA,"SCOALA GIMANZIALA POIENARII BURCHII",511,"POIENARII BURCHII",134559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:54:00",956,933,0,14,9,623,600,0,14,9,596,27,1000,377,354,41,95,57,5,16,26,2
31,PRAHOVA,"ŞCOALA GIMAZIALĂ GHERGHIŢA, NUMĂRUL 125",429,GHERGHIŢA,133429,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:08",1016,952,3,5,56,722,660,1,5,56,708,14,1100,378,27,49,545,21,1,43,6,16
31,PRAHOVA,"SCOALA GIMNAZIALA",541,SALCIA,135128,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:47",798,739,0,39,20,526,467,0,39,20,504,22,803,277,374,34,69,7,0,10,7,3
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ",492,PĂCUREŢI,134336,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:06",634,616,1,11,6,431,413,1,11,6,405,26,601,170,138,110,114,11,3,19,10,0
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE CLASA-ETAJ 1)",177,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:41:57",1551,1543,3,4,1,727,721,1,4,1,712,15,1700,973,97,58,334,123,9,26,36,29
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE SPORT)",178,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:52:52",1600,1587,3,7,3,810,799,1,7,3,795,15,1700,890,180,80,319,118,13,34,29,22
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ANDREI MUREȘANU”",149,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:43",1296,1283,6,7,0,526,519,0,7,0,508,18,1400,874,87,64,101,80,6,26,93,51
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ANDREI MUREȘANU”",150,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:34",1255,1246,2,7,0,514,507,0,7,0,486,28,1400,886,63,47,109,109,11,29,81,37
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ”ANDREI MUREŞANU” (ŞCOALA GIMNAZIALĂ ”ANDREI MUREŞEANU)",138,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:41",1210,1202,3,4,1,455,450,0,4,1,432,23,1300,845,67,44,118,79,8,23,67,26
