precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:00:39",1255,1071,0,146,38,1052,868,0,146,38,1007,45,1209,157,8,330,5,610,52,2
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:28",1350,1207,2,20,121,900,759,0,20,121,869,31,1471,571,3,52,2,786,22,4
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:54",1769,1632,6,91,40,1148,1017,0,91,40,1096,52,1789,641,12,157,27,801,87,12
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:39",936,818,0,79,39,696,578,0,79,39,674,22,901,205,5,188,8,427,40,6
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:37:29",771,763,0,7,1,239,231,0,7,1,231,8,843,604,8,72,8,117,21,5
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:25:24",839,835,0,3,1,337,333,0,3,1,331,6,926,589,8,95,21,144,57,6
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:38:32",1011,900,0,98,13,814,703,0,98,13,786,28,989,175,7,231,7,506,24,11
19,GIURGIU,"CENTRUL DE ASISTENŢĂ DUPĂ PROGRAMUL ŞCOLAR, DĂRĂŞTI-VLAŞCA",66,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:04",1606,1589,0,16,1,867,850,0,16,1,844,23,1745,878,0,72,13,699,60,0
19,GIURGIU,"CLADIREA PRIMARIEI GHIMPATI",135,GHIMPAŢI,103238,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:11",583,481,1,45,56,424,322,1,45,56,411,13,591,167,2,41,1,332,34,1
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:06",105,53,0,45,7,84,32,0,45,7,84,0,113,29,0,13,0,69,2,0
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:20:35",1470,1462,0,7,1,593,585,0,7,1,570,23,1608,1015,37,173,48,240,60,12
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,424,16,1124,684,19,128,32,199,38,8
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:56:09",825,809,6,10,0,410,400,0,10,0,407,3,885,475,14,157,20,189,15,12
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,383,10,1078,685,16,144,19,145,55,4
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:45:43",1300,1168,0,78,54,947,815,0,78,54,918,29,1353,406,8,610,25,41,223,11
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:45:44",1145,1137,0,8,0,476,468,0,8,0,448,28,1264,788,16,114,25,240,49,4
19,GIURGIU,"DISPENSAR UMAN IZVORU",141,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:57",507,481,0,10,16,348,322,0,10,16,344,4,542,194,0,25,4,309,5,1
19,GIURGIU,"FOSTA PRIMĂRIE",140,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:07:42",92,83,0,6,3,75,66,0,6,3,74,1,89,14,2,26,0,43,3,0
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:07:53",124,118,0,3,3,89,83,0,3,3,88,1,132,43,0,14,1,60,13,0
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:12",129,120,0,6,3,86,77,0,6,3,85,1,130,44,0,23,2,53,7,0
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:33",905,896,1,7,1,433,425,0,7,1,416,17,995,562,29,128,43,179,30,7
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:34:28",563,538,2,23,0,343,320,0,23,0,334,9,590,247,5,112,7,170,33,7
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:18:46",929,919,1,8,1,352,343,0,8,1,338,14,1023,671,15,129,12,133,42,7
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:51:14",738,724,0,6,8,368,354,0,6,8,356,12,793,425,2,73,16,236,28,1
