precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","SCOALA GENERALA NR.3",105,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:42",1407,1397,3,4,3,549,542,0,4,3,531,18,1600,1051,35,253,78,20,11,91,20,23
32,"SATU MARE","SCOALA GENERALA NR4",87,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:53",974,945,5,9,15,379,356,0,9,14,367,12,1101,722,22,64,35,215,4,15,0,12
32,"SATU MARE","ȘCOALA GENERALĂ ȘI GRADINIȚA GARA GHILVACI",239,MOFTIN,138208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:35:32",182,175,0,7,0,114,107,0,7,0,103,11,200,86,7,62,20,5,1,3,3,2
32,"SATU MARE","ŞCOALA GENERALĂ UNIMĂT",122,ACÂŞ,136713,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:09",309,302,2,1,4,176,171,0,1,4,158,18,400,224,9,42,93,6,1,4,3,0
32,"SATU MARE","SCOALA GEN,NR.1",107,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:34",895,885,0,8,2,357,347,0,8,2,339,18,1000,643,16,189,42,16,4,47,7,18
32,"SATU MARE","SCOALA GEN.NR.1",106,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:56",992,982,1,7,2,386,377,0,7,2,361,25,1200,814,25,169,80,15,4,36,11,21
32,"SATU MARE","SCOALA GEN.NR,3",103,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:50",1186,1177,3,6,0,422,416,0,6,0,406,16,1252,830,35,198,39,29,7,50,15,33
32,"SATU MARE","SCOALA GEN.NR.3",104,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:30:53",1427,1420,0,4,3,455,448,0,4,3,430,25,1600,1145,37,272,51,7,7,32,10,14
32,"SATU MARE","ȘCOALA GIMNAZIALĂ",275,RACŞA,180091,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:20",1143,1111,0,3,29,542,510,0,3,29,519,23,1200,658,186,281,9,5,4,29,5,0
32,"SATU MARE","ȘCOALA GIMNAZIALĂ",166,CĂUAŞ,137292,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:20",574,566,1,6,1,375,367,1,6,1,333,42,600,225,26,135,132,13,2,22,0,3
