precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","FURDUI LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOTOC OCTAVIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANTON CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","SCARLAT VALENTIN-GEORGEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"ŞCOALA GIMNAZIALĂ NR.12",32,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:13:56",1383,1370,1,11,1,486,475,0,10,1,466,16,1520,1038,174,38,200,23,22,9
38,TULCEA,"ŞCOALA GIMNAZIALĂ NR.12",31,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:14:38",1258,1247,1,10,0,543,533,0,10,0,522,11,1415,872,241,46,166,43,19,7
38,TULCEA,"ȘCOALA GIMNAZIALĂ NR. 12",30,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:31",1083,1055,0,8,20,444,416,0,8,20,438,6,1186,742,145,45,166,40,24,18
38,TULCEA,"ȘCOALA GIMNAZIALĂ NR. 12",29,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:14",1164,1158,0,6,0,506,500,0,6,0,500,6,1295,789,203,49,163,57,15,13
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",50,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:17",1130,1126,0,4,0,438,434,0,4,0,428,10,1246,808,140,60,182,22,11,13
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",51,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:44",1366,1358,1,7,0,504,497,0,7,0,496,8,1511,1007,166,75,190,26,28,11
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",48,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:34:00",1041,1035,1,5,0,370,365,0,5,0,348,22,1160,790,143,31,135,13,18,8
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",49,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:18:17",1055,1049,0,6,0,410,404,0,6,0,397,12,1168,759,133,51,168,14,23,8
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",17,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:39:59",989,974,0,5,10,448,433,0,5,10,441,7,1082,632,185,42,173,21,16,4
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",18,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:47",916,908,4,4,0,407,403,0,4,0,394,9,1004,601,121,51,156,27,28,11
38,TULCEA,"TEATRUL ”JEAN BART”",19,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:03",1465,1433,25,7,0,651,644,0,7,0,639,12,1577,926,238,59,242,62,21,17
