precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERTICALA NOUĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",97,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:09",1427,1412,3,12,0,525,513,0,12,0,497,28,1600,1075,32,1,3,54,111,5,1,4,2,1,101,5,18,159
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",95,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:09",885,874,2,6,3,350,341,0,6,3,335,15,1000,650,36,3,9,16,59,1,1,8,4,2,40,7,8,141
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:52:07",1548,1534,7,4,3,715,708,0,4,3,694,21,1700,985,126,2,36,25,128,6,5,2,10,58,118,8,11,159
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:12",1257,1241,7,9,0,511,502,0,9,0,496,15,1400,889,83,5,21,24,85,14,4,1,14,40,89,15,13,88
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:17:34",1562,1536,12,14,0,741,727,0,14,0,730,11,1700,959,126,2,31,25,158,6,9,1,16,58,101,19,11,167
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:00:22",1725,1712,6,7,0,673,666,0,7,0,664,9,1900,1227,100,8,33,43,126,5,8,4,13,57,57,13,16,181
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:13:56",1859,1847,2,10,0,560,550,0,10,0,504,56,2000,1440,64,1,28,41,76,2,5,1,9,36,28,11,22,180
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:16:58",1313,1303,4,5,1,611,605,0,5,1,576,34,1557,946,61,2,20,21,126,3,5,3,10,60,125,16,14,110
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 13:43:04",1248,1239,1,8,0,408,399,1,8,0,367,40,1407,999,36,4,24,27,77,8,3,1,5,23,20,12,18,109
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",118,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:32",1172,1163,1,6,2,530,522,0,6,2,503,27,1200,670,16,2,9,22,119,10,2,1,2,13,166,3,12,126
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",121,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:41:46",1241,1213,1,11,16,581,554,0,11,16,568,13,1400,819,50,3,5,41,187,7,1,3,10,22,85,12,11,131
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",120,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:22",1056,1046,1,8,1,412,403,0,8,1,400,12,1100,688,26,2,8,24,125,5,1,4,6,20,52,12,7,108
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",119,"ORAŞ BAIA SPRIE",106684,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:41:11",1228,1215,3,6,4,602,592,0,6,4,570,27,1300,698,40,0,8,19,177,8,1,2,7,21,141,10,5,131
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 21:49:54",1306,1284,9,13,0,630,617,0,13,0,620,10,1400,770,122,1,29,29,126,9,2,1,7,56,80,10,7,141
