precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","ZAINEA SERGIU-FLORIAN-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",27,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,P,P_SV,"2024-06-11 14:39:02",1380,1374,1,5,0,538,533,0,5,0,528,10,1500,962,169,84,2,47,0,32,4,2,2,5,1,68,3,82,2,25
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",61,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:29",1197,1177,10,8,2,546,535,1,8,2,533,13,1400,854,72,96,4,43,2,129,6,2,1,5,4,80,6,66,2,15
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",60,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:00",1148,1104,11,11,22,539,507,1,11,20,525,14,1300,761,81,91,2,49,0,118,4,0,3,4,0,92,4,65,1,11
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",81,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:26",1924,1919,2,3,0,749,745,1,3,0,732,17,2199,1450,190,130,4,34,5,12,13,1,4,6,9,139,16,144,0,25
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",82,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:27",1939,1927,4,8,0,881,873,0,8,0,871,10,2100,1219,194,172,3,34,8,47,9,3,3,8,6,192,8,159,6,19
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",75,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:46",1440,1425,8,7,0,544,537,0,7,0,532,12,1600,1056,114,102,6,25,6,39,16,0,2,6,3,103,8,70,4,28
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",74,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:55",1316,1302,0,13,1,499,485,0,13,1,482,17,1500,1001,105,99,4,18,1,15,6,7,2,4,4,80,15,101,4,17
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",73,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:42:13",1464,1452,4,8,0,518,510,0,8,0,507,11,1590,1072,92,118,3,24,7,6,19,3,1,10,9,88,9,95,2,21
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",76,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:44",1204,1197,0,7,0,423,416,0,7,0,409,14,1300,877,126,75,2,25,5,17,1,3,1,7,7,53,9,59,1,18
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",72,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:59",1394,1388,2,4,0,547,543,0,4,0,538,9,1500,953,112,124,5,18,5,27,9,3,2,9,4,82,9,101,1,27
