precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:11:33",2517,1751,17,749,0,794,763,0,31,0,773,21,1900,1106,63,245,24,4,19,7,9,12,390
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:04",1816,1776,4,36,0,888,852,0,36,0,866,22,2001,1113,156,304,23,4,9,9,6,7,348
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:04:38",1245,1225,3,17,0,578,561,0,17,0,560,18,1350,772,82,359,31,4,8,2,4,13,57
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:04:43",1423,1398,12,13,0,801,787,1,13,0,774,27,1591,790,83,298,9,4,22,108,5,17,228
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:38:26",1500,1479,1,13,7,866,846,0,13,7,833,33,1641,775,119,522,38,5,11,7,9,18,104
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:04",1321,1295,13,11,2,757,744,0,11,2,741,16,1400,643,112,450,37,9,15,7,13,13,85
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:46",1825,1809,0,16,0,509,493,0,16,0,503,6,2000,1491,58,125,26,3,35,7,7,11,231
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:46:47",1711,1679,24,8,0,470,461,1,8,0,443,4,1900,1430,48,138,19,3,30,6,5,9,185
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:59",1444,1429,4,11,0,661,650,0,11,0,644,17,1639,978,52,209,18,4,30,11,6,14,300
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:32",2050,2013,7,30,0,597,567,0,30,0,588,9,2200,1603,73,213,35,2,21,7,5,18,214
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1010,81,1800,709,94,655,44,0,6,3,75,26,107
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,599,30,1101,472,76,361,21,3,9,7,37,19,66
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:56",1859,1483,3,365,8,1279,906,0,365,8,1234,45,1600,321,113,886,49,4,9,9,5,14,145
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:39:42",1241,1225,0,8,8,696,680,0,8,8,679,9,1350,654,65,530,25,4,4,7,6,8,30
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:32",1104,1084,7,11,2,673,660,0,11,2,650,23,1196,523,69,434,13,3,4,11,1,10,105
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:08",916,904,9,3,0,508,505,0,3,0,477,31,1000,492,40,282,14,4,15,6,5,8,103
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:28:21",1426,1393,21,12,0,726,713,1,12,0,708,18,1500,774,71,353,11,4,21,26,5,8,209
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:32:01",1360,1348,2,7,3,746,736,0,7,3,712,32,1500,754,67,382,28,5,19,13,6,16,176
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:53",1273,1260,7,5,1,716,710,0,5,1,688,28,1400,684,63,348,23,9,15,12,7,12,199
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,458,19,1300,823,51,216,20,4,9,6,2,15,135
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:00:53",1911,1870,4,35,2,1187,1150,0,35,2,1048,57,2050,945,188,580,47,0,9,0,22,28,174
