precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSOMA BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CORDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIPOŞ EUGEN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŞE ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULA FLORIAN-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","OROS NECHITA-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"ŞCOALA ” N.TITULESCU”",116,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:21:28",1584,1552,6,26,0,752,725,1,26,0,735,17,1738,986,135,97,63,255,30,155
13,CLUJ,"ŞCOALA ” N.TITULESCU”",115,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:48:01",1806,1773,13,16,4,871,851,0,16,4,841,30,1983,1112,105,103,71,298,26,238
13,CLUJ,"ŞCOALA ”OCTAVIAN GOGA”",96,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:21:14",1353,1341,2,10,0,564,554,0,10,0,549,15,1474,910,59,50,61,255,22,102
13,CLUJ,"ŞCOALA ”OCTAVIAN GOGA”",95,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:19",1418,1398,7,11,2,625,612,0,11,2,601,24,1572,947,95,67,52,237,24,126
13,CLUJ,"ŞCOALA ”OCTAVIAN GOGA”",97,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:08",1556,1520,23,13,0,625,611,1,13,0,598,27,1707,1082,51,67,50,282,23,125
13,CLUJ,"SCOALA PAVEL DAN",638,"TRITENII DE JOS",59693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:57:30",1269,1241,0,12,16,702,674,0,12,16,675,27,1381,679,6,121,104,282,13,149
13,CLUJ,"ȘCOALA POPEȘTI",329,BACIU,55838,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:32:01",840,823,1,16,0,544,528,0,16,0,534,10,885,341,55,79,67,209,20,104
13,CLUJ,"SCOALA PRIMARA",642,"TRITENII DE JOS",59693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:55:10",860,853,0,5,2,490,483,0,5,2,469,21,941,451,4,78,60,201,13,113
13,CLUJ,"SCOALA PRIMARA",640,"TRITENII DE JOS",59693,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:05",391,384,0,6,1,235,228,0,6,1,223,12,422,187,108,15,11,63,0,26
13,CLUJ,"SCOALA PRIMARĂ",577,PANTICEU,58856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:59",274,266,0,7,1,170,162,0,7,1,167,3,293,123,3,9,3,144,4,4
13,CLUJ,"ŞCOALA PRIMARĂ",523,JUCU,58259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:07",1343,1285,7,45,6,799,746,2,45,6,775,24,1414,615,26,223,64,239,18,205
