precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",58,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 08:21:05",1318,1286,11,21,0,756,735,0,21,0,745,11,1440,684,143,112,45,17,11,30,325,9,53
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",74,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:09:40",1073,1011,31,30,1,508,478,2,27,1,504,4,1140,632,104,56,15,5,10,39,268,5,2
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",75,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:12:49",1265,1172,86,7,0,434,426,1,7,0,428,6,1340,906,78,54,32,12,15,24,161,7,45
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1111,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:11:34",1037,1023,4,10,0,521,511,0,10,0,502,19,1000,479,141,84,31,3,14,29,151,16,33
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1110,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:04:00",1171,1163,2,6,0,575,569,0,6,0,554,21,1200,625,126,115,54,7,21,44,132,15,40
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1113,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:53:38",913,904,3,6,0,390,384,0,6,0,379,11,900,510,95,71,21,8,10,19,108,13,34
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1112,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:00:45",1055,1047,0,8,0,540,532,0,8,0,524,16,1100,560,144,123,44,16,17,20,120,11,29
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:24:06",1362,1337,13,11,1,647,635,0,11,1,630,17,1500,851,167,44,57,9,15,20,251,10,57
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 08:25:48",1083,1048,20,13,2,551,537,0,12,2,522,25,1200,650,117,58,48,10,21,22,171,14,61
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 16:39:17",1727,1700,10,12,5,749,731,1,12,5,739,10,1700,948,194,105,68,18,30,46,206,18,54
