precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂESCU MUGUR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRESCU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","OPROIU IONEL-EMANUEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIU MIHAI-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOAGĂ MARIAN-EMANUEL-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"LICEUL TEORETIC IONIŢĂ ASAN",49,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:30:32",1776,1762,0,9,5,686,672,0,9,5,638,48,1944,1258,70,475,56,19,18
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",13,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:33:17",1421,1415,0,6,0,735,729,0,6,0,720,15,1544,809,67,328,237,32,56
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",14,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:22",1181,1169,0,12,0,590,578,0,12,0,569,21,1274,684,71,232,186,19,61
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",12,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:45",1458,1442,5,11,0,698,687,0,11,0,683,15,1609,896,78,289,222,27,67
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",16,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:19:48",1160,1153,0,6,1,579,572,0,6,1,529,49,1260,671,79,211,160,27,52
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",15,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:39",962,954,2,6,0,475,469,0,6,0,461,11,1042,570,54,225,121,17,44
30,OLT,"LICEUL TEORETIC PETRE PANDREA",70,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:14:53",1369,1339,0,30,0,641,611,0,30,0,600,41,1470,829,79,324,151,17,29
30,OLT,"LICEUL TEORETIC PETRE PANDREA",71,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:01",1397,1369,0,26,2,677,649,0,26,2,639,38,1529,852,95,343,158,12,31
30,OLT,"LICEUL TEORETIC TUDOR VLADIMIRESCU",97,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:38:48",1882,1769,1,62,50,1276,1164,0,62,50,1205,71,1994,718,116,499,526,33,31
30,OLT,"LICEUL T.VLADIMIRESCU DRĂGĂNEŞTI-OLT",93,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:52:54",1569,1528,1,21,19,984,943,1,21,19,945,39,1733,749,29,383,424,21,88
30,OLT,"LICEUL T.VLADIMIRESCU DRĂGĂNEŞTI-OLT",94,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:25:02",1417,1361,1,47,8,893,838,0,47,8,851,42,1561,668,84,368,338,30,31
30,OLT,"PRIMĂRIE,STR.PRIMĂRIEI,NR.8",167,CUNGREA,126503,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:31:40",717,644,2,55,16,496,424,1,55,16,477,19,700,204,60,355,48,6,8
30,OLT,"SALA DE SPORT PIATRA - OLT",101,"ORAŞ PIATRA-OLT",128105,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:25",953,924,0,21,8,592,563,0,21,8,513,55,1042,450,34,459,9,11,0
30,OLT,"SALA DE SPORT PIATRA - OLT",100,"ORAŞ PIATRA-OLT",128105,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:44",979,952,1,3,23,554,528,0,3,23,519,31,1046,496,27,439,31,14,8
30,OLT,"SC GENERALA ALUNISU",310,SPINENI,128962,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:08",318,270,0,40,8,218,170,0,40,8,206,12,250,32,38,150,8,5,5
30,OLT,"ŞCOALA BACEA",255,MOVILENI,127689,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:55",1060,1015,0,10,35,689,644,0,10,35,625,19,1118,429,75,512,21,10,7
30,OLT,"ŞCOALA BĂRBĂLAI",331,TĂTULEŞTI,129317,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:25",216,171,0,33,12,207,162,0,33,12,145,6,183,21,8,96,32,1,8
30,OLT,"SCOALA BERINDEI",174,DĂNEASA,126585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:25:31",411,391,0,11,9,240,220,0,11,9,230,10,439,199,26,173,3,8,20
30,OLT,"ŞCOALA BUSCA",246,MIHĂEŞTI,127536,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:26",528,457,0,40,31,380,309,0,40,31,373,7,503,123,26,71,256,14,6
