precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIAC FRANCISK-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMION MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI IONUŢ-VALENTIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IONIŢĂ ANTONETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GAVRILĂ GELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂUREANU ADRIAN-CORNELIU-PARTIDUL S.O.S. ROMÂNIA-voturi","FĂTU NECULAI-PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"ȘCOALA CU CLASELE I-IV HORIA",245,SURDILA-GRECI,42771,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:51",337,321,0,4,12,227,211,0,4,12,210,17,333,106,159,26,13,0,4,5,3,0
9,BRĂILA,"SCOALA CU CLASELE I-IV PIETROIU",272,VĂDENI,44391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:53",451,440,0,9,2,277,267,0,8,2,273,4,562,285,83,140,23,0,7,3,15,2
9,BRĂILA,"ŞCOALA CU CLASELE I-IV TATARU",184,DUDEŞTI,43073,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:30:43",430,417,0,10,3,279,266,0,10,3,261,18,500,221,132,82,36,0,2,5,4,0
9,BRĂILA,"ȘCOALA CU CLASELE I-IV TITCOV",187,FRECĂŢEI,43117,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:56:35",385,376,0,3,6,273,264,0,3,6,265,8,416,143,172,62,11,1,0,2,17,0
9,BRĂILA,"ŞCOALA CU CLASELE I - VIII BĂRĂGANUL",160,BĂRĂGANUL,42824,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:36",1186,1153,0,10,23,687,654,0,10,23,666,21,1268,581,201,365,56,3,22,3,14,2
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII BATOGU",179,CIREŞU,43019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:06",464,446,0,1,17,295,277,0,1,17,289,6,500,205,273,8,2,1,1,1,3,0
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII CIREȘU",178,CIREŞU,43019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:02",710,675,0,3,32,430,395,0,3,32,420,10,740,310,389,15,7,0,4,2,3,0
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII COLȚEA",225,ROŞIORI,43812,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:44:23",786,783,0,3,0,395,392,0,3,0,378,17,800,405,224,123,11,2,10,1,7,0
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII FRECĂȚEI",185,FRECĂŢEI,43117,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:04:35",293,286,2,3,2,213,208,0,3,2,203,10,315,102,136,47,14,1,1,0,4,0
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII NR.1",175,CIOCILE,42968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:42:23",699,691,0,2,6,450,442,0,2,6,434,16,800,350,221,182,13,1,7,1,8,1
