precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MITITEI",202,NIMIGEA,33989,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:16",578,549,0,12,17,419,390,0,12,17,403,16,650,231,5,197,0,7,193,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MONARIU",95,"BUDACU DE JOS",32704,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:23:15",434,424,1,6,3,269,260,0,6,3,261,8,464,195,4,110,1,27,119,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MUREŞENII BÎRGĂULUI",298,"TIHA BÂRGĂULUI",35090,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:48:04",1331,1321,1,6,3,698,689,0,6,3,680,18,1500,802,23,127,2,67,461,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NEGRILEŞTI",196,NEGRILEŞTI,179659,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:29:36",1086,993,1,54,38,718,625,1,54,38,678,40,1087,369,21,337,4,69,243,4
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NIMIGEA DE JOS",199,NIMIGEA,33989,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:17:10",1342,1274,1,21,46,885,819,0,21,45,864,21,1446,561,17,257,0,20,549,21
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",10,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:40:32",1359,1348,1,10,0,638,628,0,10,0,628,10,1500,862,47,205,11,21,327,17
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",11,"MUNICIPIUL BISTRIŢA",32394,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:45:49",1115,1092,1,7,15,543,521,0,7,15,532,11,1250,707,32,173,5,22,284,16
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",8,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:02",997,991,1,5,0,442,437,0,5,0,434,8,1100,658,43,143,4,18,218,8
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",9,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:32:16",1096,1089,1,6,0,448,442,0,6,0,440,8,1200,752,32,136,5,29,224,14
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.1 GERSA I",227,REBRIŞOARA,34280,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:02:38",548,531,0,9,8,402,385,0,9,8,388,14,600,198,1,169,3,24,189,2
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 1 - LEȘU",160,LEŞU,33514,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:53:56",1343,1265,1,17,60,874,796,1,17,60,851,23,1450,576,2,299,32,18,499,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2",146,"ILVA MICĂ",33364,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:16:51",1261,1225,1,5,30,684,649,0,5,30,668,16,1334,650,15,139,2,37,469,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 BISTRIŢA BÎRGĂULUI",86,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:23",969,958,0,7,4,516,505,0,7,4,499,17,1100,584,31,133,16,47,267,5
