precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIRÓ ROZÁLIA-IBOLYA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MADAR MARIUS-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PALAGHIANU DANIEL-CRISTIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MOZA COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BIRTA FLORIN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ ANDREI-CRISTIAN-BOGDAN-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","CSOMORTÁNYI ISTVÁN-CSABA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 44",143,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:49",1780,1749,21,10,0,895,885,0,10,0,886,9,1927,1032,62,116,31,37,620,9,11
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",71,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:36:53",1316,1304,3,8,1,562,553,0,8,1,552,10,1468,906,73,54,13,21,378,6,7
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",70,"MUNICIPIUL ORADEA",26564,4,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:18",1273,1269,1,3,0,600,597,0,3,0,590,10,1395,795,87,47,16,16,412,8,4
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",69,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:20",971,963,1,7,0,435,428,0,7,0,430,5,1054,619,72,48,7,11,290,0,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",72,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:57",1083,1077,2,4,0,506,502,0,4,0,495,11,1214,708,63,58,13,13,341,2,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.46",38,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:40",681,671,2,8,0,279,271,0,8,0,277,2,749,470,38,22,12,15,187,0,3
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.46",39,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:55",1037,1008,8,18,3,340,319,0,18,3,340,0,1104,764,45,39,10,13,229,0,4
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",114,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:45",1642,1621,8,6,7,724,710,1,6,7,710,14,1879,1155,133,50,17,18,461,5,26
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",113,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:38",1241,1222,5,13,1,605,591,0,13,1,590,15,1393,788,113,54,16,21,349,3,34
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",46,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:46",1250,1238,3,9,0,487,478,0,9,0,482,5,1291,804,100,37,10,14,302,5,14
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",45,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:27",810,797,4,9,0,272,263,0,9,0,261,9,876,604,36,24,2,17,169,3,10
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",47,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:39",980,972,0,6,2,317,309,0,6,2,310,7,1069,752,65,25,9,10,190,0,11
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.53",43,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:24:18",837,824,3,10,0,323,312,1,10,0,318,5,904,581,78,17,0,11,196,2,14
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.53",44,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:02",827,814,7,6,0,354,348,0,6,0,349,5,893,539,67,40,7,9,220,1,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 54",65,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:20",947,934,3,9,1,426,416,0,9,1,416,10,1027,601,54,27,8,21,295,3,8
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 54",64,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:25",959,954,1,4,0,436,431,1,4,0,430,6,1048,612,46,51,14,14,295,4,6
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 55",92,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:31:19",1131,1128,1,0,2,535,532,1,0,2,527,8,1234,699,47,44,10,20,399,5,2
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",31,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:10",1683,1666,6,11,0,699,688,0,11,0,695,4,1834,1135,49,53,14,23,541,5,10
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",29,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:17",2020,1990,16,13,1,966,952,0,13,1,953,13,2179,1213,47,109,15,53,716,8,5
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",30,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:01",1796,1758,34,3,1,791,787,0,3,1,788,3,1939,1148,39,80,26,34,594,5,10
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",28,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:06",1885,1869,0,16,0,970,954,0,16,0,963,7,2048,1078,34,65,26,31,801,3,3
