precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",30,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:23:58",1644,1632,4,8,0,798,790,0,8,0,767,31,1800,1002,175,238,93,13,17,118,20,30,63
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",32,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:53",1261,1250,2,9,0,556,547,0,9,0,515,23,1400,862,163,157,54,12,6,46,7,26,44
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",31,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:41",1596,1592,1,3,0,606,603,0,3,0,583,23,1700,1094,206,149,73,10,14,55,11,19,46
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",33,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:22",966,964,0,2,0,308,306,0,2,0,295,8,1100,797,77,58,31,8,6,16,9,66,24
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",23,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:15",895,885,1,9,0,279,270,0,9,0,271,8,1000,721,90,60,47,1,2,16,6,24,25
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",24,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:57",1079,1070,0,9,0,325,316,0,9,0,305,20,1200,875,97,87,43,6,1,25,3,19,24
29,NEAMŢ,"COLEGIUL NAȚIONAL ”PETRU RAREȘ”",5,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:33",1574,1561,5,8,0,502,494,0,8,0,476,26,1700,1198,148,149,40,7,5,70,10,19,28
29,NEAMŢ,"COLEGIUL NAȚIONAL ”ROMAN VODĂ” - CORP A",76,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:54:13",1129,1123,3,3,0,491,487,1,3,0,466,25,1200,709,148,199,33,4,6,42,4,20,10
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP A, SALA 1",141,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:13:41",1901,1891,2,8,0,925,917,0,8,0,892,33,2100,1175,407,222,84,8,8,107,5,43,8
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 1",139,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:14",1591,1585,4,2,0,632,630,0,2,0,607,21,1698,1070,308,143,52,2,7,49,5,36,5
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 2 (FOSTA SECŢIE DE LA CASA CULTURII)",140,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:51",1567,1562,1,4,0,703,699,0,4,0,672,31,1700,997,345,166,41,7,5,65,8,19,16
29,NEAMŢ,"COLEGIUL TEHNIC „DANUBIANA”",118,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:32",1230,1198,1,6,25,502,471,0,6,25,452,50,1300,798,140,218,30,7,2,26,6,14,9
