precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GALIŞ FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIONCA-ARGHIR IUSTIN-MARINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","FIFOR MIHAI-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","PERO TAMAS-CAROL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOROŢIU FLORIN-DORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL RAZVAN-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","KISS DAN-MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU” (FOSTA ŞCOALĂ GENERALĂ NR. 18)",70,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:53",1319,1302,2,15,0,516,501,0,15,0,496,20,1480,964,67,124,131,44,9,100,21
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",26,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:46:44",1151,1135,6,10,0,439,429,0,10,0,419,20,1280,841,67,118,95,37,13,71,18
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",29,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:09:05",1111,1094,3,14,0,441,427,0,14,0,431,10,1250,809,57,122,120,17,9,85,21
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",28,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:16",1322,1307,4,11,0,540,529,0,11,0,520,20,1480,940,81,154,132,25,11,98,19
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",25,"MUNICIPIUL ARAD",9262,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:49:24",1270,1248,8,14,0,537,523,0,14,0,517,20,1410,873,81,162,113,25,15,97,24
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",30,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:29:40",1371,1341,21,8,1,567,558,0,8,1,549,18,1520,953,74,181,126,16,18,107,27
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",27,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:23",1288,1274,7,5,2,576,569,0,5,2,567,9,1440,864,94,159,131,30,20,110,23
2,ARAD,"ŞCOALA GIMNAZIALĂ CĂPĂLNAŞ",211,BIRCHIŞ,10006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:44",726,713,0,8,5,417,404,0,8,5,402,15,800,383,74,140,166,0,13,5,4
2,ARAD,"ŞCOALA GIMNAZIALĂ CHERELUȘ",375,ŞICULA,12242,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:35:41",772,736,4,9,23,526,494,0,9,23,511,15,810,284,112,198,174,2,6,4,15
2,ARAD,"ŞCOALA GIMNAZIALĂ CINTEI",434,ZĂRAND,12812,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:02",1015,974,1,3,37,758,718,0,3,37,691,30,1060,339,78,481,51,2,2,56,21
2,ARAD,"ŞCOALA GIMNAZIALĂ CONOP",235,CONOP,10453,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:02:10",457,418,0,25,14,345,306,0,25,14,331,14,480,135,21,101,192,3,4,5,5
2,ARAD,"ȘCOALA GIMNAZIALĂ „DR. IOAN DANICICO”",356,SEMLAC,12037,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:42:25",1752,1726,5,5,16,835,813,1,5,16,791,44,1920,1085,126,468,107,9,8,26,47
2,ARAD,"ŞCOALA GIMNAZIALĂ FRUMUŞENI",267,FRUMUŞENI,12920,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:09:51",1481,1467,6,0,8,804,794,2,0,8,778,26,1620,816,74,411,198,9,10,40,36
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GABRIEL BROLA” BUTENI",224,BUTENI,10293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:43:11",951,881,0,11,59,709,639,0,11,59,664,45,1030,321,56,359,197,3,17,8,24
2,ARAD,"ȘCOALA GIMNAZIALĂ „GHEORGHE GROZA”",318,MONEASA,11478,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:51",679,541,4,109,25,526,390,2,109,25,512,14,800,274,35,267,185,4,8,9,4
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GHEORGHE POPOVICI” APATEU,",180,APATEU,9798,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:25",924,875,0,5,44,681,632,0,5,44,665,16,1010,329,78,217,335,2,1,17,15
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GHEORGHE POPOVICI” APATEU,",181,APATEU,9798,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:40",921,894,0,1,26,599,572,0,1,26,573,26,1010,411,64,200,274,4,6,12,13
2,ARAD,"ŞCOALA GIMNAZIALĂ GROŞENI",186,ARCHIŞ,9832,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:02",630,607,1,5,17,464,442,0,5,17,449,15,690,226,27,107,290,2,3,14,6
2,ARAD,"ŞCOALA GIMNAZIALĂ GROŞII NOI",200,BÂRZAVA,10104,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:01:21",155,148,0,6,1,96,89,0,6,1,86,10,160,64,11,12,57,0,1,2,3
2,ARAD,"ŞCOALA GIMNAZIALĂ GURBA",376,ŞICULA,12242,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:45",895,861,0,13,21,677,643,0,13,21,609,34,990,347,91,355,98,1,31,15,18
2,ARAD,"ȘCOALA GIMNAZIALĂ HORIA",423,VLADIMIRESCU,9397,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:04",1061,1054,7,0,0,462,462,0,0,0,437,25,1160,698,47,216,129,2,2,27,14
2,ARAD,"ŞCOALA GIMNAZIALĂ „ILARION FELEA” (FOSTA ŞCOALĂ GENERALĂ NR. 8)",73,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:35",1401,1389,3,7,2,315,306,0,7,2,296,19,1540,1225,79,40,109,7,7,33,21
2,ARAD,"ȘCOALA GIMNAZIALĂ INEU",126,"ORAŞ INEU",9538,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:01:55",1393,1375,2,12,4,782,766,0,12,4,746,20,1517,751,92,329,239,22,11,30,23
2,ARAD,"ŞCOALA GIMNAZIALĂ ”IOSIF MOLDOVAN” (FOSTA ŞCOALA GENERALĂ NR. 3)",84,"MUNICIPIUL ARAD",9262,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:20:35",1845,1817,17,11,0,630,619,0,11,0,608,22,1970,1340,87,159,129,73,12,122,26
