precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIREA GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi","BURDUJA SEBASTIAN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ENACHE MIHAI-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IACOB DORIN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","IOVANOVICI-ŞOŞOACĂ DIANA-PARTIDUL S.O.S. ROMÂNIA-voturi","POPESCU CRISTIAN-VICTOR PIEDONE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÂNIŞOARĂ ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi","DAN NICUŞOR-DANIEL-voturi","FILIP CONSTANTIN-TITIAN-voturi"
49,"Sector 6","LICEUL TEHNOLOGIC ”PETRU PONI”",1174,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:47:41",1589,1553,24,12,0,590,578,0,12,0,581,9,1594,1004,130,46,13,2,21,81,6,280,2
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",253,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 20:41:26",1239,1220,16,3,0,578,575,0,3,0,574,2,1306,730,126,37,17,5,13,25,4,344,3
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",254,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:55:11",1232,1227,2,3,0,559,556,0,3,0,549,10,1400,841,137,54,10,0,11,67,0,268,2
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",255,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 15:45:30",1499,1484,8,6,1,631,624,0,6,1,622,9,1600,969,141,51,13,1,14,42,3,354,3
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",252,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 19:38:11",1782,1768,5,8,1,822,813,0,8,1,817,5,2000,1178,215,70,37,5,13,62,3,406,6
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",97,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:16:13",1468,1424,38,6,0,720,713,1,6,0,714,6,1610,890,164,80,27,7,13,42,3,376,2
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",98,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 10:42:49",1191,1140,35,7,9,512,496,0,7,9,494,18,1300,788,104,50,12,6,10,27,2,281,2
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",96,"BUCUREŞTI SECTORUL 1",179141,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 18:39:55",1190,1140,44,6,0,547,540,1,6,0,536,11,1296,749,106,58,14,12,7,19,12,306,2
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",587,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 15:55:27",1201,1193,2,6,0,596,590,0,6,0,589,7,1333,737,132,44,16,3,19,31,1,342,1
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",588,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 17:59:32",1206,1200,2,4,0,612,608,0,4,0,605,7,1324,712,148,48,23,5,18,46,6,310,1
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",590,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:29:16",1205,1187,6,11,1,603,591,0,11,1,596,7,1318,715,152,67,14,0,7,38,2,313,3
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",586,"BUCUREŞTI SECTORUL 3",179169,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 20:12:15",1255,1226,16,13,0,551,538,0,13,0,543,8,1373,822,118,32,18,2,17,42,7,305,2
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",589,"BUCUREŞTI SECTORUL 3",179169,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 19:40:52",1261,1254,2,5,0,573,568,0,5,0,569,4,1392,819,151,37,17,2,17,38,1,304,2
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",591,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 02:40:41",1432,1425,3,4,0,643,639,0,4,0,641,2,1579,936,138,38,17,0,16,38,5,380,9
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",467,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:34:09",1044,1030,5,9,0,512,503,0,9,0,502,10,1141,629,123,31,18,4,10,43,2,271,0
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",465,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:32:32",1259,1247,5,7,0,592,585,0,7,0,586,6,1378,786,126,60,23,2,20,28,2,322,3
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",466,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:02:19",927,918,4,5,0,403,398,0,5,0,397,6,1016,613,92,34,10,4,10,37,3,207,0
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",464,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 00:49:46",1225,1207,15,3,0,576,573,0,3,0,569,7,1332,756,116,29,20,1,11,47,2,339,4
44,"Sector 1","LICEUL TEORETIC BILINGV ”MIGUEL DE CERVANTES”",104,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:42:25",932,905,15,12,0,413,400,1,12,0,406,7,1028,615,76,34,18,1,8,33,0,236,0
44,"Sector 1","LICEUL TEORETIC BILINGV ”MIGUEL DE CERVANTES”",103,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:10:19",906,875,16,11,4,420,404,1,11,4,420,0,1000,580,96,19,13,3,8,32,1,248,0
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",173,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:11:08",973,946,13,14,0,445,430,1,14,0,432,9,1100,655,107,39,6,1,10,34,3,228,4
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",174,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 21:18:35",1855,1792,55,7,1,802,795,0,7,0,802,0,1900,1098,155,80,20,3,14,58,1,469,2
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",175,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:30:08",1500,1474,22,4,0,666,662,0,4,0,659,7,1600,934,140,75,17,4,17,29,4,370,3
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",18,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 15:01:57",1011,993,8,10,0,526,516,0,10,0,517,9,1110,584,126,48,24,2,13,48,5,250,1
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",17,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 18:38:21",860,851,1,8,0,390,382,0,8,0,385,5,940,550,95,30,17,3,8,52,4,171,5
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",19,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:40:37",1433,1422,5,6,0,669,663,0,6,0,658,11,1569,900,181,45,20,5,13,53,7,330,4
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",16,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 20:14:08",1497,1484,5,8,0,715,706,1,8,0,696,19,1650,935,222,43,20,0,29,90,5,283,4
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",495,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:15:49",1026,1016,1,9,0,510,501,0,9,0,499,11,1128,618,116,53,13,2,15,26,3,269,2
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",492,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 18:18:00",1373,1358,3,12,0,638,626,0,12,0,630,8,1520,882,135,39,21,3,14,50,1,365,2
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",493,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:07:31",1279,1265,3,11,0,633,622,0,11,0,622,11,1406,773,178,52,19,5,11,42,3,306,6
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",494,"BUCUREŞTI SECTORUL 3",179169,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 18:52:38",1041,1031,0,9,1,526,516,0,9,1,518,8,1137,611,101,34,20,2,8,46,4,297,6
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",496,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 18:49:11",1163,1148,5,9,1,528,518,0,9,1,515,13,1266,738,131,46,12,0,11,31,1,281,2
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",509,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:24:58",1371,1359,4,8,0,448,440,0,8,0,436,12,1498,1050,134,22,4,3,15,99,2,156,1
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",510,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:43:42",1298,1290,5,3,0,406,403,0,3,0,401,4,1418,1012,95,19,25,0,19,95,4,141,3
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",508,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 18:02:54",1312,1292,12,8,0,532,524,0,8,0,525,6,1469,937,129,24,21,3,20,84,2,236,6
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",507,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 05:46:30",1060,1049,2,9,0,419,410,0,9,0,412,7,1157,738,132,17,15,0,15,53,1,177,2
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",947,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:26:04",1234,1229,1,4,0,556,552,0,4,0,548,8,1400,844,100,28,16,4,14,216,3,166,1
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",951,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:00:09",1193,1182,7,4,0,479,475,0,4,0,475,4,1300,821,102,25,18,0,10,175,1,142,2
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",952,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:13:34",885,877,2,6,0,412,406,0,6,0,405,7,1000,588,73,28,18,3,17,137,1,127,1
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",948,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:07:46",1174,1167,0,7,0,513,506,0,7,0,502,11,1400,887,103,30,7,3,1,161,3,193,1
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",949,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:33:27",1340,1324,3,12,1,502,489,0,12,1,496,6,1500,998,88,17,14,1,16,200,3,153,4
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",944,"BUCUREŞTI SECTORUL 5",179187,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 17:55:57",973,967,0,6,0,448,442,0,6,0,440,1,1100,652,80,34,18,1,12,142,2,151,0
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",950,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:20:55",1163,1151,2,10,0,503,492,1,10,0,497,6,1300,797,80,31,14,1,8,189,3,170,1
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",946,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:09:29",1041,1037,0,4,0,452,448,0,4,0,449,3,1200,748,74,25,7,1,4,167,2,168,1
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",945,"BUCUREŞTI SECTORUL 5",179187,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 17:59:36",875,868,2,5,0,391,385,1,5,0,383,8,1000,609,81,19,8,2,4,117,4,147,1
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1117,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:53:18",1423,1404,13,6,0,641,635,0,6,0,636,5,1500,859,131,57,24,3,16,66,6,330,3
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1121,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:18:36",1099,1090,3,6,0,508,502,0,6,0,500,8,1100,592,128,53,13,1,10,53,2,239,1
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1122,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 01:55:17",824,812,6,6,0,370,363,1,6,0,365,5,800,430,85,27,11,2,8,46,1,184,1
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1115,"BUCUREŞTI SECTORUL 6",179196,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 23:39:14",1203,1195,0,7,1,594,586,0,7,1,581,10,1200,606,132,48,10,5,8,57,5,313,3
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1118,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:27:32",1307,1292,4,11,0,624,613,0,11,0,616,8,1300,676,120,61,18,2,8,70,3,331,3
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1116,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:33:20",1506,1492,2,12,0,757,745,0,12,0,742,15,1500,743,137,68,19,2,15,94,4,402,1
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1114,"BUCUREŞTI SECTORUL 6",179196,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:26:41",1470,1462,2,5,1,714,708,0,5,1,686,28,1500,786,149,51,9,1,6,58,4,402,6
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1119,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:59:01",1166,1154,5,7,0,530,523,0,7,0,521,9,1200,670,106,44,13,2,6,77,3,270,0
49,"Sector 6","LICEUL TEORETIC ”EUGEN LOVINESCU”",1120,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:06:14",1128,1115,0,13,0,502,489,0,13,0,498,4,1100,598,105,46,16,0,10,53,4,264,0
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",972,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:41:18",1256,1243,0,13,0,617,604,0,13,0,606,11,1400,781,110,42,11,5,5,119,2,309,3
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",967,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:38:02",1052,1047,2,3,0,563,560,0,3,0,557,6,1200,637,109,45,12,3,15,148,3,219,3
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",966,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:05:50",947,934,7,5,1,505,499,0,5,1,501,2,1100,597,83,35,9,1,2,98,0,272,1
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",965,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 02:56:46",1284,1273,7,4,0,590,586,0,4,0,581,9,1400,810,96,37,15,0,13,132,0,286,2
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",968,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:45:26",1186,1180,3,3,0,567,564,0,3,0,559,8,1300,733,123,30,9,2,19,112,1,262,1
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",964,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:56:11",1118,1109,3,6,0,513,507,0,6,0,508,5,1200,687,81,33,5,1,9,102,1,276,0
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",969,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:19:02",1859,1838,17,4,0,874,870,0,4,0,867,4,1900,1026,150,66,23,3,17,199,6,398,5
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",971,"BUCUREŞTI SECTORUL 5",179187,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 18:28:59",858,836,12,10,0,411,401,0,10,0,408,2,1001,590,68,28,11,1,7,76,0,216,1
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",970,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:39:13",913,898,2,13,0,455,442,0,13,0,451,4,1000,545,78,19,20,0,6,75,2,251,0
44,"Sector 1","LICEUL TEORETIC ”JEAN MONNET”",65,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 00:45:09",1306,1165,20,121,0,546,536,1,9,0,539,7,1300,754,95,80,16,4,6,32,1,305,0
44,"Sector 1","LICEUL TEORETIC ”JEAN MONNET”",64,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 13:06:16",1578,1428,135,15,0,711,689,7,15,0,708,3,1750,1039,185,105,20,2,7,30,2,355,2
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",267,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 11:00:03",1554,1539,9,6,0,596,590,0,6,0,584,12,1700,1104,153,25,24,0,32,111,3,235,1
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",270,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:37:27",1743,1737,0,6,0,571,565,0,6,0,561,10,1900,1329,167,48,12,1,32,111,2,187,1
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",269,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 14:40:06",1684,1672,5,6,1,727,720,0,6,1,706,11,2000,1283,197,33,24,1,39,130,4,277,1
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",268,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 20:19:43",1586,1579,1,6,0,443,437,0,6,0,429,14,1700,1257,124,20,22,0,33,133,0,95,2
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",271,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:24:54",1686,1672,5,8,1,626,617,0,8,1,611,15,2000,1374,154,47,33,4,22,103,5,238,5
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1255,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:09:18",1326,1313,6,7,0,506,498,1,7,0,501,3,1300,794,96,49,16,1,9,59,5,264,2
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1259,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:33:37",1381,1369,6,6,0,614,608,0,6,0,603,11,1400,786,134,53,30,3,21,75,1,283,3
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1252,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:03:34",1543,1533,1,9,0,562,553,0,9,0,554,8,1600,1038,139,43,12,2,13,65,1,272,7
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1260,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:01:50",1347,1341,0,6,0,585,579,0,6,0,579,6,1300,715,160,68,20,3,17,63,2,244,2
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1258,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:38:13",1240,1236,0,4,0,558,554,0,4,0,548,10,1300,742,119,51,18,2,25,74,3,254,2
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1256,"BUCUREŞTI SECTORUL 6",179196,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-15 17:18:23",1197,1196,0,1,0,531,530,0,1,0,525,6,1200,669,144,30,17,5,11,74,1,243,0
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1254,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 02:45:39",1617,1577,29,11,0,549,538,0,11,0,543,6,1600,1051,125,33,17,2,15,55,3,292,1
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1257,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:16:48",1554,1545,0,9,0,606,597,0,9,0,598,8,1600,994,107,56,27,2,23,74,1,303,5
49,"Sector 6","LICEUL TEORETIC ”MARIN PREDA”",1253,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:39:24",1614,1604,2,8,0,660,651,1,8,0,650,10,1600,940,157,56,16,1,12,86,8,312,2
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",599,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:46:56",1149,1144,2,3,0,428,425,0,3,0,427,1,1267,839,88,37,9,1,9,41,0,239,3
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",597,"BUCUREŞTI SECTORUL 3",179169,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 08:32:45",1433,1415,10,8,0,552,544,0,8,0,548,4,1562,1010,150,28,17,3,19,71,0,260,0
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",592,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:36:02",1034,1018,6,10,0,422,411,1,10,0,418,4,1141,719,120,31,15,2,11,47,3,188,1
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",598,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:52:21",1271,1261,2,8,0,598,590,0,8,0,589,9,1388,790,172,34,14,3,14,49,2,297,4
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",601,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:00:07",1272,1261,1,10,0,553,543,0,10,0,547,6,1385,832,119,42,16,3,9,35,0,322,1
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",595,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 06:14:36",1053,1031,12,7,3,481,472,0,7,2,474,5,1155,673,91,35,21,1,4,30,6,284,2
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",596,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:42:46",1276,1265,4,7,0,521,514,0,7,0,513,8,1389,868,124,28,20,1,19,64,5,247,5
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",593,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:06:47",1185,1167,5,13,0,474,461,0,13,0,466,8,1293,819,122,34,13,4,22,48,4,214,5
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",600,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 16:52:55",1546,1523,6,16,1,671,654,0,16,1,662,8,1701,1030,125,41,26,3,11,52,10,393,1
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",594,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:36:54",1634,1622,2,10,0,401,391,0,10,0,399,2,1791,1390,88,33,13,0,17,33,5,209,1
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",1,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 18:14:06",1965,1908,39,18,0,660,642,0,18,0,643,8,2200,1540,120,66,16,2,18,31,5,385,0
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",2,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 14:59:52",1505,1482,15,8,0,797,789,0,8,0,793,4,1702,905,191,78,18,2,13,42,8,441,0
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",4,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:47:54",1024,971,46,7,0,474,467,0,7,0,464,10,1132,658,102,55,8,0,9,25,3,262,0
