precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL VOINICENI",303,"CEUAŞU DE CÂMPIE",115959,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:38",969,952,4,5,8,617,604,0,5,8,553,64,1070,453,126,163,13,165,44,17,9,16
28,MUREŞ,"CASA ”APOLLO” (ŞCOALA DE ARTE)",1,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:08:51",1457,1293,148,14,2,542,526,0,14,2,523,19,1487,945,93,66,247,22,52,5,35,3
28,MUREŞ,"CASA DE CULTURĂ DR. ”EUGEN NICOARA”",108,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:15",1164,1129,2,4,29,562,529,0,4,29,546,16,1247,685,111,114,182,41,83,2,5,8
28,MUREŞ,"CASA DE CULTURĂ IERNUT",153,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:55",1257,1233,4,11,9,726,706,0,11,9,700,26,1350,624,228,173,97,110,52,6,19,15
28,MUREŞ,"CASA DE CULTURA LUNCA BRADULUI",442,"LUNCA BRADULUI",118058,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:50",1225,1155,0,38,32,773,703,0,38,32,733,40,1265,492,322,351,22,16,12,2,3,5
28,MUREŞ,"CASA DE CULTURĂ MIHAI EMINESCU",138,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:26",1151,1144,0,7,0,459,452,0,7,0,432,27,1260,801,150,121,41,62,30,6,17,5
28,MUREŞ,"CASA DE CULTURĂ ”VASILE CONȚIU” RÂCIU",487,RÂCIU,118995,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:57:52",1246,1216,0,18,12,759,729,0,18,12,723,36,1354,595,99,469,4,111,19,1,12,8
28,MUREŞ,"CASA DE TINERET VĂLENII",217,ACĂŢARI,114970,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:25:52",660,642,0,0,18,335,317,0,0,18,322,13,712,377,7,7,302,1,2,2,1,0
28,MUREŞ,"CASA PAROHIALĂ GIULUȘ",468,OGRA,118575,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:32:16",93,89,0,4,0,57,53,0,4,0,51,6,100,43,18,24,2,2,5,0,0,0
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",433,LIVEZENI,117925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:35",1450,1426,18,5,1,794,788,0,5,1,765,29,1550,756,108,156,329,26,95,9,34,8
