precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:33",1220,1207,7,6,0,648,642,0,6,0,628,20,1400,752,127,6,309,75,13,91,7
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:07",1171,1153,5,13,0,529,516,0,13,0,507,22,1198,669,122,10,198,89,24,53,11
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:00:26",1645,1632,9,4,0,737,733,0,4,0,718,19,1800,1062,168,14,319,99,21,82,15
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",106,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:15",1076,1071,1,4,0,420,416,0,4,0,405,15,1180,760,86,7,139,134,17,18,4
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",104,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:37",1014,1004,3,6,1,444,437,0,6,1,437,7,1120,676,108,1,175,93,12,41,7
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",105,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:33",961,953,0,8,0,402,394,0,8,0,391,7,1060,662,72,5,151,125,15,20,3
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",107,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:57",1044,1035,1,7,1,396,388,0,7,1,374,22,1140,744,81,11,136,112,17,13,4
1,ALBA,"ŞCOALA GIMNAZIALĂ MUŞCA",307,LUPŞA,5336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 00:32:14",863,834,0,14,15,593,564,0,14,15,568,25,905,312,194,9,282,45,11,22,5
1,ALBA,"ŞCOALA GIMNAZIALĂ ” NICODIM GANEA” BISTRA",204,BISTRA,3039,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:05",805,791,1,9,4,503,489,1,9,4,481,22,896,393,168,6,210,60,21,12,4
1,ALBA,"ŞCOALA GIMNAZIALĂ ”NICODIM GANEA” BISTRA",206,BISTRA,3039,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:23:53",759,752,0,4,3,443,436,0,4,3,410,33,850,407,152,4,161,60,26,5,2
1,ALBA,"ŞCOALA GIMNAZIALĂ ”NICODIM GANEA” BISTRA",205,BISTRA,3039,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:35:25",1053,1042,0,7,4,697,686,0,7,4,677,17,1171,476,267,2,276,99,26,6,1
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 2 SEBEŞ",101,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:03:56",1480,1428,7,11,34,807,762,0,11,34,781,26,1600,793,154,10,419,113,11,62,12
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",133,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:58",963,957,1,4,1,423,418,0,4,1,406,17,1050,627,136,4,140,49,9,62,6
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",134,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:40",1322,1310,1,8,3,561,549,1,8,3,538,23,1500,939,187,5,196,41,29,69,11
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",136,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:43",1037,1030,1,6,0,434,428,0,6,0,422,12,1200,766,153,5,150,39,13,60,2
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",135,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:12",1177,1169,2,6,0,483,477,0,6,0,467,16,1300,817,165,5,163,33,16,82,3
