precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MARIN PREDA” (FOSTA ŞCOALĂ NR.10)",44,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:20:09",1526,1506,5,14,1,679,664,0,14,1,658,21,1700,1020,226,90,149,18,11,164
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MATEI BASARAB” ( FOSTA ŞCOALA NR. 19)",37,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:38",2186,2155,18,13,0,1007,994,0,13,0,977,30,2300,1293,304,119,275,20,30,229
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MATEI BASARAB” ( FOSTA ŞCOALA NR. 19)",36,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:34:10",1907,1899,5,3,0,780,777,0,3,0,750,27,2000,1223,267,102,202,12,14,153
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ „MATEI BASARAB” (FOSTA ŞCOALĂ NR.19)",38,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:51",1770,1760,6,4,0,752,748,0,4,0,735,17,1900,1148,265,87,193,11,13,166
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU” (FOSTA ŞCOALA NR.11)",69,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:36",1342,1337,0,5,0,522,517,0,5,0,512,10,1500,978,212,63,126,15,16,80
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU” (FOSTA ŞCOALA NR.11)",68,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:08:52",1433,1430,0,3,0,568,565,0,3,0,552,0,1600,1013,218,56,148,7,12,111
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIRCEA CEL BĂTRAN” (FOSTĂ ŞCOALA NR. 13)",13,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:02",1653,1644,0,9,0,706,697,0,9,0,679,27,1800,1094,283,89,182,17,11,97
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIRCEA CEL BĂTRAN” (FOSTĂ ŞCOALA NR. 13)",11,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:35",1710,1700,1,9,0,670,661,0,9,0,651,19,1900,1230,267,94,140,10,29,111
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIRCEA CEL BĂTRAN” (FOSTĂ ŞCOALA NR. 13)",10,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:50",1732,1721,2,9,0,749,740,0,9,0,719,21,1900,1160,251,91,214,15,20,128
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIRCEA CEL BĂTRAN” (FOSTĂ ŞCOALA NR. 13)",12,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:03:32",1846,1840,1,5,0,717,712,0,5,0,696,21,2000,1283,276,88,183,8,15,126
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” MIRCEA ELIADE” ( FOSTĂ ŞCOALĂ NR.18)",57,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:05",1583,1575,0,8,0,588,580,0,8,0,565,19,1700,1112,265,58,126,10,14,92
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” MIRCEA ELIADE” ( FOSTĂ ŞCOALĂ NR.18)",58,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:22",1517,1512,0,5,0,606,601,0,5,0,587,19,1700,1094,246,75,152,7,14,93
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NEGRU VODĂ” ( FOSTĂ ŞCOALA NR. 12)",8,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:53",1722,1712,7,3,0,700,697,0,3,0,679,21,1900,1200,247,122,148,15,21,126
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NEGRU VODĂ” ( FOSTĂ ŞCOALA NR. 12)",7,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:16",1569,1561,1,7,0,570,563,0,7,0,543,27,1700,1130,193,110,130,10,16,84
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NEGRU VODĂ” ( FOSTĂ ŞCOALA NR. 12)",6,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:47",1679,1674,1,4,0,585,581,0,4,0,560,25,1900,1315,210,71,147,12,14,106
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NEGRU VODĂ” ( FOSTĂ ŞCOALA NR. 12)",5,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:22",1623,1619,0,4,0,628,624,0,4,0,609,18,1800,1169,230,88,140,22,22,107
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU” ( FOSTA ŞCOALĂ NR.6)",24,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:09",1613,1608,0,4,1,639,634,0,4,1,617,22,1800,1161,253,105,165,8,12,74
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU” ( FOSTA ŞCOALĂ NR.6)",22,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:17",1649,1645,1,3,0,660,657,0,3,0,643,17,1900,1240,224,110,174,11,14,110
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU” ( FOSTA ŞCOALĂ NR.6)",23,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:28",1531,1522,3,6,0,490,484,0,6,0,479,11,1700,1210,183,71,113,6,24,82
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU” ( FOSTA ŞCOALĂ NR.6)",25,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:43",1768,1742,20,6,0,707,701,0,6,0,683,24,1900,1193,248,77,200,12,18,128
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”(FOSTĂ ŞCOALĂ NR.5)",52,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:02:08",1310,1306,0,4,0,536,532,0,4,0,512,21,1500,967,169,50,142,13,8,130
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”(FOSTĂ ŞCOALĂ NR.5)",53,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:48:34",1004,995,1,8,0,423,414,1,8,0,388,26,1200,786,154,44,101,4,8,77
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE SIMONIDE” (FOSTĂ ŞCOALĂ NR.1)",47,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:37:08",998,991,0,7,0,443,436,0,7,0,443,0,1200,757,188,32,107,7,4,105
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE SIMONIDE” (FOSTĂ ŞCOALĂ NR.1)",48,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:29",1484,1467,12,5,0,612,607,0,5,0,596,16,1600,988,198,62,161,15,16,144
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE SIMONIDE” (FOSTĂ ŞCOALĂ NR.1)",49,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:51",855,847,3,5,0,390,385,0,5,0,378,12,1000,610,137,31,95,11,11,93
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE SIMONIDE”, (FOSTA ŞCOALĂ NR.1), (INTRAREA D)",51,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:56:25",1597,1584,8,5,0,622,617,0,5,0,599,23,1700,1078,223,69,150,16,12,129
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” TRAIAN” ( FOSTĂ ŞCOALĂ NR.4)",89,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:55:11",1616,1611,0,5,0,705,700,0,5,0,689,16,1700,995,269,96,174,13,9,128
