precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ DĂRMĂNEȘTI",226,DĂRMĂNEŞTI,67256,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:05:12",1554,1536,6,2,10,888,876,0,2,10,850,38,1700,812,222,433,97,78,20
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DÂRZA",223,CREVEDIA,102286,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:24",1576,1515,3,51,7,1037,978,1,51,7,992,45,1670,633,340,334,88,209,21
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI –DRAGOMIREŞTI",239,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:42",1033,1027,1,5,0,649,643,1,5,0,624,25,1130,481,477,44,68,24,11
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI-DRAGOMIREŞTI",240,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:04",1058,1056,0,2,0,638,636,0,2,0,616,22,1160,516,484,43,64,18,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DONICI ELENA CANTACUZINO” PUCIOASA",107,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:29",1248,1235,0,7,6,559,546,0,7,6,538,21,1370,811,364,91,32,38,13
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DORA DALLES” BUCȘANI",160,BUCŞANI,66474,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:45",1411,1393,1,3,14,890,873,0,3,14,861,29,1550,660,371,369,94,19,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DORA DALLES” BUCȘANI",159,BUCŞANI,66474,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:17",1469,1445,0,6,18,909,885,0,6,18,879,30,1600,691,463,319,71,13,13
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRĂGĂEŞTI-PĂMÂNTENI",291,MĂNEŞTI,68002,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:02",1930,1924,0,6,0,1113,1107,0,6,0,1058,49,2120,1007,758,177,102,15,6
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRĂGĂEŞTI-UNGURENI",292,MĂNEŞTI,68002,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:01",1096,1090,1,5,0,659,654,0,5,0,637,22,1200,541,424,89,73,42,9
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRAGOMIREŞTI",238,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:37",1796,1787,5,4,0,951,947,0,4,0,912,39,1970,1019,611,152,104,31,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ FIERBINȚI",377,ŞELARU,68887,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:23",1173,1158,0,15,0,829,814,0,15,0,802,27,1270,441,632,98,56,8,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FINTA",246,FINTA,67470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:33",1000,974,0,14,12,666,640,0,14,12,644,22,1070,404,208,345,31,52,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FÎNTÎNELE",183,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:31",994,986,0,6,2,395,387,0,6,2,367,23,1090,700,314,46,6,0,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FÎNTÎNELE",182,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:35",1100,1085,1,14,0,530,516,0,14,0,517,13,1200,670,498,13,5,0,1
