precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",151,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:28",1771,1761,2,8,0,565,557,1,7,0,545,18,2000,1435,7,33,319,66,2,21,2,2,28,26,6,21,12
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",153,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:50",1823,1815,4,3,1,540,536,0,3,1,538,2,2000,1460,4,34,310,57,1,23,2,3,26,30,8,28,12
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT PRICHINDEL",205,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:13:53",1133,1129,1,2,1,472,469,0,2,1,461,11,1240,768,2,125,249,34,8,0,2,1,13,1,1,22,3
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT PRICHINDEL",204,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:03",968,963,0,5,0,452,447,0,5,0,445,7,1060,608,1,118,226,37,8,4,2,1,14,1,4,25,4
18,GALAŢI,"GRĂDINIŢA MOSCU",217,"ORAŞ TÂRGU BUJOR",75472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:46",1000,964,0,5,31,556,520,0,5,31,501,34,1108,573,1,129,345,17,0,1,0,0,2,4,1,0,1
18,GALAŢI,"GRADINITA MOVILENI",407,ŞENDRENI,75114,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:07:45",562,556,1,3,2,316,311,0,3,2,302,14,661,345,3,57,160,20,4,0,0,2,12,4,0,37,3
18,GALAŢI,"GRĂDINIȚA NR.1 BRĂHĂȘEȘTI",246,BRĂHĂŞEŞTI,75766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:05",1004,984,0,0,20,433,413,0,0,20,406,27,1166,733,12,104,245,27,0,0,0,0,11,2,0,5,0
18,GALAŢI,"GRĂDINIȚA NR.1 BRĂHĂȘEȘTI",245,BRĂHĂŞEŞTI,75766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:01",1369,1345,0,1,23,543,519,0,1,23,501,42,1503,960,17,94,331,42,0,2,0,0,9,2,0,3,1
18,GALAŢI,"GRADINIŢA NR.2 CĂSUŢA PITICILOR",214,"ORAŞ TÂRGU BUJOR",75472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:33",1891,1874,0,8,9,323,306,0,8,9,304,19,2075,1752,17,44,224,13,0,1,0,1,0,0,0,4,0
18,GALAŢI,"GRADINIŢA NR.2 CĂSUŢA PITICILOR",213,"ORAŞ TÂRGU BUJOR",75472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:24",1919,1902,0,4,13,403,386,0,4,13,374,29,2127,1724,8,109,222,19,1,0,1,1,6,4,0,3,0
18,GALAŢI,"GRADINITA NR. 3",338,LIEŞTI,76674,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:49:55",1464,1464,0,0,0,812,812,0,0,0,674,138,1617,805,52,381,140,54,0,4,0,2,25,5,1,8,2
18,GALAŢI,"GRADINIȚA SALCIA",422,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:20",710,704,1,4,1,330,325,0,4,1,307,23,775,445,11,129,138,15,2,1,1,1,5,0,0,4,0
18,GALAŢI,"GRADINITA SERBESTII VECHI",408,ŞENDRENI,75114,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:31:25",814,805,1,5,3,427,419,0,5,3,419,8,970,523,4,49,230,63,0,4,3,1,12,8,1,39,5
18,GALAŢI,"GRADINITA SMULTI",401,SMULŢI,77260,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:25:24",1222,1091,0,46,85,719,597,0,46,76,680,39,1202,483,5,219,366,26,30,2,3,3,13,6,0,3,4
18,GALAŢI,"GRADINIȚA TORCEȘTI",424,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:27",604,599,0,4,1,360,355,0,4,1,341,19,660,300,3,122,172,17,1,0,0,1,18,3,0,3,1
18,GALAŢI,"GRĂDINIŢA TUDOR VLADIMIRESCU,",410,"TUDOR VLADIMIRESCU",77313,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:40",1364,1360,0,4,0,818,814,0,4,0,803,15,1504,686,10,94,400,248,0,1,2,1,15,5,2,20,5
18,GALAŢI,"GRADINITA TULUCESTI",413,TULUCEŞTI,77331,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:25:14",1786,1766,0,5,15,836,816,0,5,15,785,51,1972,1136,2,135,539,48,3,7,1,2,30,13,1,0,4
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",116,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:04",1296,1290,1,5,0,499,494,0,5,0,487,12,1600,1101,4,53,280,37,9,43,0,1,5,9,1,35,10
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",115,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:21:34",1224,1198,1,7,18,479,454,0,7,18,470,9,1600,1121,1,37,294,28,4,35,4,2,4,10,1,40,10
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",117,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:32:46",1231,1224,0,7,0,485,478,0,7,0,470,11,1179,698,2,53,275,21,1,37,0,5,14,14,1,41,6
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",128,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:58",1828,1819,2,7,0,555,548,0,7,0,528,27,2000,1445,7,61,269,67,1,19,5,4,31,27,0,23,14
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",127,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:35",1678,1671,0,7,0,140,133,0,7,0,136,4,2000,1860,0,11,82,13,3,8,0,0,6,4,0,7,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",125,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:08",1826,1820,0,6,0,376,370,0,6,0,365,11,2000,1624,2,39,195,38,1,14,5,4,19,10,1,28,9
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",126,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:15:26",1673,1669,0,4,0,62,58,0,4,0,58,4,2000,1938,0,6,27,13,0,2,0,1,2,2,0,3,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",157,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:27",1855,1847,0,7,1,666,658,0,7,1,648,18,2000,1334,4,57,377,50,5,28,7,5,33,20,1,49,12
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",155,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:04:30",1658,1649,1,8,0,476,476,0,0,0,460,16,2000,1524,6,30,277,42,2,24,3,1,20,34,2,13,6
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",156,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:08:53",1796,1789,0,7,0,194,187,0,7,0,186,8,2000,1806,2,6,105,20,2,5,2,1,9,13,2,15,4
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",158,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:20:54",1748,1742,0,6,0,584,578,0,6,0,568,16,2000,1416,4,33,336,69,2,21,5,2,21,23,6,36,10
