precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ILVA MARE",144,"ILVA MARE",33337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:41",1021,993,1,0,27,719,692,0,0,27,692,27,1112,393,20,396,248,1,16,11
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI LECHINȚA",153,LECHINŢA,33435,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:02",1189,1175,0,2,12,605,591,0,2,12,583,22,1300,695,18,456,93,1,14,1
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI NUŞENI",207,NUŞENI,34075,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:21",747,649,1,33,64,516,419,0,33,64,500,16,760,244,8,281,123,32,56,0
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI PETRU RAREŞ",215,"PETRU RAREŞ",34173,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:08:47",1395,1354,3,14,24,826,788,0,14,24,788,38,1550,724,74,251,414,11,25,13
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI RODNA",231,RODNA,34333,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:31:23",1432,1398,2,0,32,916,884,0,0,32,899,17,1550,634,77,532,199,5,83,3
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI RUNCU SALVEI",236,"RUNCU SALVEI",179944,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:25",1016,981,0,7,28,824,789,0,7,28,791,33,1100,276,14,380,389,0,6,2
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI SALVA",237,SALVA,34397,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:30:12",1083,994,0,39,50,825,736,0,39,50,797,24,1096,275,32,359,385,3,11,7
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞANŢ",250,ŞANŢ,34618,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:17:31",1293,1257,0,12,24,993,957,0,12,24,959,34,1400,407,36,399,492,0,29,3
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞIEU",253,ŞIEU,34645,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:36",1077,1062,1,0,14,651,637,0,0,14,639,12,1200,549,38,424,158,3,11,5
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞIEU-ODORHEI",262,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:39",590,585,0,2,3,374,369,0,2,3,354,20,650,276,25,200,96,8,24,1
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞIEUŢ",269,ŞIEUŢ,34850,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:33",560,526,1,20,13,436,402,1,20,13,420,15,620,185,27,240,131,2,13,7
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞINTEREAG",273,ŞINTEREAG,34903,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:58",812,786,3,1,22,487,464,0,1,22,470,17,940,453,18,232,189,12,18,1
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI SPERMEZEU",245,SPERMEZEU,34547,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:19",1396,1380,0,5,11,754,738,0,5,11,737,17,1500,746,44,190,488,2,8,5
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI TEACA",285,TEACA,34985,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:12:49",768,753,0,7,8,452,437,0,7,8,427,25,850,398,39,200,139,12,31,6
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA MUNICIPIULUI BISTRIŢA, DIRECŢIA ECONOMICĂ-VENITURI",4,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:21:02",1990,1979,0,10,1,987,976,0,10,1,967,20,2150,1163,37,486,370,17,45,12
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA ORAȘULUI BECLEAN",60,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:36:43",1748,1641,2,74,31,894,854,0,9,31,877,17,1800,906,42,430,346,16,38,5
6,BISTRIŢA-NĂSĂUD,"”ROTARY CLUB” BISTRIŢA NOSA",45,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:56:21",1016,995,13,4,4,1016,995,13,4,4,998,14,2243,1231,46,516,335,21,70,10
6,BISTRIŢA-NĂSĂUD,"SALA DE NUNŢI BISTRIŢA BÎRGĂULUI",87,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:35",1042,1033,1,5,3,516,508,0,5,3,499,17,1100,584,42,305,94,8,38,12
6,BISTRIŢA-NĂSĂUD,"SALA DE SPORT URMENIŞ",306,URMENIŞ,35312,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:39:27",717,715,0,2,0,440,438,0,2,0,390,48,800,360,70,36,200,60,19,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA CLASELE I - IV PETRIŞ",107,CETATE,32884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:34",1059,1036,3,9,11,713,693,0,9,11,687,26,1123,410,50,255,358,1,20,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ AGRIEŞ",280,TÂRLIŞUA,35152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:16",731,680,0,13,38,554,503,0,13,38,539,15,800,246,18,415,101,2,3,0
