precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HARPA DANIEL-VASILICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","LAVRIC SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MELINTE LUCIA-ROMÂNIA SOCIALISTĂ-voturi","CUCU RALUCA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","APOSTOL MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGURIŢĂ CLAUDIU-ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU”",484,VÂNĂTORI-NEAMŢ,125016,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:06",1109,1101,0,8,0,558,550,0,8,0,540,18,1200,642,316,133,35,1,3,32,20
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU”",480,VÂNĂTORI-NEAMŢ,125016,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:54",1303,1293,1,7,2,678,669,0,7,2,652,26,1400,722,340,174,37,5,2,66,28
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU” NR.2",482,VÂNĂTORI-NEAMŢ,125016,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:44:04",1353,1344,2,5,2,648,641,0,5,2,607,41,1511,863,278,179,58,4,2,63,23
29,NEAMŢ,"SCOALA GIMNAZIALA BALUSESTI",315,ICUŞEŞTI,123013,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:21",829,826,0,2,1,372,369,0,2,1,332,35,900,522,71,203,46,1,1,3,7
29,NEAMŢ,"SCOALA GIMNAZIALA BALUSESTI",316,ICUŞEŞTI,123013,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:59:02",1190,1188,0,2,0,561,559,0,2,0,519,42,1300,739,147,295,45,4,3,18,7
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOGHICEA",192,BOGHICEA,125178,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:23:05",1041,1022,1,4,14,560,542,0,4,14,546,14,1100,540,297,143,46,2,1,33,24
29,NEAMŢ,"SCOALA GIMNAZIALĂ BORLEŞTI",203,BORLEŞTI,121732,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:59",1501,1492,0,6,3,671,662,0,6,3,645,26,1600,929,274,218,73,7,6,28,39
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI (ȘCOALA GENERALĂ BOZIENI)",215,BOZIENI,121876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:31",891,881,0,4,6,469,459,0,4,6,450,19,1000,531,76,357,5,0,0,6,6
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI - ȘCOALA PRIMARĂ CUCI (ŞCOALA GENERALĂ BOZIENI)",216,BOZIENI,121876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:48",644,638,0,3,3,340,334,0,3,3,320,20,700,360,119,175,15,0,1,2,8
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI - ȘCOALA PRIMARĂ IUCȘA (ŞCOALA GENERALĂ BOZIENI)",217,BOZIENI,121876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:51:36",631,613,0,8,10,333,315,0,8,10,320,13,700,367,40,260,9,0,0,7,4
