precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞERBAN MARCEL-IULIAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRADINITA NR.4",198,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:12",1206,1194,2,10,0,441,431,0,10,0,423,18,1302,861,87,51,191,17,11,12,54
8,BRAŞOV,"GRADINITA NR.4",199,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:57",1756,1745,4,7,0,854,847,0,7,0,824,30,1900,1046,228,81,314,47,12,29,113
8,BRAŞOV,"GRADINITA PROGRAM PRELUNGIT",434,TĂRLUNGENI,42003,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:04:37",1759,1740,3,9,7,927,910,1,9,7,877,50,1900,973,242,65,105,17,316,15,117
8,BRAŞOV,"GRĂDINIŢA VOINICELUL NR. 2",285,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:13",1094,1086,0,8,0,540,532,0,8,0,515,25,1200,660,151,74,184,17,10,26,53
8,BRAŞOV,"GRADINȚA CU PROGRAM PRELUNGIT „VOINICELUL”",207,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:52",1627,1617,2,8,0,498,490,0,8,0,458,40,1800,1302,65,72,213,39,9,15,45
8,BRAŞOV,"GRUP SCOLAR FORESTIER",196,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:06",1591,1577,9,5,0,724,717,2,5,0,695,29,1800,1076,196,57,245,28,20,25,124
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",268,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:48",1400,1395,1,3,1,626,622,0,3,1,593,33,1500,874,239,81,81,30,8,9,145
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",267,"ORAŞ RÂŞNOV",40367,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:33:08",1809,1786,9,13,1,1103,1089,0,13,1,1002,20,2000,877,426,90,91,29,6,22,338
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",269,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:32",1143,1135,3,5,0,617,612,0,5,0,589,28,1300,683,243,75,78,11,12,9,161
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",244,"MUNICIPIUL SĂCELE",40438,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:44:26",1071,1058,0,10,3,435,422,0,10,3,414,21,1200,765,108,57,149,8,30,6,56
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",243,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:32",1017,1006,0,10,1,397,386,0,10,1,380,17,1095,698,98,42,144,16,21,5,54
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",6,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:25:33",1370,1327,22,6,15,615,595,0,6,14,588,25,1500,887,147,47,73,15,52,10,244
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",5,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:23",1338,1294,12,12,20,664,631,1,12,20,648,16,1400,736,153,61,102,25,41,16,250
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",121,"MUNICIPIUL BRAŞOV",40198,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:17:33",1167,1159,2,6,0,546,540,0,6,0,512,33,1300,754,133,51,113,16,36,9,154
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",122,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:43",1347,1339,3,5,0,601,596,0,5,0,555,46,1500,899,144,55,122,18,31,16,169
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",123,"MUNICIPIUL BRAŞOV",40198,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:51:49",1312,1307,2,3,0,581,578,0,3,0,542,39,1500,919,144,47,111,17,28,19,176
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",120,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:09:36",999,993,4,2,0,433,431,0,2,0,407,26,1100,667,89,40,64,10,28,13,163
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",119,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:50",1413,1407,0,6,0,729,723,0,6,0,697,32,1600,871,181,44,162,24,54,17,215
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",70,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:46",1227,1209,4,14,0,615,601,0,14,0,595,20,1300,685,140,53,87,21,41,10,243
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",72,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:01",1395,1387,3,5,0,681,675,1,5,0,653,28,1500,819,153,58,113,21,38,11,259
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",71,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:49",1552,1537,4,10,1,695,684,0,10,1,653,31,1700,1005,163,66,105,29,28,15,247
8,BRAŞOV,"LICEUL DE MUZICĂ ”TUDOR CIORTEA”",27,"MUNICIPIUL BRAŞOV",40198,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:00:42",1245,1210,16,10,9,599,580,0,10,9,577,21,1300,701,142,59,55,7,52,6,256
8,BRAŞOV,"LICEUL GEORGE MOROIANU",238,"MUNICIPIUL SĂCELE",40438,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:15:25",1759,1747,0,10,2,896,884,0,10,2,849,47,1900,1004,220,50,122,16,321,9,111
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",234,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:54",1604,1594,3,7,0,911,904,0,7,0,891,20,1800,889,155,42,118,24,450,12,90
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",235,"MUNICIPIUL SĂCELE",40438,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:17:44",1463,1452,2,9,0,690,681,0,9,0,676,14,1600,910,182,50,143,18,147,14,122
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",222,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:39",1354,1343,0,7,4,452,441,0,7,4,381,71,1500,1048,46,64,155,74,14,7,21
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",223,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:41",1102,1089,0,11,2,454,441,0,11,2,356,96,1200,748,30,84,106,103,6,8,19
8,BRAŞOV,"LICEUL TEHNOLOGIC MALAXA",292,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:21",1003,996,2,5,0,416,411,0,5,0,389,27,1100,684,77,64,165,34,5,13,31
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",100,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:59",1366,1355,5,6,0,617,611,0,6,0,593,24,3000,2383,142,65,137,14,30,19,186
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",98,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:54",1270,1260,1,8,1,584,575,0,8,1,556,28,1400,816,129,52,99,29,25,19,203
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",97,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:27",1009,997,6,5,1,452,446,0,5,1,438,14,1100,648,124,36,78,16,30,9,145
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",99,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:20",848,845,0,3,0,388,385,0,3,0,375,13,1000,612,100,24,81,13,27,22,108
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",225,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:19",1609,1600,2,7,0,491,484,0,7,0,459,32,1800,1309,77,91,184,46,9,8,44
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",224,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:58",1775,1768,1,5,1,541,535,0,5,1,523,18,2000,1459,96,70,201,28,17,22,89
8,BRAŞOV,"LICEUL TEORETIC",203,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:21:34",1274,1264,2,8,0,600,592,0,8,0,567,33,1400,800,163,54,200,36,6,20,88
8,BRAŞOV,"LICEUL TEORETIC I.C. DRĂGUȘANU",276,"ORAŞ VICTORIA",40465,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:50:38",1556,1540,3,12,1,631,616,2,12,1,577,16,1700,1107,81,81,189,18,11,0,197
8,BRAŞOV,"LICEUL TEORETIC MIHAIL SAULESCU",254,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:02",910,889,2,11,8,521,500,2,11,8,497,24,1000,479,202,50,140,17,8,14,66
8,BRAŞOV,"LICEUL TEORETIC MIHAIL SĂULESCU",255,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:04:05",1150,1129,4,3,14,657,639,1,3,14,612,45,1200,543,190,76,188,40,10,8,100
