precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","CHIRILESCU DORIN-voturi","LUNCANU CLARA-voturi"
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",36,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:24",1240,1236,0,4,0,596,592,0,4,0,583,13,1400,802,58,150,6,58,160,31,10,52,24,17,17
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",96,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:50:21",1069,1063,0,6,0,396,390,0,6,0,381,15,1212,816,33,106,7,52,92,17,9,38,9,8,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",94,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:29:48",1283,1275,0,7,1,487,479,0,7,1,471,14,1400,915,40,137,4,38,122,11,7,64,21,16,11
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",93,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:42",956,948,3,5,0,375,370,0,5,0,364,11,1100,725,35,90,4,55,82,9,6,53,12,11,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ION LUCA”",95,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:33",1218,1215,0,3,0,437,434,0,3,0,425,12,1300,863,39,132,2,39,127,13,9,36,7,8,13
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",14,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:42:54",1361,1351,3,7,0,569,562,0,7,0,540,29,1500,931,45,147,4,56,169,18,8,35,19,29,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",12,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 19:32:25",1590,1584,0,6,0,91,85,0,6,0,88,1,1800,1711,9,28,0,8,20,2,2,5,3,10,1
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",9,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:34",1318,1310,0,8,0,516,508,0,8,0,496,12,1404,896,39,140,3,38,167,20,11,21,22,26,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",10,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:48:28",1158,1149,1,8,0,488,479,1,8,0,461,18,1300,821,44,115,3,44,145,14,4,36,16,30,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",11,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:27",1173,1164,1,8,0,531,523,0,8,0,521,10,1334,803,42,157,1,46,120,20,15,45,18,45,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAI DRĂGAN”",13,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:59:52",1355,1346,1,8,0,518,510,0,8,0,497,21,1500,982,48,142,5,47,144,24,14,23,20,0,30
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",20,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:06",1989,1973,9,7,0,820,813,0,7,0,799,21,2200,1376,63,177,4,51,238,34,18,66,30,106,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",17,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:58",1313,1302,0,11,0,480,469,0,11,0,465,15,1408,928,61,122,1,35,148,16,6,31,20,17,8
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",18,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:06",1327,1321,0,6,0,488,482,0,6,0,481,7,1503,1015,49,122,7,42,162,15,10,34,10,17,13
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",19,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:49:23",1536,1525,7,4,0,604,600,0,4,0,589,15,1700,1096,71,150,5,49,162,26,12,47,26,29,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",108,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:48",1317,1311,1,5,0,531,526,0,5,0,504,22,1507,981,52,141,8,42,139,21,6,29,32,19,15
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",107,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:09",1189,1184,0,5,0,390,385,0,5,0,383,7,1300,910,42,113,4,45,79,23,7,33,16,15,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",109,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:07:27",1274,1272,0,2,0,524,522,0,2,0,510,14,1404,880,55,180,1,43,124,12,11,32,21,14,17
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",84,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:06",1221,1217,0,4,0,481,477,0,4,0,473,8,1400,919,47,160,4,26,127,10,10,45,16,16,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",86,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:26",1301,1295,2,4,0,524,520,0,4,0,502,22,1400,876,67,143,5,40,121,18,11,38,22,27,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",85,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:55",1077,1072,0,5,0,384,379,0,5,0,380,4,1212,828,53,121,0,33,109,8,7,28,6,9,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",87,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:33:54",1348,1344,0,3,1,504,500,0,3,1,475,29,1500,996,55,145,2,51,117,20,8,38,15,19,5
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICU ENEA”",123,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:43",1358,1346,4,8,0,534,525,1,8,0,507,18,1500,966,53,161,5,54,124,19,17,16,28,16,14
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”NICU ENEA”",125,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:38",1561,1550,1,10,0,686,675,1,10,0,668,18,1700,1014,75,195,8,59,198,24,12,42,10,28,17
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”NICU ENEA”",124,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:03",1317,1306,2,9,0,563,554,0,9,0,538,25,1411,848,48,173,10,52,130,23,5,34,29,12,22
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR.10",72,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:41",1256,1249,0,7,0,531,524,0,7,0,512,19,1404,873,36,152,3,40,143,22,14,57,18,15,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ NR.10",74,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:48",749,747,2,0,0,327,327,0,0,0,324,3,800,473,21,93,3,24,74,12,9,57,15,10,6
