precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",45,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:03:47",760,752,0,8,0,335,327,0,8,0,327,8,850,515,196,46,25,14,6,40
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",46,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:29",1562,1553,0,9,0,703,694,0,9,0,703,0,1700,980,393,106,68,34,20,82
10,BUZĂU,"LICEUL AGRICOL ”DR. CONSTANTIN ANGELESCU”",40,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:59:05",1240,1232,2,5,1,594,588,0,5,1,566,28,1400,806,291,92,38,35,23,87
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",70,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:21:02",1202,1194,0,8,0,532,524,0,8,0,513,19,1300,768,275,73,65,15,34,51
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",69,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:34",315,308,0,7,0,315,308,0,7,0,306,9,900,585,198,35,26,14,6,27
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",71,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:18",1024,1013,0,11,0,423,412,0,11,0,413,10,1100,677,241,51,45,25,11,40
10,BUZĂU,"LICEUL DE ARTE ”MARGARETA STERIAN”",33,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:53",1389,1379,1,6,3,628,619,0,6,3,607,21,1500,872,364,100,58,21,14,50
10,BUZĂU,"LICEUL TEHNIC BUZĂU",31,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:39:23",784,779,0,5,0,360,355,0,5,0,351,9,900,540,255,28,22,20,8,18
10,BUZĂU,"LICEUL TEHNIC BUZĂU",32,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:25:04",817,802,2,10,3,369,356,0,10,3,355,14,900,531,259,35,25,17,6,13
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",38,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:27:00",1337,1331,2,4,0,563,559,0,4,0,546,17,1500,937,353,53,62,29,8,41
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",39,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:51",1409,1403,0,6,0,477,471,0,6,0,463,14,1500,1023,300,37,51,33,9,33
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",11,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:18",1185,1181,0,4,0,502,498,0,4,0,491,11,1300,798,315,58,44,25,12,37
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",10,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:49",1325,1320,0,4,1,542,537,0,4,1,538,4,1500,958,350,54,44,32,11,47
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",9,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:30",1518,1514,0,4,0,612,608,0,4,0,603,9,1700,1088,401,70,56,24,8,44
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",12,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:35",1333,1326,1,6,0,534,528,0,6,0,515,19,1500,966,317,57,44,25,15,57
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”– SALĂ DE SPORT",8,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:42",1082,1075,2,5,0,465,460,0,5,0,451,14,1200,735,263,52,46,30,10,50
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”– SALĂ DE SPORT",7,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:47",976,964,2,10,0,421,411,0,10,0,402,19,1100,679,219,55,38,24,12,54
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",24,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:38:23",1262,1257,0,5,0,357,352,0,5,0,340,17,1400,1043,198,30,45,56,2,9
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",25,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:38",1104,1097,0,7,0,478,471,0,7,0,460,18,1200,722,292,53,56,23,10,26
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",26,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:26",1264,1259,0,5,0,517,512,0,5,0,499,18,1400,883,354,51,37,13,14,30
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",23,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:50",1372,1351,0,9,12,471,451,0,9,11,454,17,1500,1029,305,46,44,29,3,27
