precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KERESKÉNYI GÁBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TIŞEA LUCIAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROCA RADU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIARFAŞ ADELIN-CRISTIAN-FORȚA DREPTEI-voturi","PANAIT RADU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BĂBUŢ DAN-PARTIDUL PATRIOȚILOR-voturi","PALINCAŞ VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",50,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:39",955,937,3,7,8,524,509,0,7,8,518,6,1000,476,372,27,70,12,30,2,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",49,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:43",1159,1143,2,10,4,568,553,1,10,4,561,7,1300,732,410,15,75,19,37,1,4
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” GRIGORE MOISIL ” (ŞC. CU CLS.I-VIII” GRIGORE MOISIL ”)",59,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:46:30",1127,1080,6,10,31,584,543,0,10,31,568,16,1198,614,409,27,58,24,44,3,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” GRIGORE MOISIL ” (ŞC. CU CLS.I-VIII” GRIGORE MOISIL ”)",60,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-12 15:36:43",946,915,7,17,7,440,416,0,17,7,431,9,1000,560,259,16,78,18,55,2,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",6,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:54",1181,1171,1,6,3,562,553,0,6,3,555,7,1300,738,326,32,97,11,78,2,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",5,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:53:13",1133,1125,2,5,1,543,535,2,5,1,525,18,1300,757,310,19,106,13,64,6,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",7,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:57:01",1503,1462,5,7,29,756,735,0,7,14,738,18,1600,844,439,33,115,24,110,3,14
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",4,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:29",1294,1281,6,7,0,558,551,0,7,0,555,3,1500,942,333,24,91,13,81,4,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",8,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:53",1258,1253,1,4,0,545,541,0,4,0,537,8,1400,855,285,42,104,12,76,8,10
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",9,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:02",1180,1175,0,4,1,539,535,0,3,1,530,9,1300,761,338,19,90,16,58,3,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",10,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:26:54",1120,1106,6,8,0,518,510,0,8,0,508,10,1200,682,279,31,97,13,79,2,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",11,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:11:27",1230,1227,0,3,0,546,543,0,3,0,530,16,1403,857,317,35,82,12,72,5,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",24,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:24",1573,1558,1,7,7,665,650,1,7,7,650,15,1700,1035,473,21,63,13,73,1,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",25,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-12 14:45:36",1306,1292,0,11,3,421,407,0,11,3,415,6,1400,979,302,28,38,6,33,1,7
